,RALM,REPM(LQH),REPM(LSE),RSQO
0,0.0,0.0,0.0,3.1416e-05
1,1.5875,0.18595,2.0949,0.45637
2,2.7807,1.7675,4.1164,0.8813700000000001
3,4.2157,3.3602,6.3059,1.381
4,5.7782,4.9758,8.3592,2.1639
5,6.8208,6.492999999999999,10.3467,2.6564
6,8.0884,8.1317,12.3889,3.1786
7,9.4548,9.759,14.3019,3.6389
8,10.7399,11.4305,16.3855,13.805
9,12.1805,12.9333,18.5124,14.2829
10,13.4721,14.6699,20.4374,23.5134
11,14.9981,16.1859,22.576999999999998,33.0023
12,16.637,17.9118,24.5153,33.6145
13,18.0558,19.4258,26.607,34.125
14,19.5085,21.1653,28.7031,43.7902
15,21.0368,22.677,30.81,44.305
16,22.4649,24.2944,32.8301,53.3571
17,24.1317,25.9298,34.9564,53.9303
18,25.6571,27.4408,36.9805,54.4631
19,27.1997,29.0678,39.0565,55.2814
20,28.7118,30.509,41.041000000000004,55.8066
21,30.2475,32.2119,43.0121,56.2846
22,30.3112,33.8143,44.9892,57.0724
23,30.3763,35.4605,47.0633,57.5804
24,30.4453,37.0347,49.0235,58.1244
25,30.5103,38.5604,51.077,58.6405
26,30.5766,40.2018,53.1154,59.1894
27,30.6414,41.718,55.1082,59.7238
28,30.7078,42.0809,57.1764,60.2376
29,30.7727,43.5596,59.0728,60.7588
30,30.8392,45.2278,59.7082,61.585
31,30.9054,45.5289,61.7722,62.0751
32,30.9719,45.567,62.2588,62.6259
33,31.0405,45.6017,62.306000000000004,63.0915
34,31.1104,45.6386,64.3289,63.7429
35,31.1754,45.6742,64.9083,64.3568
36,31.241999999999997,45.711999999999996,64.9547,64.9803
37,31.3159,45.747,65.023,65.5139
38,31.3806,45.7852,65.0667,66.0717
39,31.4476,45.8213,65.1116,75.0695
40,31.5122,45.8593,65.16,75.565
41,31.5803,45.8954,65.2077,84.5646
42,31.6455,45.9313,65.2521,85.0542
43,31.7139,45.9677,65.2982,93.9889
44,31.7791,46.0022,65.3441,94.4951
45,31.8476,46.038999999999994,65.3885,104.7371
46,31.9126,47.5894,67.3874,105.2992
47,31.9815,49.2387,69.54,115.725
48,32.0462,49.5047,69.5906,116.255
49,32.1109,49.5389,69.6511,116.7
50,32.1813,49.5741,69.6977,127.1112
51,32.2461,49.6092,69.7846,127.6297
52,32.3197,49.6509,69.8316,128.282
53,32.3891,49.6878,69.8768,128.8077
54,32.4538,49.723,69.9255,129.4433
55,32.5301,49.7601,69.9719,129.9912
56,32.6001,49.7954,70.0172,140.4237
57,32.6645,49.8307,71.9454,140.9837
58,32.736,49.8735,71.9963,150.7046
59,32.8014,49.9078,74.0391,151.2563
60,32.8662,49.9445,74.5723,151.879
61,32.9341,49.9868,74.6154,152.4051
62,33.0001,51.4972,74.6574,161.6835
63,33.0645,51.7895,74.7007,162.1712
64,33.1293,51.8312,74.7512,162.6999
65,33.1925,53.3003,74.796,163.5015
66,33.2556,53.6195,74.842,164.0667
67,33.3266,53.6605,76.8285,164.6704
68,33.3912,53.6989,77.3348,173.6468
69,33.4548,53.7361,77.3784,174.3076
70,33.519,53.7709,77.4269,174.7648
71,33.5859,53.8079,77.4737,175.3028
72,33.6494,53.8457,77.5233,175.9258
73,33.7158,53.882,77.5665,176.4064
74,33.78,53.9224,77.6178,177.6249
75,33.8435,53.9583,77.6623,187.1536
76,33.9069,55.576,77.7111,
77,33.9746,55.7254,77.7585,
78,34.0386,55.7652,77.8017,
79,34.1056,55.8076,77.8473,
80,34.1693,55.8485,79.8615,
81,34.233000000000004,57.3741,80.075,
82,34.2968,57.4109,80.158,
83,34.3643,57.4472,80.2031,
84,34.4278,57.4845,80.2684,
85,34.4942,57.5217,80.3145,
86,34.5586,57.5609,80.3692,
