,RALM,REPM(LQH),REPM(LSE),RSQO
0,3.8242,1.1297,1.6465,5.8843
1,1.2425,0.00064754,0.0412,0.99823
2,0.34644,0.00030068,0.020572999999999998,0.35213
3,0.10221000000000001,0.00011835,0.01254,0.39369
4,0.034601,2.408e-05,0.018498,0.17425
5,0.010440000000000001,1.523e-05,0.00012416,0.091517
6,0.06387899999999999,6.401799999999999e-06,5.7339e-06,0.12401
7,0.007312999999999999,1.7733e-06,1.7474e-06,0.094575
8,0.0021315,6.6493e-07,6.2812e-07,0.073062
9,0.0007160000000000001,2.1357e-07,2.9441999999999996e-07,0.054498000000000005
10,0.00024900000000000004,2.0897e-07,4.3053999999999994e-07,0.066101
11,8.756299999999999e-05,1.7772000000000003e-07,3.9077e-07,0.058863
12,3.0912e-05,4.1135e-07,2.9145e-07,0.068098
13,1.093e-05,2.1456999999999997e-07,6.7949e-07,0.050878
14,3.8657e-06,2.0506999999999997e-07,2.7534000000000003e-07,0.018343
15,1.3675999999999998e-06,1.991e-07,5.7704e-07,0.021325999999999998
16,4.8381e-07,1.7885000000000002e-07,3.3573e-07,0.018581999999999998
17,1.7105e-07,2.1391e-07,1.6081000000000001e-06,0.027502999999999996
18,6.3434e-08,1.6706e-07,4.5761000000000003e-07,0.020496
19,2.2248000000000002e-08,7.831000000000001e-07,5.5255e-07,0.015174000000000002
20,1.5358e-08,1.9835999999999998e-07,3.1214000000000004e-07,0.013848
21,1.3694e-08,7.1546e-07,8.230799999999999e-07,0.013522999999999999
22,1.5284e-08,2.9658e-07,3.0894999999999997e-07,0.00056072
23,1.1744e-08,9.264799999999999e-07,6.1675e-07,0.00016380000000000002
24,5.6369e-08,1.9228999999999998e-07,3.0796999999999997e-07,8.611000000000001e-06
25,1.9469e-08,3.7631e-07,3.3750999999999996e-07,1.2536e-07
26,2.3296000000000002e-08,1.8067999999999997e-07,2.7480999999999996e-07,4.6736e-08
27,2.0235e-08,4.717e-07,4.3726000000000004e-07,3.9003999999999996e-08
28,1.9497e-08,1.8102999999999997e-07,2.8195e-07,3.3289999999999996e-08
29,1.6329e-08,6.927600000000001e-07,4.0207e-07,2.8774999999999998e-08
30,6.1175e-08,1.9232e-07,2.9459e-07,2.5142e-08
31,1.5016e-08,3.6513000000000004e-07,6.4375e-07,2.2170999999999997e-08
32,2.3919e-08,1.8539000000000002e-07,2.6529e-07,2.0411e-08
33,3.6878e-08,3.6909e-07,2.0553e-06,1.9498999999999998e-08
34,8.7824e-08,2.4109e-07,3.4484e-07,1.8664e-08
35,2.5976999999999995e-07,5.003199999999999e-07,1.4588e-06,1.7896e-08
36,2.8169000000000003e-07,1.5738e-07,3.0865e-07,1.7188e-08
37,5.0107e-07,1.1010999999999998e-05,8.9805e-07,1.6646000000000002e-08
38,2.2230999999999998e-07,2.4272e-06,2.8848e-07,1.6163e-08
39,3.9407000000000003e-08,7.0348e-07,1.2112e-06,1.5712e-08
40,1.7283000000000002e-07,1.7346e-07,5.9789e-07,1.529e-08
41,6.428999999999999e-08,4.96e-07,6.007199999999999e-07,1.4893000000000001e-08
42,7.4458e-08,1.6391e-07,3.1149e-07,1.452e-08
43,6.6926e-08,7.116500000000001e-07,1.1897e-06,1.4167e-08
44,2.0976999999999998e-07,1.712e-07,3.5641e-07,1.3834e-08
45,5.0669e-07,1.6765e-06,9.8863e-07,1.3517999999999999e-08
46,6.0743e-07,3.3522e-07,3.1013000000000004e-07,1.3219e-08
47,1.183e-06,4.4571000000000004e-07,1.0765e-06,1.2934000000000002e-08
48,5.0914e-07,1.797e-07,2.8895e-07,1.2662e-08
49,1.4832000000000002e-07,5.9411e-07,1.1381e-06,1.2403e-08
50,3.5888000000000005e-07,2.1814e-07,5.9926e-07,8.670599999999999e-10
51,1.2454e-07,5.2504e-07,1.2897e-06,8.620800000000001e-10
52,1.916e-07,1.8237e-07,2.6465e-07,8.5717e-10
53,2.3448e-07,8.443799999999999e-07,2.3479e-06,8.5231e-10
54,3.2501999999999993e-07,2.2638000000000002e-07,9.2141e-07,8.475099999999999e-10
55,1.3675e-06,2.5271e-07,1.0754000000000001e-06,8.4275e-10
56,5.0476e-06,1.8719000000000002e-07,2.6640999999999996e-07,8.380499999999999e-10
57,1.7354e-05,4.5158e-07,3.6325e-06,8.3339e-10
58,5.8383999999999995e-05,1.6924e-07,7.2586e-07,8.287799999999999e-10
59,0.00019515,1.4659e-06,7.927500000000001e-07,8.2423e-10
60,0.00065105,2.4579000000000003e-07,3.372e-07,8.1972e-10
61,0.0021707,1.8824999999999998e-07,1.4356999999999999e-06,8.152500000000001e-10
62,0.0072363,1.5880000000000002e-07,4.0114000000000006e-07,8.108400000000001e-10
63,0.024121,7.747e-07,1.1284e-06,8.0647e-10
64,0.08040499999999999,1.9784000000000003e-07,3.4076e-07,8.0214e-10
65,0.26802,8.3348e-07,5.51e-07,7.9786e-10
66,0.89339,1.686e-07,3.1074000000000004e-07,7.9362e-10
67,2.978,5.5688e-07,1.5433000000000001e-06,7.894199999999999e-10
68,9.9266,3.0861999999999997e-07,3.8619e-07,7.8527e-10
69,33.0886,2.1343000000000003e-07,8.4936e-07,7.8115e-10
70,100.7818,7.6117e-07,3.3716000000000004e-07,7.7708e-10
71,287.633,1.8191e-07,1.6885e-06,7.7305e-10
72,888.4179,9.385899999999999e-07,5.0619e-07,7.690599999999999e-10
73,2890.1783,1.8257000000000003e-07,1.7052000000000002e-06,7.6511e-10
74,9562.3238,3.6459e-07,4.0388000000000004e-07,7.6119e-10
75,31802.9627,1.5841e-07,8.2288e-07,7.5732e-10
76,105938.4721,9.1499e-07,3.5010999999999995e-07,7.5348e-10
77,353056.8509,1.6642e-07,2.1306e-06,7.496799999999999e-10
78,1176784.7845,4.2836999999999996e-07,5.1504e-07,7.459099999999999e-10
79,3922544.5642,1.5687e-07,1.3259999999999999e-06,7.421799999999999e-10
80,13075077.1638,8.7848e-07,4.2191000000000005e-07,7.3849e-10
81,43583519.1625,1.5974999999999998e-07,4.9283e-07,7.3483e-10
82,145278325.8247,8.827200000000001e-07,3.4799e-07,7.312100000000001e-10
83,484261014.6988,1.7611e-07,1.2353e-06,7.276200000000001e-10
84,1614203310.946,4.917600000000001e-07,3.1146999999999997e-07,7.2406e-10
85,5380677631.7697,1.6427e-07,1.6342e-06,7.2054e-10
86,17935592034.5155,1.3855000000000001e-06,2.8161e-07,7.170499999999999e-10
87,59785306710.3347,2.5193e-07,2.7946e-07,7.1359e-10
88,199284355629.7323,7.512e-07,2.9235e-07,7.1016e-10
89,664281185361.0577,1.9895e-07,2.7052e-07,7.0676e-10
90,2214270617798.809,7.7611e-07,3.3533e-07,7.034e-10
91,7380902059257.979,1.7449000000000002e-07,2.673e-07,7.0007e-10
92,24603006864121.89,1.0219e-06,3.2094e-07,6.9676e-10
93,82010022880334.9,3.9363e-07,3.0857e-07,6.9349e-10
94,273366742934378.3,1.2702e-06,2.7744e-07,6.9024e-10
95,911222476447856.4,2.8008e-07,5.6159e-07,6.8703e-10
96,3037408254826116.0,4.0235e-07,2.9086e-07,6.8384e-10
97,1.012469418275365e+16,2.1574999999999998e-07,2.6655999999999997e-07,6.806799999999999e-10
98,3.374898060917876e+16,6.3018e-07,1.2852000000000002e-06,6.7755e-10
99,1.124966020305958e+17,1.8137000000000002e-07,2.886e-07,6.7444e-10
100,3.749886734353193e+17,8.1148e-07,9.492200000000001e-07,6.7137e-10
101,1.249962244784398e+18,2.2613000000000003e-07,2.7144e-07,6.6832e-10
102,4.1665408159479926e+18,1.0111e-06,9.129700000000001e-07,6.652899999999999e-10
103,1.388846938649331e+19,1.874e-07,2.6756e-07,6.623e-10
104,4.62948979549777e+19,7.8366e-07,9.134299999999999e-07,6.593200000000001e-10
105,1.543163265165923e+20,2.5021999999999997e-07,2.6473e-07,6.563800000000001e-10
106,5.143877550553078e+20,6.2822e-07,2.2783000000000003e-06,6.5346e-10
107,1.714625850184359e+21,1.5587e-07,3.2509999999999997e-07,6.505599999999999e-10
108,5.715419500614531e+21,6.768e-07,3.1348e-07,6.476900000000001e-10
109,1.905139833538178e+22,2.2994e-07,2.8407e-07,6.4484e-10
110,6.350466111793924e+22,6.934999999999999e-07,3.55e-07,6.420099999999999e-10
111,2.116822037264642e+23,1.7612000000000002e-07,2.7138000000000004e-07,6.3921e-10
112,7.056073457548806e+23,8.9787e-07,2.7263000000000003e-07,6.3644e-10
113,2.352024485849602e+24,2.2335999999999998e-07,1.1163e-06,6.336799999999999e-10
114,7.840081619498676e+24,2.7456999999999995e-07,2.7179000000000003e-07,6.3095e-10
115,2.6133605398328922e+25,1.836e-07,9.2509e-07,6.282400000000001e-10
116,8.71120179944297e+25,4.8604e-07,2.6934e-07,6.2556e-10
117,2.9037339331476567e+26,1.6742999999999998e-07,8.3831e-07,6.2289e-10
118,9.679113110492192e+26,1.0498999999999999e-06,2.8456e-07,6.2025e-10
119,3.22637103683073e+27,3.0154e-07,9.271e-07,6.1763e-10
120,1.07545701227691e+28,1.7409000000000002e-07,2.7424e-07,6.1503e-10
121,3.5848567075897004e+28,1.6247e-07,1.1118e-06,6.124500000000001e-10
122,1.1949522358632338e+29,2.2418000000000004e-07,2.6954e-07,6.098900000000001e-10
123,3.983174119544112e+29,1.6043e-07,1.6455000000000002e-06,6.073500000000001e-10
124,1.327724706514704e+30,1.9905e-07,2.9583e-07,6.048300000000001e-10
125,4.4257490217156807e+30,1.5964e-07,5.128e-07,6.0233e-10
126,1.475249673905227e+31,1.8114000000000002e-07,2.6898e-07,5.998500000000001e-10
127,4.917498913017424e+31,1.7307000000000003e-07,1.8584999999999999e-06,5.9739e-10
128,1.639166304339142e+32,1.6098e-07,2.9848e-07,5.949500000000001e-10
129,5.463887681130472e+32,2.6604e-07,5.1352e-07,5.9253e-10
130,1.821295893710157e+33,1.6475000000000002e-07,2.6409000000000003e-07,5.9013e-10
131,6.070986312367191e+33,1.6682000000000003e-07,2.3724e-06,5.8775e-10
132,2.0236621041223966e+34,4.6347e-07,3.7028e-07,5.8538e-10
133,6.745540347074657e+34,1.6132000000000002e-07,4.846600000000001e-07,5.8304e-10
134,2.248513449024886e+35,6.953e-07,2.6594e-07,5.807100000000001e-10
135,7.495044830082954e+35,1.6343e-07,2.2913e-06,5.7839e-10
136,2.498348276694318e+36,3.947e-07,2.9663e-07,5.761e-10
137,8.327827588981061e+36,1.5669e-07,5.1872e-07,5.738300000000001e-10
138,2.775942529660353e+37,9.6641e-07,2.6495e-07,5.7157e-10
139,9.253141765534513e+37,1.6013e-07,1.7359e-06,5.693200000000001e-10
140,3.084380588511504e+38,4.4412e-07,3.5812e-07,5.671e-10
141,1.028126862837168e+39,1.5640999999999998e-07,5.071899999999999e-07,5.6489e-10
142,3.4270895427905606e+39,9.5574e-07,2.6461e-07,5.627e-10
143,1.142363180930187e+40,1.7923999999999998e-07,2.5908999999999996e-06,5.605199999999999e-10
144,3.8078772697672896e+40,3.5331e-07,2.8982e-07,5.5836e-10
145,1.2692924232557632e+41,1.5776e-07,4.7332999999999996e-07,5.562200000000001e-10
146,4.230974744185877e+41,8.489100000000001e-07,2.7296e-07,5.5409e-10
147,1.4103249147286258e+42,1.6449e-07,3.2409999999999994e-07,5.5198e-10
148,4.701083049095419e+42,3.9830999999999997e-07,2.9358e-07,5.498800000000001e-10
149,1.567027683031807e+43,1.5642000000000002e-07,2.7271999999999997e-07,5.477999999999999e-10
150,5.223425610106023e+43,8.481e-07,3.9921e-07,5.4573e-10
151,1.7411418700353412e+44,1.5965e-07,2.7652e-07,5.436799999999999e-10
152,5.803806233451136e+44,5.367e-07,2.6654e-07,5.4164e-10
153,1.934602077817046e+45,1.6102e-07,1.1959999999999999e-06,5.3962e-10
154,6.448673592723487e+45,6.6012e-07,3.0303000000000003e-07,5.376100000000001e-10
155,2.149557864241162e+46,1.658e-07,6.0156e-07,5.3562e-10
156,7.165192880803873e+46,4.6891999999999994e-07,2.6989e-07,5.3364e-10
157,2.3883976269346243e+47,1.583e-07,1.9397e-06,5.3167e-10
158,7.961325423115416e+47,8.7382e-07,2.9101999999999997e-07,5.2972e-10
159,2.6537751410384722e+48,1.6204999999999997e-07,7.8604e-07,5.2778e-10
160,8.845917136794906e+48,5.7493e-07,2.655e-07,5.2586e-10
161,2.948639045598303e+49,1.593e-07,2.0392e-06,5.2395e-10
162,9.82879681866101e+49,8.5535e-07,3.7308999999999996e-07,5.2205e-10
163,3.276265606220337e+50,2.0316e-07,5.2265e-07,5.2017e-10
164,1.092088535406779e+51,2.3714000000000002e-07,2.6537e-07,5.183e-10
165,3.6402951180225974e+51,1.7483e-07,1.9404e-06,5.1644e-10
166,1.213431706007533e+52,8.863500000000001e-07,2.8376e-07,5.145900000000001e-10
167,4.044772353358441e+52,2.2058000000000003e-07,8.1354e-07,5.1276e-10
168,1.3482574511194799e+53,5.743e-07,2.7343000000000003e-07,5.1094e-10
169,4.494191503731602e+53,1.7559999999999998e-07,1.1947e-06,5.0913e-10
170,1.498063834577201e+54,3.9461e-07,2.9675e-07,5.0733e-10
171,4.993546115257336e+54,1.6397000000000003e-07,5.9143e-07,5.0555e-10
