,RALM,REPM(LQH),REPM(LSE),RSQO
0,8.996,2.4017,3.9339,11.4185
1,1.4037,0.00085246,0.10063,5.4505
2,0.015286000000000001,0.00032735,0.04991,0.9463299999999999
3,0.005433299999999999,0.00012947,0.023264,0.42182
4,0.0016823,3.3265e-05,0.010032,0.31553000000000003
5,0.00015165,1.4057000000000001e-05,0.0038335,0.35675
6,0.00045574,5.5173000000000005e-06,0.0014077,0.30376
7,0.00017308,2.1491e-06,0.00027692,0.21493
8,0.00013693,9.2347e-07,2.3567e-05,0.10995
9,0.00010378,1.4238e-07,6.3749e-07,0.021969
10,0.00040233,9.2256e-08,9.5912e-08,0.030724
11,0.00033268,2.6757e-08,3.1805e-08,0.040033
12,0.0001494,1.5736000000000003e-08,1.3167e-08,0.025174000000000002
13,0.0023581,5.988399999999999e-09,5.667300000000001e-09,0.007312999999999999
14,0.00082389,4.2414e-09,2.7803e-09,0.0058361
15,0.00054409,6.510099999999999e-10,6.1939e-10,0.003192
16,0.00070763,2.4641999999999996e-10,4.3472e-10,0.0022538
17,0.001578,1.4997e-10,2.9646e-10,0.0015237999999999999
18,0.00059246,1.0657e-10,2.4338e-10,0.0013522
19,0.00058498,7.546500000000001e-11,1.8803999999999998e-10,0.0010264
20,0.00054439,5.5270000000000007e-11,1.5934000000000002e-10,0.00068396
21,0.0013291,3.9823999999999993e-11,1.2906000000000002e-10,0.00012727
22,0.0028036,2.9441e-11,1.133e-10,5.6559e-05
23,0.00049175,2.1379000000000003e-11,9.698299999999998e-11,3.8883e-05
24,0.0024114,1.5893999999999998e-11,8.870000000000001e-11,3.0811e-05
25,0.0058272,1.1615e-11,8.038699999999999e-11,2.5921999999999997e-05
26,0.0031654,8.6926e-12,7.6288e-11,2.2562e-05
27,0.0047981000000000005,6.4123e-12,7.2266e-11,1.91e-05
28,0.0022949000000000003,4.8623e-12,7.0307e-11,1.7245e-05
29,0.0003325,3.6631e-12,6.8385e-11,1.5866e-05
30,0.0003325,2.8630000000000002e-12,6.7435e-11,1.4758e-05
31,0.00010145,2.263e-12,6.6471e-11,1.384e-05
32,0.00033401,1.8806e-12,6.5971e-11,1.3064e-05
33,0.0001249,1.6108e-12,6.5428e-11,1.2399000000000001e-05
34,0.00048169,1.4505e-12,6.5122e-11,1.1819000000000002e-05
35,0.0003325,1.3447e-12,6.4758e-11,1.1307999999999999e-05
36,0.0003325,1.2845e-12,6.453300000000001e-11,1.0853e-05
37,0.00032579,1.246e-12,6.4244e-11,1.0445e-05
38,0.00010124,1.2235e-12,6.4053e-11,1.0075e-05
39,0.0010461,1.2087e-12,6.3795e-11,9.739e-06
40,0.004506100000000001,1.199e-12,6.3617e-11,9.431e-06
41,0.016051,1.1918e-12,6.3372e-11,9.1477e-06
42,0.054537,1.1864e-12,6.32e-11,8.8857e-06
43,0.18282,1.1817e-12,6.296000000000001e-11,8.6426e-06
44,0.61045,1.1775e-12,6.2792e-11,8.4161e-06
45,2.0359,1.1735e-12,6.2555e-11,8.2045e-06
46,6.7872,1.1696e-12,6.238800000000001e-11,8.0062e-06
47,22.6251,1.1659e-12,6.2154e-11,7.8199e-06
48,62.8856,1.1622e-12,6.1988e-11,7.644299999999999e-06
49,187.3881,1.1586e-12,6.175599999999999e-11,7.4786e-06
50,597.9075,1.1549e-12,6.1591e-11,7.321799999999999e-06
51,1966.5843,1.1513e-12,6.136e-11,7.173099999999999e-06
52,6528.9293,1.1478e-12,6.119699999999999e-11,7.032000000000001e-06
53,21736.7733,1.1442e-12,6.0968e-11,6.8977e-06
54,72429.5946,1.1407e-12,6.0806e-11,6.7698e-06
