,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.9488000000000003e-05,-3
1,0.0,0.0,0.0,2.9488000000000003e-05,-2
2,0.0,0.0,0.0,2.9488000000000003e-05,-1
3,1.8630000000000002,0.25479,0.4047,0.08671799999999999,0
4,2.2877,0.25479,0.4047,0.16948,1
5,2.3466,0.25479,0.47192,0.3519,2
6,2.4563,0.25479,1.5245,0.45527,3
7,2.6455,0.35528000000000004,1.5786,0.5354800000000001,4
8,2.906,0.4053,2.9261,0.62369,5
9,3.1427,0.6856399999999999,2.9261,0.7066600000000001,6
10,3.2935,,3.2564,0.80309,7
11,3.3648,,,0.88605,8
12,,,,0.97426,9
13,,,,1.0646,10
14,,,,1.1526,11
15,,,,1.239,12
