,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.3479e-05,-3
1,0.0,0.0,0.0,3.3479e-05,-2
2,0.0,0.0,0.0,3.3479e-05,-1
3,1.2639,0.059224,1.3271,0.27042,0
4,2.3712,0.059224,1.3271,1.046,1
5,2.3712,0.059224,1.8508,1.5672,2
6,2.3712,0.059224,2.3930000000000002,1.7909,3
7,2.4427,0.16021,8.7494,1.9012,4
8,35.7444,0.21921,8.7494,1.9012,5
9,38.1246,0.23315,8.7494,2.0148,6
10,,0.29713,8.7937,2.2737,7
11,,0.31469,8.9674,5.6235,8
12,,0.33368000000000003,18.7882,35.9937,9
13,,1.5498,,,10
14,,3.4505,,,11
15,,5.2567,,,12
16,,6.6339999999999995,,,13
