,RALM,REPM(LQH),REPM(LSE),RSQO
0,0.0,0.0,0.0,3.3188e-05
1,0.71254,0.032671,1.5775,0.19584000000000001
2,0.7441800000000001,0.043211,1.6577,0.38585
3,0.7549399999999999,0.061653,1.7148,0.5683
4,0.76321,0.067222,1.7807,0.76802
5,0.77412,0.07266,1.8069,0.96505
6,0.78299,0.08048999999999999,1.821,1.1826
7,0.79732,0.090789,1.8604,1.3836
8,0.8056,0.096338,1.8743,1.6106
9,0.8198,0.10667,1.9171,1.8186
10,0.8281799999999999,0.1167,1.9369999999999998,2.0204
11,0.84224,0.12918,1.9716,2.2269
12,0.84898,0.13896,1.9915,2.4458
13,0.85982,0.15402000000000002,2.0469999999999997,2.6630000000000003
14,0.8704299999999999,0.1615,2.0673,2.8756
15,0.8811200000000001,0.16726,2.0879,3.0718
16,0.8916700000000001,0.17718,2.114,3.2605
17,0.90256,0.18744,2.1398,3.4543
18,0.9146200000000001,0.19717,2.1704,3.6522
19,0.9269299999999999,0.20688,2.1967,3.8441
20,0.9384899999999999,0.21665,2.2247,4.0649
21,0.9493799999999999,0.22635999999999998,2.2511,4.261
22,0.9601299999999999,0.23623000000000002,2.2796,4.4531
23,0.97088,0.24581,2.3062,4.6444
24,0.98226,0.25561,2.3346,4.8433
25,0.9930899999999999,0.26526,2.3617,5.0359
26,1.0039,0.27489,2.3903,5.2338
27,1.0147,0.28493,2.416,5.4252
28,1.0254,0.29486,2.4443,5.6142
29,1.0371,0.30457,2.4706,5.8061
30,1.048,0.31436,2.4988,5.9925
31,1.0590000000000002,0.32416,2.5244,6.1805
32,1.0701,0.33526,2.5529,6.3719
33,1.0846,0.34502,2.5787,6.5833
34,1.0972,0.35465,2.6071,6.7905
35,1.1092,0.36546999999999996,2.6327,7.0075
36,1.1202,0.37579,2.6613,7.2261
37,1.131,0.3856,2.687,7.4105
38,1.1420000000000001,0.39526999999999995,2.7153,7.5952
39,1.1529,0.40541,2.7417,7.7917
40,1.1647,0.41527,2.7703,7.9775
41,1.1758,0.42496000000000006,2.7961,8.1626
42,1.2077,0.43848000000000004,2.8245,8.3537
43,1.2186,0.45119,2.8510000000000004,8.5522
44,1.2298,0.50713,2.8793,8.744
45,1.2633,0.56343,2.9054,8.9528
46,1.2988,,2.9341,9.1454
