,RALM,REPM(LQH),REPM(LSE),RSQO
0,0.0,0.0,0.0,3.0934e-05
1,1.1822,0.82945,1.9246,0.20955
2,2.2933,1.4485,3.8489999999999998,0.40574
3,3.5106,2.4044,5.837000000000001,0.6020800000000001
4,4.9984,3.5978,7.7895,0.81434
5,6.3504,4.9136,9.7229,1.0224
6,7.794,6.2818,11.628,1.238
7,9.197000000000001,7.6574,13.5532,1.4463
8,10.5399,9.0203,15.4768,1.6575
9,11.9001,10.405,17.4079,1.8652
10,13.2601,11.735,19.3611,2.0783
11,14.6509,13.129000000000001,21.3482,2.2883
12,15.9853,14.4804,23.2983,2.4984
13,17.3853,15.838,25.2538,2.7057
14,18.7108,17.2065,27.1787,2.8996
15,20.0313,18.6654,29.0704,3.0917
16,21.384,20.038,30.9792,3.2829
17,22.7263,21.4241,32.9038,3.4799
18,24.0321,22.7543,34.7948,3.6745
19,25.4404,24.1318,36.7284,3.8679
20,26.7402,25.4952,38.6194,4.0656
21,28.1575,26.875999999999998,40.5492,4.2776
22,29.5222,28.3255,42.43899999999999,4.4834
23,30.9209,29.7017,44.3699,4.6805
24,32.2978,31.1231,46.2594,4.8857
25,33.6789,32.4804,48.2192,5.0886
26,33.7394,32.6191,50.1727,5.2843
27,33.7704,32.7507,52.1268,5.487
28,33.8037,32.8765,54.0827,5.683
29,33.8368,33.3474,56.0519,5.8834
30,33.8714,33.4337,58.0171,6.0771
31,33.9055,33.5205,59.9945,6.2954
32,33.9425,33.5522,62.0023,6.4996
33,33.9808,33.5925,63.9882,6.6942
34,34.0191,33.6242,64.1711,6.8966
35,34.0784,33.6552,66.1469,7.0819
36,34.1382,33.6874,68.1977,7.2887
37,34.1976,33.8324,70.2153,7.4769
38,34.2567,33.9647,72.2837,7.6706
39,34.3159,33.9964,74.2799,7.8718
40,34.3756,34.0283,76.331,8.0749
41,34.436,34.0788,78.3064,8.276
42,34.4959,34.1127,80.2692,8.4745
43,34.5578,34.1509,82.2408,8.6616
44,34.6187,34.1838,84.2944,8.8557
45,34.6784,34.2144,86.3779,9.0488
46,34.7409,34.2472,88.3795,9.232000000000001
47,34.803000000000004,34.2776,90.4646,9.4176
48,34.8661,34.3111,92.50399999999999,9.604
49,34.9268,34.3412,94.6072,9.7963
50,34.9894,34.3746,94.6573,9.9853
51,35.0527,34.4034,96.6176,10.1779
52,35.1136,34.4362,98.618,10.3667
53,35.1752,34.4665,100.6126,10.5582
54,35.2341,34.4994,102.6734,10.7461
55,35.2944,34.5274,104.8087,10.9336
56,35.3532,34.5601,106.7721,11.1159
57,35.4122,34.59,108.9165,11.2989
58,35.474000000000004,34.6232,110.9979,11.4897
59,35.5329,34.650999999999996,113.0845,11.681
60,35.5941,34.6841,115.0667,11.8704
61,35.6528,34.7141,117.0068,12.0633
62,35.7141,34.7468,119.039,12.2465
63,35.7752,34.7761,120.9895,12.4387
64,35.8357,34.8087,122.9972,12.6271
65,35.8947,34.838,125.1156,12.8129
66,35.9551,34.8715,127.0778,13.0002
67,36.0138,34.9006,129.1048,13.1924
68,36.0746,34.9338,131.1552,13.3793
69,36.1335,34.9636,133.2058,13.5723
70,36.1961,34.9966,135.185,13.7619
71,36.2549,35.0247,137.1729,13.9559
72,36.3181,35.0575,139.1967,14.1433
73,36.376999999999995,35.0889,141.1808,14.3261
74,36.4382,35.1215,143.2059,14.515
75,36.4968,35.5554,145.2267,14.7067
76,36.5582,35.5854,147.1748,14.892000000000001
77,36.617,35.6181,149.1936,15.0765
78,36.6765,35.6451,149.2445,15.2616
79,36.7363,35.6779,151.2059,15.4553
80,36.7955,35.708,,15.6432
81,36.8542,35.7408,,15.8338
82,36.9145,35.7696,,16.0203
83,36.9734,35.8029,,16.2043
84,37.033,35.8317,,16.3891
85,37.0917,35.8656,,16.5807
86,37.1506,35.8946,,16.7732
87,37.2096,35.9273,,16.9562
88,37.2685,35.9565,,17.1471
89,37.3277,35.9891,,17.3329
90,37.3863,36.0181,,17.5205
91,37.4449,36.0512,,17.7056
92,37.5043,36.0819,,17.8935
93,37.5625,36.1154,,18.0858
94,37.6201,36.1431,,18.2849
95,37.6793,36.1763,,18.4892
