,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,3.0495e-05,-3
1,0.0,0.0,0.0,3.0495e-05,-2
2,0.0,0.0,0.0,3.0495e-05,-1
3,1.444,0.20012,1.4966,0.22926999999999997,0
4,2.1364,0.20012,1.4966,0.85034,1
5,2.2372,0.20012,2.5109,2.1257,2
6,2.2372,0.20012,4.038,2.7782,3
7,2.2611,0.24008000000000002,10.5916,2.7782,4
8,35.1899,0.32047,10.5916,2.8867,5
9,35.1899,0.34210999999999997,18.0153,2.8867,6
10,35.1899,0.4112,18.0153,2.8867,7
11,35.1899,0.45747,18.0153,3.8145,8
12,35.1899,0.52271,18.0153,93.2887,9
13,35.1899,1.07,18.0938,,10
14,35.1995,1.653,18.5124,,11
15,35.5164,2.2629,22.1295,,12
16,59.8204,3.818,25.1982,,13
17,,7.1217,,,14
