,RALM,REPM(LQH),REPM(LSE),RSQO
0,0.0,0.0,0.0,2.7128000000000002e-05
1,0.79757,0.07514,0.9727399999999999,0.082878
2,1.4424,0.6273,1.2684,0.15613
3,1.5474,0.66227,1.419,0.24836999999999998
4,1.5541,1.2696,1.5627,0.33266
5,1.5619,1.3697,1.7012,0.4065
6,1.5744,1.3798,2.8445,0.48488000000000003
7,1.7303,1.5599,3.4776,0.56293
8,1.7394,1.569,3.554,0.63672
9,1.7433,1.6209,3.6314,0.7178899999999999
10,1.7527,1.6308,3.7114,0.79561
11,1.7630000000000001,1.6435,3.7863,0.87141
12,1.8733,1.662,3.8188,0.9519
13,1.8838,1.6939,3.8291,1.0359
14,1.8958,1.7086,3.853,1.1225
15,1.923,1.7209999999999999,3.8675,1.1976
16,1.9455,1.739,3.8804,1.2704
17,1.9601,1.7529,3.8942,1.3423
18,1.9767,1.7938,3.9071,1.4129
19,1.9913,1.8119,3.9208,1.4849
20,2.0054,1.8456,3.9336,1.5649
21,2.0229,1.8618,3.9479,1.6461
22,2.0503,1.8779,3.9614,1.7169999999999999
23,2.0809,1.893,3.9753,1.7872
24,2.1127,1.9081,3.989,1.8573
25,2.1449,1.9229,4.0033,1.9364
26,2.176,1.9380000000000002,4.0172,2.011
27,2.2092,1.9535,4.0301,2.0851
28,2.2414,1.9698,4.0432,2.1584
29,2.2737,1.9866,4.058,2.2321
30,2.3053,2.003,4.0724,2.3059
31,2.3404,2.0194,4.0856,2.3829
32,2.372,2.0281,4.099,2.4544
33,2.4039,2.0583,4.1125,2.5284
34,,2.0909999999999997,4.1252,2.6042
35,,,4.138999999999999,2.6791
36,,,4.1533,2.7513
37,,,4.1672,2.826
38,,,4.181,2.9013
39,,,4.1939,2.9869
40,,,4.2065,3.0604
41,,,4.2192,3.1414
42,,,4.232,3.2146
43,,,4.2456,3.2921
44,,,4.2599,3.3627
45,,,4.2748,3.4325
46,,,4.2903,3.5023
47,,,4.3053,3.5729
48,,,4.3194,3.6444
49,,,4.3321,3.7159
50,,,4.3496,3.7868
51,,,4.3649,3.858
52,,,4.3783,3.9503
53,,,4.3934,4.0364
54,,,4.4116,4.1314
55,,,4.426,4.2218
56,,,4.4399,4.3159
57,,,4.454,4.4087
58,,,4.4681,4.4921
