,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,0.00014023,-3
1,0.0,0.0,0.0,0.00014023,-2
2,0.0,0.0,0.0,0.00014023,-1
3,0.76467,0.44433,0.1449,0.06712699999999999,0
4,1.3445,0.44433,0.1449,0.16309,1
5,1.3445,0.44433,0.28976,0.20731999999999998,2
6,2.0182,1.2307,0.50837,0.25243000000000004,3
7,2.0182,5.5002,0.62508,0.25243000000000004,4
8,2.0182,12.4208,0.62508,0.2931,5
9,2.0344,56.9366,0.65099,0.2931,6
10,8.4503,,0.6993699999999999,0.33538,7
11,8.4597,,0.71391,0.65695,8
12,,,0.7399,,9
13,,,1.4466,,10
14,,,2.4257,,11
15,,,3.4488,,12
16,,,4.312,,13
