,RALM,REPM(LQH),REPM(LSE),fmincon SQO,RSQO
0,25.1687,16.0236,16.0301,21.6279,16.0301
1,2.0713,0.051775,0.050681,22.5362,13.2161
2,0.042494,0.035275,0.034533999999999995,22.4917,15.7144
3,0.0010159,0.024037,0.023531,22.4916,10.7289
4,3.7131e-05,0.016378,0.016033000000000002,22.4916,10.4227
5,1.6131e-05,0.011159,0.010924,22.4916,10.3134
6,3.7542e-06,0.0076033,0.007442799999999999,22.4916,12.0356
7,1.7501e-06,0.0051803000000000005,0.005071,22.4916,10.3602
8,1.1746e-06,0.0035294000000000002,0.0034549,22.4916,9.9153
9,1.3016e-06,0.0024046,0.0023538,22.4916,2.7772
10,1.0748999999999999e-06,0.0016382000000000002,0.0016037,22.4916,0.16397
11,1.1312e-06,0.0011160999999999999,0.0010925999999999998,22.4916,0.0015293
12,1.3961e-06,0.00076767,0.00075147,22.4916,2.4296999999999996e-07
13,4.865e-06,0.00051812,0.00050716,22.4916,4.0617e-12
14,1.2326999999999999e-06,0.00035634,0.00034885,22.4916,1.6704e-12
15,1.0841e-06,0.00025415,0.00024884,22.4916,7.3645e-12
16,9.876100000000001e-07,0.00019455,0.00019062,22.4916,1.5911e-12
17,1.5076e-06,0.00016409,0.00016077,22.4916,1.2841e-12
18,4.7326e-06,0.00015230000000000002,0.00014831,22.4916,3.372e-12
19,1.6279e-05,0.00014734,0.00014443,22.4916,5.9876e-12
20,2.4101999999999997e-05,0.00014737,0.00014429,22.4916,2.5966e-12
