"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,4.1404,3.0282,131.9319,1,20.1008,
1,0.502,11.6951,0.041177,0.036261,20.29,0.38997,0.97554,
2,0.91644,5.4287,0.030153,0.029192,18.2751,0.41578,0.050378,
3,1.0193,0.0090972,0.020802,0.019947,18.2826,0.42038,0.028236,
4,1.1759,0.0025778,0.014175,0.013592,18.2877,0.42045,0.019239,
5,1.7512,0.050329,0.0097307,0.0092587,18.2913,0.42326,0.013121,
6,2.3532,0.039834,0.0066687,0.006307,18.2937,0.42546,0.0089472,
7,2.9144,0.016125,0.0045548,0.0042972,18.2953,0.42639,0.0060955,
8,3.4797,0.002801,0.0031039,0.0029274,18.2964,0.42648,0.0041535,
9,4.0405,0.00037593,0.0021149,0.0019946,18.2972,0.42653,0.0028268,
10,4.6041,0.00025621,0.001441,0.0013589,18.2977,0.42655,0.0019254,
11,5.1562,0.00017291,0.00098173,0.00092584,18.298,0.42656,0.0013117,
12,5.1683,9.0923e-05,0.00066886,0.00063078,18.2983,0.42656,0.00089699,
13,5.1805,6.1947e-05,0.00045569,0.00042975,18.2984,0.42657,0.0006224,
14,5.1926,4.2205e-05,0.00031046,0.00029279,18.2985,0.42657,0.00044626,
15,5.2062,2.8754e-05,0.00021152,0.00019947,18.2986,0.42657,0.0003398,
16,5.2185,1.959e-05,0.00014411,0.0001359,18.2987,0.42657,0.00028126,
17,5.2324,1.3347e-05,9.8178e-05,9.2588e-05,18.2987,0.42658,0.0002529,
18,5.2452,9.093e-06,6.6888e-05,6.3079e-05,18.2987,0.42658,0.00024098,
19,5.258,6.195e-06,4.5571e-05,4.2976e-05,18.2987,0.42658,0.00023694,
20,5.2711,4.2206e-06,3.1047e-05,2.9279e-05,18.2988,0.42658,0.00023619,
21,5.2852,2.8755e-06,2.1152e-05,1.9948e-05,18.2988,0.42658,0.00023662,
22,5.2979,1.959e-06,1.4411e-05,1.359e-05,18.2988,0.42657,0.00024042,
23,5.3117,1.3347e-06,9.8179e-06,9.2588e-06,18.2988,0.42658,0.00023804,
24,5.3245,9.0931e-07,6.6888e-06,6.308e-06,18.2988,0.42658,0.00023963,
25,5.3387,6.1951e-07,4.5571e-06,4.2976e-06,18.2988,0.42658,0.00023904,
26,5.352,4.2207e-07,3.1047e-06,2.9279e-06,18.2988,0.42658,0.00023936,
27,5.3664,2.8755e-07,2.1152e-06,1.9948e-06,18.2988,0.42658,0.0002396,
28,5.3789,1.959e-07,1.4411e-06,1.359e-06,18.2988,0.42658,0.00024029,
29,5.3924,1.334e-07,9.8229e-07,9.2605e-07,18.2988,0.42677,0.001011,
30,5.405,9.0996e-08,6.6891e-07,6.3081e-07,18.2988,0.42659,0.00024705,
