"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.87218,0.098438,0,1,2.9515,
1,0.081294,1.2679,0.72405,0.025035,0,0.9906,0.956,
2,0.093046,1.2679,0.72405,0.025035,0,0.9956,0.99118,
3,0.13733,0,0.034783,0.0031152,0,0.59968,0.71099,
4,0.15482,0.90875,0.0080034,0.0010523,0,0.24535,0.37775,
5,0.16775,0.058185,0.0080034,0.0010523,0,0.34823,0.541,
6,0.17822,0,0.0041336,0.0005615,0,0.27108,0.45766,
7,0.19096,0.023643,0.0012388,0.00015292,0,0.12294,0.19339,
8,0.19576,0.010166,0.0012388,0.00015292,0,0.1789,0.28218,
9,0.20793,0,0.00085408,7.5176e-05,0,0.18097,0.22024,
10,0.22102,0.0031962,0.00012873,9.0209e-06,0,0.040674,0.054151,
11,0.22532,0.0012467,0.00012873,9.0209e-06,0,0.059645,0.079413,
12,0.22986,0,0.00012873,9.0209e-06,0,0.087367,0.11634,
13,0.24317,0,0.00013207,8.1253e-06,0,0.13093,0.14927,
14,0.25758,0.00033219,4.8511e-05,3.0426e-06,0,0.071024,0.083823,
15,0.27147,0.00021231,1.6986e-06,1.4174e-07,0,0.0036595,0.0039595,
16,0.27608,5.9938e-05,1.6986e-06,1.4174e-07,0,0.0053713,0.0058117,
17,0.2802,0,1.6986e-06,1.4174e-07,0,0.0078839,0.0085304,
18,0.28455,0,1.6986e-06,1.4174e-07,0,0.011572,0.01252,
19,0.28871,0,1.6986e-06,1.4174e-07,0,0.016983,0.018376,
20,0.2928,0,1.6986e-06,1.4174e-07,0,0.024924,0.026969,
21,0.29707,0,1.6986e-06,1.4174e-07,0,0.03657,0.039574,
22,0.31249,0,9.6988e-07,6.664e-08,0,0.030656,0.038456,
23,0.32898,3.5432e-06,4.2292e-07,2.6822e-08,0,0.019626,0.021676,
24,0.34957,1.7218e-06,3.2215e-08,2.3226e-09,0,0.0021948,0.0019315,
25,0.35391,4.9611e-07,3.2215e-08,2.3226e-09,0,0.0032215,0.0028351,
26,0.35813,0,3.2215e-08,2.3226e-09,0,0.0047284,0.0041614,
27,0.36227,0,3.2215e-08,2.3226e-09,0,0.0069403,0.006108,
28,0.36638,0,3.2215e-08,2.3226e-09,0,0.010187,0.0089651,
29,0.37051,0,3.2215e-08,2.3226e-09,0,0.014951,0.013158,
30,0.38886,0,6.9771e-09,4.4186e-10,0,0.0047534,0.0058707,
