"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,3.7374e-08,2.1243e-09,0.10398,1,3.9542,3.7804,
1,0.68309,29.9165,3.3333,1.2137,0.15509,0.65748,1.0281,2.8061,0.017589,
2,1.2613,29.9165,3.3333,0.26476,0.03068,0.029251,0.32707,0.54797,0.011641,
3,1.757,9.2641,3.3333,0.067843,0.0056874,0.0096393,0.14531,0.10868,0.0073188,
4,2.2811,4.7925,3.3333,0.018314,0.0010524,0.003502,0.14766,0.024624,0.0058471,
5,2.4409,2.3851,11.1111,0.014849,0.001225,0.00015199,0.14802,0.02581,0.00035358,
6,2.5982,1.4224,11.1111,0.0023644,0.000157,0.00010001,0.15819,0.0033516,0.00023807,
7,2.6415,0.39237,37.037,0.0019794,0.00011451,0.00013688,0.17115,0.0027318,0.000208,
8,3.5276,0.030632,37.037,0.00096869,5.4328e-05,0.000428,0.16774,0.0059161,0.0057917,
9,4.3495,1.4986,37.037,0.00038594,4.8053e-05,0.0005196,0.17788,0.0091558,0.0091241,
10,5.2077,0.60202,123.4568,0.00089489,4.2104e-05,0.00057496,0.18315,0.004515,0.0044041,
11,6.0467,0.67594,123.4568,0.00037211,2.1265e-05,0.00046542,0.16798,0.0069509,0.0069339,
12,6.9373,0.89526,123.4568,0.00011832,8.5354e-06,0.00041927,0.16151,0.002125,0.0021186,
13,7.7664,0.15398,411.5226,0.00015673,8.3456e-06,0.00039709,0.14958,0.004764,0.0047599,
14,8.2268,0.75452,411.5226,1.5749e-05,8.1937e-07,0.00036658,0.15186,4.9359e-05,4.5924e-05,
15,9.0773,0.042417,411.5226,1.2521e-05,9.1984e-07,0.00036018,0.15701,0.0029292,0.0029291,
16,9.9169,0.1869,1371.7421,3.0934e-05,1.9117e-06,0.00036533,0.14428,0.0025753,0.002575,
17,10.7449,0.11519,1371.7421,8.661e-06,5.5861e-07,0.00035289,0.15616,0.0044161,0.0044161,
18,11.5743,0.18148,4572.4737,7.6474e-06,8.5274e-07,0.00035054,0.14742,0.0083923,0.0083923,
19,12.3951,0.26456,4572.4737,3.3075e-06,2.954e-07,0.00034808,0.14115,0.017656,0.017656,
20,13.2142,0.0334,15241.579,2.7188e-06,3.3479e-07,0.000347,0.15114,0.0032413,0.0032412,
21,14.0366,0.053677,15241.579,2.5081e-07,1.9372e-08,0.00034663,0.14731,0.00017837,0.00017837,
22,14.8519,0.025118,50805.2634,2.8489e-07,3.0867e-08,0.00034639,0.14449,0.0047761,0.0047761,
23,15.6741,0.01748,169350.8781,5.1108e-07,2.8615e-08,0.00034588,0.17045,0.0091092,0.0091092,
24,15.737,0.019439,169350.8781,1.3952e-07,7.5567e-09,0.00034601,0.14682,0.00011474,0.00011474,
25,16.5464,4.1626e-05,169350.8781,2.5986e-08,1.8745e-09,0.00034575,0.14512,0.0041143,0.0041143,
26,16.5781,0.019361,564502.9269,2.7667e-08,1.9289e-09,0.00034575,0.14454,0.00010416,0.00010416,
27,16.5995,2.1697e-07,564502.9269,1.5965e-08,8.2777e-10,0.00034575,0.14126,0.0026146,0.0026146,
28,16.6218,4.4183e-08,1881676.4232,1.5177e-08,8.6055e-10,0.00034575,0.13709,0.00021604,0.00021604,
29,16.6433,1.5033e-07,1881676.4232,6.4585e-09,2.3982e-10,0.00034575,0.12494,0.00078031,0.00078031,
30,16.6614,7.505e-08,6272254.7439,6.4344e-09,2.4038e-10,0.00034575,0.11283,0.00076056,0.00076056,
31,16.6806,2.8613e-09,20907515.8129,6.4162e-09,2.2047e-10,0.00034575,0.072585,0.0019027,0.0019027,
32,16.701,1.424e-09,69691719.3763,6.3901e-09,2.1761e-10,0.00034575,0.061015,0.0042366,0.0042366,
33,16.7208,7.4578e-10,232305731.2542,6.3449e-09,2.1696e-10,0.00034575,0.5032,0.013381,0.013381,
34,16.7423,3.3653e-09,774352437.514,6.0945e-09,2.3547e-10,0.00034575,1.919,0.11282,0.11282,
35,16.7739,1.708e-08,2581174791.7132,6.0945e-09,2.3547e-10,0.00034575,6.6383,0.48016,0.48016,
36,16.8054,0,8603915972.3773,6.0945e-09,2.3547e-10,0.00034575,20,1.7065,1.7065,
37,16.8378,0,28679719907.9244,6.0945e-09,2.3547e-10,0.00034575,20,5.8984,5.8984,
38,16.8694,0,95599066359.7481,6.0945e-09,2.3547e-10,0.00034575,20,20.2377,20.2377,
39,16.9011,0,318663554532.4938,6.0945e-09,2.3547e-10,0.00034575,20,62.6891,62.6891,
40,16.9344,0,1062211848441.646,6.0945e-09,2.3547e-10,0.00034575,20,175.9674,175.9674,
41,16.9664,0,3540706161472.154,6.0945e-09,2.3547e-10,0.00034575,20,531.4751,531.4751,
42,16.9982,0,11802353871573.85,6.0945e-09,2.3547e-10,0.00034575,20,1709.5925,1709.5925,
43,17.0296,0,39341179571912.82,6.0945e-09,2.3547e-10,0.00034575,20,5635.057,5635.057,
44,17.0611,0,131137265239709.4,6.0945e-09,2.3547e-10,0.00034575,20,18720.3373,18720.3373,
45,17.0928,0,437124217465698.1,6.0945e-09,2.3547e-10,0.00034575,20,62338.1802,62338.1802,
46,17.1245,0,1457080724885660,6.0945e-09,2.3547e-10,0.00034575,20,207731.0632,207731.0632,
47,17.156,0,4856935749618868,6.0945e-09,2.3547e-10,0.00034575,20,692374.0283,692374.0283,
48,17.1876,0,1.618978583206289e+16,6.0945e-09,2.3547e-10,0.00034575,20,2307850.5852,2307850.5852,
49,17.2191,0,5.396595277354298e+16,6.0945e-09,2.3547e-10,0.00034575,20,7692772.4435,7692772.4435,
50,17.2507,0,1.798865092451433e+17,6.0945e-09,2.3547e-10,0.00034575,20,25642511.9717,25642511.9717,
51,17.282,0,5.996216974838111e+17,6.0945e-09,2.3547e-10,0.00034575,20,85474977.0661,85474977.0661,
52,17.3137,0,1.998738991612704e+18,6.0945e-09,2.3547e-10,0.00034575,20,284916527.3807,284916527.3807,
53,17.3452,0,6.662463305375679e+18,6.0945e-09,2.3547e-10,0.00034575,20,949721695.096,949721695.096,
54,17.377,0,2.220821101791893e+19,6.0945e-09,2.3547e-10,0.00034575,20,3165738920.8137,3165738920.8137,
55,17.4087,0,7.402737005972978e+19,6.0945e-09,2.3547e-10,0.00034575,20,10552463006.5394,10552463006.5394,
56,17.4405,0,2.467579001990993e+20,6.0945e-09,2.3547e-10,0.00034575,20,35174876625.6249,35174876625.6249,
57,17.472,0,8.225263339969975e+20,6.0945e-09,2.3547e-10,0.00034575,20,117249588689.2434,117249588689.2434,
58,17.504,0,2.741754446656658e+21,6.0945e-09,2.3547e-10,0.00034575,20,390831962234.6386,390831962234.6386,
59,17.536,0,9.139181488855528e+21,6.0945e-09,2.3547e-10,0.00034575,20,1302773207385.955,1302773207385.955,
60,17.5675,0,3.046393829618509e+22,6.0945e-09,2.3547e-10,0.00034575,20,4342577357890.345,4342577357890.345,
61,17.599,0,1.015464609872836e+23,6.0945e-09,2.3547e-10,0.00034575,20,14475257859571.64,14475257859571.64,
62,17.6305,0,3.384882032909455e+23,6.0945e-09,2.3547e-10,0.00034575,20,48250859531842.64,48250859531842.64,
63,17.6622,0,1.128294010969818e+24,6.0945e-09,2.3547e-10,0.00034575,20,160836198439412.7,160836198439412.7,
64,17.6939,0,3.760980036566062e+24,6.0945e-09,2.3547e-10,0.00034575,20,536120661464646,536120661464646,
65,17.7255,0,1.253660012188687e+25,6.0945e-09,2.3547e-10,0.00034575,20,1787068871548757,1787068871548757,
66,17.7574,0,4.178866707295624e+25,6.0945e-09,2.3547e-10,0.00034575,20,5956896238495794,5956896238495794,
67,17.789,0,1.392955569098541e+26,6.0945e-09,2.3547e-10,0.00034575,20,1.985632079498592e+16,1.985632079498592e+16,
68,17.8205,0,4.643185230328472e+26,6.0945e-09,2.3547e-10,0.00034575,20,6.618773598328635e+16,6.618773598328635e+16,
69,17.8521,0,1.547728410109491e+27,6.0945e-09,2.3547e-10,0.00034575,20,2.206257866109544e+17,2.206257866109544e+17,
70,17.8836,0,5.15909470036497e+27,6.0945e-09,2.3547e-10,0.00034575,20,7.354192887031813e+17,7.354192887031813e+17,
