"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.69801,0.15939,0,1,4.1752,
1,0.01321,3.1429,0.11429,0.010643,0,0.75259,0.92742,
2,0.019217,3.1429,0.083086,0.0065478,0,0.77327,0.62009,
3,0.026402,0.14612,0.068168,0.0039059,0,0.82658,0.42428,
4,0.029182,0.075424,0.068168,0.0039059,0,0.90714,0.5167,
5,0.044006,0,0.0025704,0.00025686,0,0.11847,0.16078,
6,0.046883,0.21704,0.0025704,0.00025686,0,0.1725,0.2347,
7,0.049596,0,0.0025704,0.00025686,0,0.24895,0.34066,
8,0.056755,0,0.00054009,5.1387e-05,0,0.079027,0.070165,
9,0.059489,0.0038178,0.00054009,5.1387e-05,0,0.11558,0.10268,
10,0.062322,0,0.00054009,5.1387e-05,0,0.16835,0.14976,
11,0.070218,0,0.00026317,3.2966e-05,0,0.12125,0.12402,
12,0.073049,0.00084735,0.00026317,3.2966e-05,0,0.17648,0.18103,
13,0.082996,0,0.00017853,1.4994e-05,0,0.17575,0.084804,
14,0.08583,0.0004458,0.00017853,1.4994e-05,0,0.25348,0.1231,
15,0.097289,0,6.302e-05,5.992e-06,0,0.13454,0.076336,
16,0.10755,0.00052931,3.1435e-05,3.0661e-06,0,0.098917,0.050456,
17,0.11039,0.00014718,3.1435e-05,3.0661e-06,0,0.14438,0.073844,
18,0.12063,0,1.4373e-05,1.5467e-06,0,0.097457,0.06143,
19,0.13145,0.0001037,5.161e-06,6.1727e-07,0,0.051542,0.04037,
20,0.14151,4.1344e-05,5.6275e-06,3.9425e-07,0,0.08232,0.044299,
21,0.15312,7.2279e-06,3.4363e-06,3.1614e-07,0,0.073831,0.039705,
22,0.16608,7.264e-06,1.7352e-06,1.2237e-07,0,0.05479,0.021056,
23,0.16882,8.8284e-06,1.7352e-06,1.2237e-07,0,0.080282,0.030867,
24,0.18163,0,3.2881e-08,2.9011e-09,0,0.0022401,0.0016865,
25,0.18437,7.9106e-06,3.2881e-08,2.9011e-09,0,0.0032881,0.0024754,
26,0.18708,0,3.2881e-08,2.9011e-09,0,0.0048262,0.0036334,
27,0.18993,0,3.2881e-08,2.9011e-09,0,0.0070838,0.0053331,
28,0.19263,0,3.2881e-08,2.9011e-09,0,0.010397,0.0078277,
29,0.19537,0,3.2881e-08,2.9011e-09,0,0.01526,0.011489,
30,0.20846,0,7.5028e-09,7.7202e-10,0,0.0051115,0.0058785,
