"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,1.3516e-08,1.1611e-09,1.0782,1.3516e-07,1.2888,
1,0.11411,1.8751,0.0099122,0.0003855,0.00097823,0.098638,0.010035,
2,0.15922,1.8751,0.0074575,0.00027958,0.0012343,0.10881,0.0075375,
3,0.20317,0.049562,0.0054645,0.0002034,0.0014632,0.11692,0.0055221,
4,0.30767,0.035626,0.0036828,0.00013399,0.0016656,0.11568,0.0037082,
5,0.36274,0.080917,0.0025648,9.5282e-05,0.001798,0.11821,0.0026,
6,0.49182,0.019199,0.0016554,6.1405e-05,0.0018982,0.11207,0.001691,
7,0.83833,0.069173,0.0010448,3.9e-05,0.0019154,0.10392,0.00108,
8,0.93121,0.44025,0.00070758,2.6434e-05,0.0019507,0.1033,0.00073704,
9,1.1571,0.011107,0.00048514,1.7924e-05,0.0019734,0.10395,0.00051025,
10,1.2934,0.01749,0.0003322,1.2292e-05,0.0019896,0.10448,0.00034081,
11,1.3171,0.0032991,0.00023029,8.5109e-06,0.0020005,0.10629,0.00025184,
12,1.4519,0.00045333,0.00015472,5.7344e-06,0.0020085,0.10483,0.0001618,
13,1.4753,0.0039444,0.00010632,3.9368e-06,0.0020137,0.10572,0.00012023,
14,1.6434,0.00021539,7.1783e-05,2.6627e-06,0.0020173,0.10478,8.1331e-05,
15,1.8141,0.0023938,4.8882e-05,1.8089e-06,0.0020197,0.10473,5.5715e-05,
16,1.8386,0.0036534,3.34e-05,1.2352e-06,0.0020214,0.10503,4.3626e-05,
17,1.9216,6.8905e-05,2.2792e-05,8.4283e-07,0.0020225,0.1052,3.0201e-05,
18,2.1363,7.394e-05,1.5485e-05,5.7294e-07,0.0020233,0.10492,2.4843e-05,
19,2.165,0.00058857,1.0559e-05,3.9063e-07,0.0020238,0.105,1.9408e-05,
20,2.192,2.193e-05,7.1982e-06,2.6629e-07,0.0020242,0.10507,2.2692e-05,
21,2.2203,1.496e-05,4.9059e-06,1.8149e-07,0.0020244,0.10511,1.921e-05,
22,2.2491,1.0204e-05,3.3433e-06,1.2368e-07,0.0020246,0.10514,1.8918e-05,
23,2.2747,6.9555e-06,2.278e-06,8.4268e-08,0.0020247,0.10515,2.4732e-05,
24,2.3002,4.7425e-06,1.5523e-06,5.7414e-08,0.0020248,0.10517,3.1263e-05,
25,2.3246,3.231e-06,1.0575e-06,3.9116e-08,0.0020248,0.10516,3.1771e-05,
26,2.3492,2.2027e-06,7.2052e-07,2.6662e-08,0.0020249,0.10517,3.3354e-05,
27,2.3719,1.4997e-06,4.907e-07,1.8166e-08,0.0020249,0.10513,7.0303e-05,
28,2.3975,1.0229e-06,3.3461e-07,1.2375e-08,0.0020249,0.10523,3.9425e-05,
29,2.4226,6.9513e-07,2.2781e-07,8.4348e-09,0.0020249,0.10515,0.00010533,
30,2.446,4.7538e-07,1.552e-07,5.7486e-09,0.0020249,0.10515,0.00015371,
31,2.4665,3.2315e-07,1.0674e-07,3.904e-09,0.002025,0.10614,0.0016459,
32,2.4805,2.1439e-07,1.0671e-07,3.921e-09,0.002025,0.10611,0.0009183,
33,2.4949,6.3106e-09,1.066e-07,3.9325e-09,0.002025,0.106,0.00041781,
34,2.508,3.1153e-09,1.0636e-07,3.9226e-09,0.002025,0.10576,0.00040767,
35,2.5233,3.0234e-09,1.0628e-07,3.93e-09,0.002025,0.10568,0.00011736,
36,2.5365,5.6136e-10,1.0561e-07,3.9049e-09,0.002025,0.10503,0.00018566,
37,2.5504,3.3473e-09,1.0563e-07,3.9096e-09,0.002025,0.10505,4.5515e-05,
38,2.5642,2.4073e-10,1.0583e-07,3.915e-09,0.002025,0.10524,8.4948e-05,
39,2.5781,1.3429e-09,1.0583e-07,3.9143e-09,0.002025,0.10524,3.4488e-05,
40,2.5911,1.4116e-10,1.058e-07,3.9141e-09,0.002025,0.10522,6.8142e-05,
41,2.6054,5.3494e-10,1.058e-07,3.9137e-09,0.002025,0.10521,2.1402e-05,
42,2.6171,9.1804e-11,1.0573e-07,3.9224e-09,0.002025,0.10514,0.00028141,
43,2.6312,2.5988e-09,1.0575e-07,3.9109e-09,0.002025,0.10516,3.5048e-05,
44,2.6455,3.4569e-10,1.0575e-07,3.9119e-09,0.002025,0.10517,2.1902e-05,
45,2.6577,7.432e-11,1.0585e-07,3.9177e-09,0.002025,0.10526,5.4635e-05,
46,2.6713,1.3348e-09,1.0583e-07,3.9149e-09,0.002025,0.10524,2.9808e-05,
47,2.6848,1.9501e-10,1.0581e-07,3.9139e-09,0.002025,0.10522,2.8762e-05,
48,2.6982,2.3399e-10,1.058e-07,3.9136e-09,0.002025,0.10521,2.0157e-05,
49,2.7096,1.0032e-10,1.0543e-07,3.902e-09,0.002025,0.10485,0.00016494,
50,2.7245,9.8481e-09,1.0548e-07,3.902e-09,0.002025,0.10489,7.2633e-05,
51,2.7375,2.7941e-10,1.0593e-07,3.9225e-09,0.002025,0.10534,0.00015102,
52,2.7514,2.1019e-09,1.059e-07,3.9175e-09,0.002025,0.10531,4.2289e-05,
53,2.7649,2.0465e-10,1.058e-07,3.9147e-09,0.002025,0.10521,7.4498e-05,
54,2.7788,6.4789e-10,1.058e-07,3.9134e-09,0.002025,0.10521,2.173e-05,
55,2.791,9.7541e-11,1.0577e-07,3.9136e-09,0.002025,0.10519,9.309e-05,
56,2.8053,1.334e-09,1.0577e-07,3.9131e-09,0.002025,0.10518,3.0101e-05,
57,2.8186,1.3774e-10,1.0577e-07,3.9129e-09,0.002025,0.10518,5.6911e-05,
58,2.8326,4.6914e-10,1.0577e-07,3.9125e-09,0.002025,0.10519,2.1344e-05,
59,2.8452,8.4019e-11,1.0581e-07,3.9181e-09,0.002025,0.10523,7.4064e-05,
60,2.8592,1.3147e-09,1.058e-07,3.914e-09,0.002025,0.10522,2.9521e-05,
61,2.8723,1.2726e-10,1.0578e-07,3.9128e-09,0.002025,0.10519,2.8401e-05,
62,2.8861,4.4604e-10,1.0578e-07,3.9128e-09,0.002025,0.10519,2.1312e-05,
63,2.8983,1.1524e-10,1.0579e-07,3.9138e-09,0.002025,0.1052,4.1558e-05,
64,2.9129,6.5558e-10,1.0579e-07,3.9133e-09,0.002025,0.1052,2.211e-05,
65,2.9254,7.7225e-11,1.0576e-07,3.9126e-09,0.002025,0.10518,9.9421e-05,
66,2.9394,1.3386e-09,1.0577e-07,3.9123e-09,0.002025,0.10518,3.1856e-05,
67,2.9525,1.4552e-10,1.0579e-07,3.9144e-09,0.002025,0.1052,5.9829e-05,
68,2.9668,4.8767e-10,1.0579e-07,3.9132e-09,0.002025,0.1052,2.1575e-05,
69,2.9789,8.7995e-11,1.0576e-07,3.9123e-09,0.002025,0.10517,6.7251e-05,
70,2.993,1.3135e-09,1.0577e-07,3.9122e-09,0.002025,0.10518,3.4289e-05,
71,3.0065,1.3567e-10,1.0579e-07,3.9145e-09,0.002025,0.10521,6.4124e-05,
72,3.0208,5.1471e-10,1.0579e-07,3.9134e-09,0.002025,0.1052,2.2576e-05,
73,3.0332,9.2723e-11,1.0576e-07,3.9136e-09,0.002025,0.10517,9.3252e-05,
74,3.0478,1.3504e-09,1.0577e-07,3.9122e-09,0.002025,0.10518,3.3103e-05,
75,3.0613,1.4877e-10,1.0579e-07,3.9138e-09,0.002025,0.10521,4.4952e-05,
76,3.0763,4.9595e-10,1.0579e-07,3.9134e-09,0.002025,0.1052,2.2636e-05,
77,3.0888,8.1095e-11,1.0576e-07,3.9138e-09,0.002025,0.10517,0.00011254,
78,3.1033,1.3543e-09,1.0577e-07,3.912e-09,0.002025,0.10518,3.5018e-05,
79,3.1164,1.6471e-10,1.058e-07,3.9143e-09,0.002025,0.10521,6.3428e-05,
80,3.1302,5.2313e-10,1.0579e-07,3.9134e-09,0.002025,0.1052,2.2681e-05,
81,3.143,9.4363e-11,1.0577e-07,3.9128e-09,0.002025,0.10518,4.0289e-05,
82,3.1564,6.9732e-10,1.0578e-07,3.9126e-09,0.002025,0.10519,2.3508e-05,
83,3.1691,1.4005e-10,1.0579e-07,3.9134e-09,0.002025,0.1052,3.4867e-05,
84,3.1829,3.6375e-10,1.0579e-07,3.9132e-09,0.002025,0.1052,2.0342e-05,
85,3.194,6.665e-11,1.0579e-07,3.917e-09,0.002025,0.1052,0.0002839,
86,3.2085,4.9939e-09,1.0578e-07,3.913e-09,0.002025,0.10519,2.1642e-05,
87,3.2212,2.9479e-10,1.0579e-07,3.9144e-09,0.002025,0.1052,3.9202e-05,
88,3.2355,6.5867e-10,1.0579e-07,3.9132e-09,0.002025,0.1052,2.2019e-05,
89,3.248,7.7511e-11,1.0576e-07,3.9117e-09,0.002025,0.10517,7.0393e-05,
90,3.2621,1.3315e-09,1.0577e-07,3.9125e-09,0.002025,0.10518,3.3344e-05,
91,3.2757,2.3397e-10,1.0578e-07,3.9131e-09,0.002025,0.10519,3.2936e-05,
92,3.2901,2.5316e-10,1.0578e-07,3.913e-09,0.002025,0.10519,1.9832e-05,
93,3.3021,6.3547e-11,1.0588e-07,3.9472e-09,0.002025,0.10529,0.00036767,
94,3.3163,4.673e-08,1.0585e-07,3.9275e-09,0.002025,0.10526,0.00011274,
95,3.3304,5.6053e-10,1.0579e-07,3.9177e-09,0.002025,0.1052,8.4852e-05,
96,3.3452,8.7879e-10,1.0579e-07,3.9133e-09,0.002025,0.1052,2.1184e-05,
97,3.3577,1.053e-10,1.0576e-07,3.9125e-09,0.002025,0.10517,5.2141e-05,
98,3.3717,1.2956e-09,1.0577e-07,3.9133e-09,0.002025,0.10518,3.1048e-05,
99,3.3854,1.934e-10,1.0578e-07,3.913e-09,0.002025,0.10519,2.2287e-05,
100,3.4008,1.2559e-10,1.0579e-07,3.9141e-09,0.002025,0.1052,2.7636e-05,
101,3.4178,3.4827e-10,1.0578e-07,3.9131e-09,0.002025,0.1052,1.9939e-05,
102,3.4289,9.9957e-11,1.057e-07,3.9131e-09,0.002025,0.10512,0.00016097,
103,3.4452,9.731e-09,1.0574e-07,3.9132e-09,0.002025,0.10516,8.0439e-05,
104,3.4596,5.8129e-10,1.0576e-07,3.9131e-09,0.002025,0.10518,4.2606e-05,
105,3.4738,2.9534e-10,1.0577e-07,3.913e-09,0.002025,0.10519,2.7008e-05,
106,3.4877,1.6751e-10,1.0578e-07,3.9136e-09,0.002025,0.10519,2.3497e-05,
107,3.5022,2.0776e-10,1.0578e-07,3.913e-09,0.002025,0.10519,1.9747e-05,
108,3.5147,9.6141e-11,1.0601e-07,3.9756e-09,0.002025,0.10542,0.00058091,
109,3.5294,2.0576e-07,1.0593e-07,3.9478e-09,0.002025,0.10534,0.0002498,
110,3.5439,1.0806e-09,1.0569e-07,3.909e-09,0.002025,0.1051,0.00019127,
111,3.5583,3.5557e-09,1.0574e-07,3.9112e-09,0.002025,0.10515,0.00010343,
112,3.5723,7.2283e-10,1.0576e-07,3.912e-09,0.002025,0.10517,4.903e-05,
113,3.5865,3.5728e-10,1.0577e-07,3.9125e-09,0.002025,0.10518,3.0994e-05,
114,3.6006,1.9594e-10,1.0578e-07,3.9127e-09,0.002025,0.10519,2.2317e-05,
115,3.6137,1.2662e-10,1.0579e-07,3.9133e-09,0.002025,0.1052,2.7796e-05,
116,3.6279,3.4792e-10,1.0578e-07,3.9131e-09,0.002025,0.1052,1.9844e-05,
117,3.6392,9.97e-11,1.0571e-07,3.9107e-09,0.002025,0.10513,0.00020548,
118,3.6536,9.6865e-09,1.0573e-07,3.9105e-09,0.002025,0.10514,8.9262e-05,
