"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,7.5028e-09,7.7202e-10,0.52625,0.34255,1.2685,
1,0.88211,4.1141,0.013008,0.00076909,0.029624,0.18135,0.051379,
2,1.071,4.1141,0.0057049,0.00026086,0.011456,0.1023,0.025858,
3,1.3678,0.43492,0.0027579,0.0001323,0.0041108,0.059347,0.011617,
4,1.5696,0.25357,0.001533,7.6433e-05,0.0014733,0.048441,0.0047001,
5,1.7947,0.17322,0.00097327,5.0013e-05,0.0006924,0.045144,0.001851,
6,1.9429,0.12833,0.00065748,3.4065e-05,0.00056127,0.044763,0.0008209,
7,2.0516,0.043252,0.00045298,2.343e-05,0.00056243,0.045267,0.00053178,
8,2.1121,0.013255,0.00030985,1.5997e-05,0.0005704,0.045449,0.00039821,
9,2.4827,0.001527,0.00021265,1.0923e-05,0.00056051,0.045781,0.00024267,
10,2.5155,0.21992,0.00014568,7.4721e-06,0.00056431,0.046036,0.0001843,
11,2.7482,0.00056017,9.9403e-05,5.099e-06,0.00056473,0.046106,0.00012292,
12,2.9667,0.031761,6.7819e-05,3.4867e-06,0.00056594,0.046172,8.9875e-05,
13,3.1748,0.0085459,4.6209e-05,2.3673e-06,0.00056677,0.046177,7.9833e-05,
14,3.4968,0.0058692,3.156e-05,1.6159e-06,0.00056731,0.046291,3.8366e-05,
15,3.7571,0.0040477,2.1525e-05,1.1022e-06,0.0005677,0.04634,3.3475e-05,
16,3.9712,0.0027145,1.4665e-05,7.5082e-07,0.00056796,0.046342,2.3586e-05,
17,4.1591,0.0018472,9.9914e-06,5.1111e-07,0.00056814,0.046343,2.1157e-05,
18,4.3559,0.0012579,6.8109e-06,3.4849e-07,0.00056827,0.046369,1.3678e-05,
19,4.5928,0.00085981,4.6405e-06,2.3744e-07,0.00056835,0.046372,1.0149e-05,
20,4.6378,0.00059087,3.1609e-06,1.6175e-07,0.00056843,0.046362,6.9597e-05,
21,5.5751,1.2376e-05,2.0363e-06,1.3084e-07,0.00056795,0.043844,0.0090128,
22,5.6238,0.082143,1.4642e-06,7.4908e-08,0.00056799,0.046269,9.3481e-05,
23,5.6664,4.6809e-06,9.9826e-07,5.1126e-08,0.00056801,0.046302,9.857e-05,
24,5.7071,3.8963e-06,6.7971e-07,3.4795e-08,0.00056803,0.046275,9.5569e-05,
25,5.7502,2.6679e-06,4.6301e-07,2.368e-08,0.00056804,0.046268,9.3366e-05,
26,5.7875,1.8137e-06,3.1597e-07,1.614e-08,0.00056805,0.046345,0.00014317,
27,5.828,1.2336e-06,2.1484e-07,1.0983e-08,0.00056806,0.046253,0.00011098,
28,5.8623,8.4333e-07,1.4667e-07,7.5091e-09,0.00056806,0.046349,0.0002322,
29,5.9045,5.694e-07,9.9808e-08,5.1028e-09,0.00056806,0.046294,9.3926e-05,
30,5.9235,3.9321e-07,9.4223e-08,4.8162e-09,0.00056806,0.064105,0.0027033,
31,5.9574,3.6858e-08,4.5533e-08,2.3392e-09,0.00056807,0.045502,0.00034507,
32,5.9747,4.1946e-07,4.561e-08,2.3407e-09,0.00056807,0.045578,0.00024831,
33,5.9951,1.3116e-09,4.5642e-08,2.3352e-09,0.00056807,0.045611,0.0001404,
34,6.0137,4.6721e-10,4.7146e-08,2.4148e-09,0.00056807,0.047111,0.00017874,
35,6.0305,1.7834e-08,4.7029e-08,2.4032e-09,0.00056807,0.046994,0.00021222,
36,6.0494,1.4532e-09,4.6986e-08,2.4008e-09,0.00056807,0.046952,0.00013292,
37,6.069,4.3639e-10,4.5591e-08,2.349e-09,0.00056807,0.04556,0.00025463,
38,6.0867,1.7754e-08,4.5647e-08,2.3374e-09,0.00056807,0.045615,0.0001662,
39,6.1058,9.6654e-10,4.5702e-08,2.338e-09,0.00056807,0.04567,0.00013372,
40,6.1286,6.8075e-10,4.7251e-08,2.4108e-09,0.00056807,0.047216,0.00016881,
41,6.1499,1.9053e-08,4.6168e-08,2.3856e-09,0.00056807,0.046135,0.00027772,
42,6.1686,1.1949e-08,4.6199e-08,2.3818e-09,0.00056807,0.046167,0.00041386,
43,6.1879,2.2111e-09,4.6211e-08,2.3631e-09,0.00056807,0.046178,9.4241e-05,
44,6.2115,4.9246e-10,4.9194e-08,2.5215e-09,0.00056807,0.049154,0.00049523,
45,6.2309,1.3879e-07,4.7714e-08,2.4836e-09,0.00056807,0.047678,0.00057498,
