"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,1.292,6.1803,2.6003e-05,NaN,NaN,NaN,NaN,1,6.799,7.1406e-09,7.575e-10,
1,0.18545,0.97118,0.074386,0.729,0,1.8607,1,2.3941,0.97595,0.058727,0.0057407,
2,0.049919,0.23447,0.14732,1,0,4.4614,1,2.3941,0.27272,0.098836,0.0057824,
3,0.030246,0.077247,0.22038,1,0,8.3586,1,2.3941,0.089297,0.024411,0.0025773,
4,0.027209,0.11392,0.28898,0.9,0,6.8158,1,2.3941,0.11905,0.024714,0.0019227,
5,0.015731,0.074485,0.36437,0.34868,0,1.0385,1,2.3941,0.082683,0.027015,0.0017036,
6,0.013403,0.058304,0.44909,0.15009,0,1.26,1,2.3941,0.066926,0.02161,0.0017041,
7,0.0080718,0.031414,0.5262,0.4783,0,2.3182,1,2.3941,0.041359,0.013506,0.0016991,
8,0.0064643,0.030195,0.60919,0.38742,0,2.0695,1,2.3941,0.039592,0.01493,0.0015003,
9,0.0055995,0.023623,0.69665,0.20589,0,0.97251,1,2.3941,0.033717,0.013498,0.0014462,
10,0.0041968,0.020037,0.77625,0.31381,0,1.1315,1,2.3941,0.034063,0.017663,0.0014526,
11,0.0029467,0.022271,0.85171,0.53144,0,2.0255,1,2.3941,0.0373,0.021482,0.0012922,
12,0.0029172,0.021499,0.92325,0.9,0,2.211,1,2.3941,0.03135,0.014313,0.001232,
13,0.0026096,0.02334,0.99917,1,0,1.1017,1,2.3941,0.029173,0.012044,0.00087765,
14,0.0021651,0.0015019,1.0731,1,0,1.0402,1,2.3941,0.0016426,0.00052164,3.0204e-05,
15,0.0021499,0.0004183,1.1477,1,0,0.51715,1,2.3941,0.00046555,0.00010002,1.3133e-05,
16,0.0021407,0.00011149,1.2163,1,0,0.53623,1,2.3941,0.00014047,4.9318e-05,5.0598e-06,
17,0.0021328,9.6039e-05,1.2864,1,0,0.58758,1,2.3941,0.00012274,4.8181e-05,4.5452e-06,
18,0.002126,7.9476e-05,1.3602,1,0,0.69397,1,2.3941,0.00010496,4.5913e-05,3.8877e-06,
19,0.0021227,3.649e-05,1.4351,1,0,0.58869,1,2.3941,4.7977e-05,2.3321e-05,1.5823e-06,
20,0.0021201,2.2769e-05,1.5134,1,0,0.50913,1,2.3941,2.8416e-05,1.3323e-05,8.2528e-07,
21,0.0021179,1.6668e-05,1.5876,1,0,0.45184,1,2.3941,1.9734e-05,8.3731e-06,5.0445e-07,
22,0.0021162,1.2967e-05,1.6637,1,0,0.40558,1,2.3941,1.4698e-05,5.5645e-06,3.2725e-07,
23,0.0021148,1.0499e-05,1.7352,1,0,0.36747,1,2.3941,1.1536e-05,3.8711e-06,2.2713e-07,
24,0.0021136,8.7417e-06,1.809,1,0,0.33527,1,2.3941,9.3852e-06,2.7909e-06,1.6297e-07,
25,0.0021126,7.4743e-06,1.8915,1,0,0.30935,1,2.3941,7.8909e-06,2.0933e-06,1.2056e-07,
26,0.0021118,6.5146e-06,1.9654,1,0,0.28773,1,2.3941,6.7926e-06,1.6176e-06,9.011e-08,
27,0.002111,5.7652e-06,2.0373,1,0,0.26937,1,2.3941,5.9596e-06,1.2807e-06,6.7812e-08,
28,0.0021104,5.1655e-06,2.1115,1,0,0.25352,1,2.3941,5.3173e-06,1.0338e-06,6.1519e-08,
29,0.0021098,4.6774e-06,2.1831,1,0,0.2398,1,2.3941,4.7925e-06,8.5025e-07,5.1231e-08,
30,0.0021093,4.2722e-06,2.2531,1,0,0.22772,1,2.3941,4.3591e-06,7.0891e-07,4.252e-08,
31,0.0021088,3.9315e-06,2.3223,1,0,0.21701,1,2.3941,3.9982e-06,5.9874e-07,3.5677e-08,
32,0.0021083,3.6415e-06,2.3927,1,0,0.20745,1,2.3941,3.6934e-06,5.1131e-07,3.0202e-08,
33,0.0021079,3.392e-06,2.4644,1,0,0.19885,1,2.3941,3.433e-06,4.4094e-07,2.5837e-08,
34,0.0021076,3.1752e-06,2.537,1,0,0.19108,1,2.3941,3.2082e-06,3.8357e-07,2.2328e-08,
35,0.0021072,2.9852e-06,2.6141,1,0,0.184,1,2.3941,3.0115e-06,3.3613e-07,1.8961e-08,
36,0.0021069,2.8179e-06,2.6851,1,0,0.17755,1,2.3941,2.8399e-06,2.9684e-07,1.7107e-08,
37,0.0021066,2.6688e-06,2.7542,1,0,0.17161,1,2.3941,2.6868e-06,2.6354e-07,1.4724e-08,
38,0.0021063,2.5358e-06,2.8252,1,0,0.16614,1,2.3941,2.5508e-06,2.3544e-07,1.305e-08,
39,0.0021061,2.4161e-06,2.8966,1,0,0.16109,1,2.3941,2.4288e-06,2.1138e-07,1.1604e-08,
40,0.0021058,2.308e-06,2.9754,1,0,0.15639,1,2.3941,2.3188e-06,1.9067e-07,1.0319e-08,
41,0.0021056,2.2098e-06,3.0501,1,0,0.15202,1,2.3941,2.2191e-06,1.7274e-07,9.3535e-09,
42,0.0021054,2.1204e-06,3.121,1,0,0.14794,1,2.3941,2.1284e-06,1.5711e-07,8.5131e-09,
43,0.0021052,2.0385e-06,3.1969,1,0,0.14412,1,2.3941,2.0454e-06,1.4343e-07,7.7764e-09,
44,0.002105,1.9633e-06,3.2742,1,0,0.14053,1,2.3941,1.9693e-06,1.3138e-07,7.1273e-09,
