"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,8.8558e-08,5.1233e-09,0.33446,1,4.7157,4.6099,
1,0.17694,8.4942,3.3333,1.093,0.16083,0.87491,1.1834,2.7048,0.099467,
2,0.22975,8.4942,3.3333,0.31129,0.031041,0.052471,0.43292,0.54522,0.066176,
3,0.25841,3.6134,3.3333,0.10563,0.0063343,0.025455,0.18835,0.13967,0.054613,
4,0.29029,0.96682,3.3333,0.032392,0.0022763,0.028729,0.20353,0.050036,0.024843,
5,0.30303,0.80711,3.3333,0.015888,0.0014998,0.029477,0.22027,0.041752,0.031948,
6,0.31645,0.082334,11.1111,0.018426,0.0012819,0.029357,0.21957,0.033901,0.023858,
7,0.34766,0.03485,11.1111,0.0068572,0.00055273,0.030221,0.2489,0.020971,0.017829,
8,0.38035,0.13168,11.1111,0.0054483,0.0003826,0.030443,0.2771,0.013017,0.010564,
9,0.39503,0.064336,11.1111,0.0040514,0.00034449,0.030414,0.31695,0.016876,0.015327,
10,0.42099,0.0055604,37.037,0.0038146,0.00039338,0.030459,0.33881,0.014047,0.0122,
11,0.51966,0.048978,37.037,0.0016785,0.00011018,0.031854,0.37073,0.0080735,0.0077336,
12,0.55131,0.16402,123.4568,0.0013497,6.7389e-05,0.032087,0.39798,0.0078817,0.007711,
13,1.1775,0.010351,123.4568,0.0010292,6.6771e-05,0.029855,0.46914,0.0049363,0.0046891,
14,1.2532,0.77795,123.4568,0.0002954,1.8711e-05,0.030354,0.49652,0.0039243,0.0038992,
15,1.3187,0.017405,123.4568,0.00013569,9.8587e-06,0.030519,0.50727,0.0022339,0.0022243,
16,1.4829,0.0090267,411.5226,0.00031843,2.1163e-05,0.030842,0.46796,0.0030437,0.0030037,
17,1.6972,0.07581,411.5226,7.3016e-05,5.2605e-06,0.030447,0.49801,0.0023026,0.0022997,
18,3.0565,0.049878,1371.7421,0.00029838,1.6951e-05,0.030473,0.37522,0.011386,0.011378,
19,4.3268,0.37995,1371.7421,7.3846e-05,4.5134e-06,0.029935,0.47652,0.0029923,0.0029905,
20,4.4076,0.16927,1371.7421,8.652e-06,5.5464e-07,0.029991,0.48593,0.0010869,0.0010868,
21,4.4638,0.001244,1371.7421,5.3102e-06,2.9573e-07,0.030001,0.48551,0.00095792,0.00095789,
22,4.7798,0.00030799,4572.4737,1.2201e-05,6.9717e-07,0.030006,0.46877,0.00077,0.00076982,
23,6.1174,0.013202,4572.4737,3.7391e-06,3.4285e-07,0.029941,0.45375,0.0075057,0.0075057,
24,7.4877,0.37921,15241.579,1.3877e-05,7.3504e-07,0.029896,0.5172,0.015645,0.015645,
25,7.6888,0.079142,15241.579,9.2353e-07,9.2019e-08,0.029907,0.52306,0.00032441,0.00032441,
26,8.9954,0.0002099,50805.2634,8.1112e-06,3.9723e-07,0.029905,0.43845,0.017416,0.017416,
27,10.3606,0.046651,50805.2634,2.4419e-06,1.172e-07,0.029896,0.52584,0.01183,0.01183,
28,11.7413,0.020129,50805.2634,9.5344e-07,8.4354e-08,0.029892,0.51562,0.027158,0.027158,
29,13.0837,0.030575,169350.8781,1.534e-06,1.5147e-07,0.029888,0.43768,0.053742,0.053742,
30,14.4004,0.035696,169350.8781,4.9761e-07,4.8804e-08,0.029884,0.52195,0.0005908,0.0005908,
31,14.515,0.0097434,169350.8781,1.2442e-08,7.4936e-10,0.029885,0.52174,0.00031552,0.00031552,
32,14.5461,7.1473e-06,564502.9269,1.2124e-08,6.0513e-10,0.029885,0.52153,0.00042549,0.00042549,
33,14.5912,1.0964e-08,564502.9269,9.4758e-09,4.9962e-10,0.029885,0.52114,0.0006173,0.0006173,
