"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.81544,0.15734,0,1,3.4771,
1,0.01866,3.2382,0.063561,0.009115,0,0.53642,0.80236,
2,0.026738,3.2382,0.038188,0.0049875,0,0.48895,0.52668,
3,0.030804,0.13215,0.038188,0.0049875,0,0.63534,0.72013,
4,0.039493,0,0.037314,0.0036928,0,0.76289,0.60101,
5,0.050402,0.058944,0.033439,0.0023558,0,0.84063,0.45866,
6,0.065902,0.037737,0.0039346,0.00046305,0,0.25892,0.40485,
7,0.075846,0.12618,0.0016822,0.00020473,0,0.16589,0.25361,
8,0.086396,0.0090396,0.00029188,3.1884e-05,0,0.042803,0.040252,
9,0.090621,0.0028771,0.00029188,3.1884e-05,0,0.06276,0.05903,
10,0.094753,0,0.00029188,3.1884e-05,0,0.091911,0.086483,
11,0.098787,0,0.00029188,3.1884e-05,0,0.13425,0.12644,
12,0.10285,0,0.00029188,3.1884e-05,0,0.19504,0.18405,
13,0.11752,0,0.00019674,1.6321e-05,0,0.19304,0.086076,
14,0.12178,0.00039884,0.00019674,1.6321e-05,0,0.27744,0.12426,
15,0.13484,0,4.8076e-05,4.7306e-06,0,0.10302,0.096211,
16,0.1477,0.00065598,4.0408e-05,3.3674e-06,0,0.12675,0.07716,
17,0.16362,6.8628e-05,2.4079e-05,2.3568e-06,0,0.11108,0.064393,
18,0.17864,5.4395e-05,1.6798e-05,1.426e-06,0,0.1137,0.069842,
19,0.19487,4.9068e-05,1.0298e-05,9.9802e-07,0,0.10244,0.059323,
20,0.21364,2.2833e-05,3.3809e-06,3.0537e-07,0,0.049564,0.02497,
21,0.21965,3.264e-05,3.3809e-06,3.0537e-07,0,0.072647,0.036623,
22,0.24057,0,1.5929e-06,1.4005e-07,0,0.050309,0.038266,
23,0.25744,1.0356e-05,9.912e-07,1.0085e-07,0,0.045959,0.029777,
24,0.27729,1.7128e-06,1.2103e-07,9.6032e-09,0,0.0082452,0.0098276,
25,0.28127,5.0183e-06,1.2103e-07,9.6032e-09,0,0.012102,0.014424,
26,0.28556,0,1.2103e-07,9.6032e-09,0,0.017762,0.021171,
27,0.30285,0,6.6662e-08,6.2227e-09,0,0.01436,0.017812,
28,0.32045,2.3705e-07,1.0569e-08,1.1541e-09,0,0.0033423,0.0043248,
29,0.32461,9.9723e-08,1.0569e-08,1.1541e-09,0,0.0049058,0.0063479,
30,0.32873,0,1.0569e-08,1.1541e-09,0,0.0072006,0.0093173,
