"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,2.3473e-08,2.0669e-09,1.4689,2.3473e-07,1.6086,
1,0.049975,2.1456,0.0079288,0.00086997,0.0071948,0.07904,0.08727,
2,0.059435,2.1456,0.0049134,0.00051009,0.0065536,0.071933,0.064095,
3,0.071011,0.021506,0.0014073,0.00016735,0.0057156,0.030305,0.0453,
4,0.074951,0.025072,0.0014073,0.00016735,0.0057156,0.044458,0.048913,
5,0.10911,0,0.00045262,6.4984e-05,0.0005008,0.021004,0.033847,
6,0.12049,0.25817,0.00037463,3.9584e-05,0.00046403,0.025515,0.028708,
7,0.15044,0.0020696,0.00019417,2.0183e-05,9.6162e-05,0.019414,0.02245,
8,0.16275,0.031936,9.4487e-05,7.9022e-06,9.5776e-05,0.013868,0.0073649,
9,0.16684,0.00032853,9.4487e-05,7.9022e-06,9.5776e-05,0.020352,0.0091767,
10,0.17096,0,9.4487e-05,7.9022e-06,9.5776e-05,0.029866,0.012447,
11,0.22797,0,5.0277e-06,7.5619e-07,2.9869e-05,0.0023336,0.0058722,
12,0.23201,0.022261,5.0277e-06,7.5619e-07,2.9869e-05,0.0034253,0.006987,
13,0.24804,0,2.2868e-06,2.8854e-07,2.9798e-05,0.0022868,0.0057044,
14,0.28481,2.0871e-05,7.529e-06,5.917e-07,1.3039e-05,0.01105,0.0049111,
15,0.30302,0.006917,6.2688e-07,1.0732e-07,1.3009e-05,0.0013506,0.0032228,
16,0.31868,3.9867e-05,5.0626e-07,6.9807e-08,1.3001e-05,0.0016009,0.0026937,
17,0.38512,4.4576e-06,2.3302e-07,2.2751e-08,5.8165e-06,0.0010816,0.002337,
18,0.4438,0.0069451,1.5993e-07,1.9334e-08,2.6474e-06,0.0010896,0.0012179,
19,0.44836,0.0030038,1.5993e-07,1.9334e-08,2.6474e-06,0.0015993,0.0015162,
20,0.46864,0,8.6027e-08,8.38e-09,2.647e-06,0.0012627,0.0010942,
21,0.60225,6.1455e-07,3.5688e-08,4.7164e-09,1.5068e-08,0.00076887,0.00073817,
22,0.61768,0.0061794,1.5583e-08,1.8901e-09,1.5066e-08,0.00049279,0.00069216,
23,0.63648,1.3085e-07,7.2994e-09,7.3393e-10,1.5065e-08,0.00033881,0.00026497,
24,0.64044,3.0514e-08,7.2994e-09,7.3393e-10,1.5065e-08,0.0004973,0.00035249,
25,0.66245,0,6.6422e-09,4.0602e-10,1.5064e-08,0.00066422,0.00031038,
26,0.68304,1.3983e-08,3.7013e-09,2.2048e-10,1.5063e-08,0.00054327,0.00022896,
27,0.70306,1.2334e-08,2.8254e-09,1.917e-10,1.5059e-08,0.00060872,0.00028635,
28,0.72193,3.6044e-08,1.6703e-09,1.0693e-10,1.5059e-08,0.00052821,0.000261,
29,0.7462,5.8052e-09,1.0932e-09,6.9656e-11,1.5058e-08,0.00050741,0.00023595,
30,0.7651,2.8021e-09,4.7639e-10,3.9079e-11,1.5058e-08,0.00032456,0.00042329,
31,0.78974,4.6561e-09,1.6117e-10,1.2263e-11,1.5058e-08,0.00016117,0.0001705,
32,0.8088,7.7416e-10,1.6046e-09,1.1427e-10,1.5051e-08,0.0016046,0.0010914,
33,0.83027,4.0899e-08,1.1811e-09,6.5621e-11,1.5051e-08,0.0011811,0.00039339,
34,0.85102,1.6985e-09,1.1028e-10,1.7518e-11,1.5051e-08,0.00011028,0.00022521,
35,0.87356,6.0169e-09,5.9589e-11,7.1308e-12,1.5051e-08,5.9589e-05,0.00016358,
36,0.94376,8.2134e-10,3.7047e-11,3.5125e-12,6.0565e-10,3.7047e-05,4.4715e-05,
