"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,2.3615e-08,2.0054e-09,0.17487,0.30839,0.79862,
1,0.057651,1.1989,0.065665,0.0029073,0.02974,0.57613,0.13569,
2,0.11514,1.1989,0.029274,0.0015562,0.024254,0.40506,0.085334,
3,0.29017,0.27935,0.0041266,0.00029216,0.0050669,0.088672,0.064268,
4,0.31684,1.0449,0.0026365,0.00019486,0.0048397,0.083181,0.048994,
5,0.36913,0.0065942,0.00083013,5.5054e-05,0.0027019,0.038512,0.021278,
6,0.37974,0.0806,0.00083013,5.5054e-05,0.0027019,0.056496,0.026154,
7,0.43204,0,0.0006859,4.4072e-05,0.0024984,0.068483,0.020421,
8,0.6311,0.017285,0.00017796,1.6232e-05,0.00018696,0.026115,0.018331,
9,0.65387,0.25865,0.00019692,1.2964e-05,0.00018486,0.042399,0.015712,
10,0.7491,0.0003195,7.735e-05,4.3477e-06,8.0477e-05,0.024455,0.0099836,
11,0.76926,0.023275,6.7361e-05,3.5509e-06,8.0378e-05,0.031256,0.0092838,
12,0.85623,5.1658e-05,1.0102e-05,1.1601e-06,4.2996e-05,0.0068826,0.0056859,
13,0.87703,0.012503,1.1479e-05,8.3492e-07,4.3005e-05,0.011479,0.0057664,
14,0.9085,1.5778e-05,1.0253e-05,5.7298e-07,4.2966e-05,0.015048,0.0047797,
15,1.0331,2.3255e-05,2.6478e-06,2.0666e-07,2.5371e-05,0.0057045,0.0034431,
16,1.1623,0.009275,1.3964e-06,1.2158e-07,1.5882e-05,0.0044158,0.0030147,
17,1.2828,0.006275,6.4108e-07,4.7334e-08,1.03e-05,0.0029756,0.0020109,
18,1.4161,0.0052829,4.4916e-07,2.8484e-08,6.8275e-06,0.0030601,0.0017328,
19,1.5801,0.0038339,2.3492e-07,1.3092e-08,4.5823e-06,0.0023492,0.0012734,
20,1.7251,0.0033552,1.4035e-07,8.307e-09,3.0983e-06,0.00206,0.001161,
21,2.0476,0.002517,1.3316e-08,1.5127e-09,3.2122e-08,0.00028688,0.00042653,
22,2.0576,0.0086486,1.3316e-08,1.5127e-09,3.2122e-08,0.00042108,0.00061977,
23,2.0853,0,7.2658e-09,7.6704e-10,3.2122e-08,0.00033725,0.0002839,
24,2.0963,2.774e-08,7.2658e-09,7.6704e-10,3.2122e-08,0.00049501,0.00040229,
25,2.1398,0,6.1441e-09,5.6884e-10,3.2121e-08,0.0006144,0.00026066,
26,2.1818,1.3096e-08,5.8597e-09,3.733e-10,3.2121e-08,0.00086009,0.00019079,
27,2.2194,1.2071e-08,3.2633e-09,2.4922e-10,3.212e-08,0.00070306,0.00024951,
28,2.26,3.5207e-08,2.7327e-09,1.6569e-10,3.212e-08,0.00086416,0.0002574,
29,2.3019,6.0997e-09,2.4662e-09,1.1665e-10,3.212e-08,0.0011447,0.00023354,
30,2.3366,2.8469e-09,1.7819e-09,9.8134e-11,3.212e-08,0.001214,0.00039062,
31,2.3711,5.4001e-09,1.8314e-09,8.4471e-11,3.212e-08,0.0018314,0.00031349,
32,2.4093,1.1039e-09,2.6248e-10,1.7662e-11,3.212e-08,0.00026248,0.00013381,
33,2.4399,2.0107e-08,1.0287e-10,1.5169e-11,3.212e-08,0.00010287,0.00021886,
34,2.4769,4.1231e-09,6.5824e-11,7.867e-12,3.212e-08,6.5824e-05,0.00010618,
35,2.5117,3.9024e-10,6.6377e-10,6.115e-11,3.2117e-08,0.00066377,0.00037906,
36,2.5504,2.5833e-08,6.3248e-10,4.6516e-11,3.2117e-08,0.00063248,0.00026761,
37,2.5932,1.4493e-09,6.6989e-10,3.9191e-11,3.2117e-08,0.00066989,0.00014426,
38,2.6248,5.1383e-10,6.5891e-10,4.2428e-11,3.2117e-08,0.00065891,0.00072258,
39,2.6614,8.783e-09,2.0392e-10,2.1214e-11,3.2117e-08,0.00020392,0.00013467,
40,2.6958,8.9659e-10,2.3202e-10,3.1676e-11,3.2116e-08,0.00023202,0.00025768,
41,2.7323,4.0259e-09,1.387e-10,2.0488e-11,3.2116e-08,0.0001387,0.000136,
42,2.7692,8.6748e-10,1.5362e-10,1.3098e-11,3.2116e-08,0.00015362,0.00012503,
43,2.8126,1.0976e-09,1.6471e-10,1.0977e-11,3.2116e-08,0.00016471,0.00010119,
44,2.9721,5.0497e-10,9.6395e-11,5.3625e-12,5.2303e-09,9.6395e-05,7.4128e-05,
