"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.39137,5.0535,2.952e-05,NaN,NaN,NaN,NaN,1,5.5627,6.0767e-09,3.9142e-10,
1,0.19353,0.39123,0.071666,0.31381,0,0.7073,1,1.6984,0.45926,0.028008,0.0029421,
2,0.18899,0.35801,0.15614,0.034337,0,1.6787,1,1.6984,0.3827,0.028343,0.0027514,
3,0.0168,0.14968,0.22255,1,0,1.7245,1,1.6984,0.17687,0.093828,0.0031656,
4,0.0094957,0.088469,0.30072,0.13509,0,1.587,1,1.6984,0.11819,0.077326,0.0031323,
5,0.0077784,0.080221,0.38142,0.064611,0,0.44266,1,1.6984,0.10584,0.067044,0.003135,
6,0.0073889,0.07874,0.46882,0.020276,0,0.18747,1,1.6984,0.10329,0.064632,0.0031387,
7,0.0070683,0.076942,0.55882,0.020276,0,0.17248,1,1.6984,0.1008,0.062653,0.0031367,
8,0.0040322,0.051226,0.62626,1,0,2.5667,1,1.6984,0.06178,0.030515,0.001868,
9,0.00039629,0.025693,0.69969,0.34868,0,1.5258,1,1.6984,0.036848,0.018465,0.001841,
10,1.7638e-05,0.0047707,0.76562,1,0,0.52278,1,1.6984,0.0066061,0.0034527,0.00030805,
11,5.9955e-09,8.862e-05,0.83117,1,0,0.054944,1,1.6984,0.00012568,6.9147e-05,5.0012e-06,
12,1.1349e-15,2.8037e-08,0.90268,1,0,0.00041921,1,1.6984,3.9926e-08,2.39e-08,1.6606e-09,
