"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,1.3742e-08,5.7967e-10,0.69252,1,3.3293,3.206,
1,0.60783,22.3216,3.3333,1.1667,0.12105,0.96561,1.3116,2.0423,0.01221,
2,1.3709,22.3216,3.3333,0.10089,0.0090909,0.013236,1.1017,0.15264,0.0059811,
3,2.0519,5.824,11.1111,0.19659,0.0090498,0.014672,0.44639,0.20797,0.042157,
4,2.1082,14.4358,11.1111,0.040021,0.0015955,1.3298e-05,0.0017047,0.04047,0.00048387,
5,2.1596,0.6025,11.1111,0.00014849,6.3706e-06,8.1873e-06,0.00077026,0.00024144,0.00018726,
6,2.1666,0.47314,11.1111,1.4974e-05,1.383e-06,8.1695e-06,0.00068616,0.00029167,0.00029085,
7,2.1723,0.00027477,37.037,2.1394e-05,2.4801e-06,8.1466e-06,0.00083711,0.00021294,0.00020975,
8,2.1806,6.0687e-05,37.037,4.529e-06,4.2066e-07,8.1576e-06,0.00084087,0.00014777,0.00014761,
9,2.1895,4.2283e-05,123.4568,5.1832e-06,2.3865e-07,8.1565e-06,0.00082223,0.00015411,0.00015402,
10,2.2542,3.0591e-05,123.4568,7.9534e-07,9.0081e-08,7.0697e-06,0.00092042,0.00010393,0.00010392,
11,2.2632,0.019166,123.4568,4.5909e-07,5.571e-08,7.0707e-06,0.00086375,9.732e-05,9.7317e-05,
12,2.2841,2.9118e-06,123.4568,1.4075e-07,1.7182e-08,7.0648e-06,0.00087862,3.8945e-05,3.8944e-05,
13,2.2873,0.00012437,411.5226,1.4075e-07,1.7182e-08,7.0648e-06,0.00089349,4.0089e-05,4.0089e-05,
14,2.2967,0,411.5226,7.5581e-08,5.5524e-09,7.0649e-06,0.00086239,4.2381e-05,4.2381e-05,
15,2.3074,4.6544e-07,1371.7421,6.2752e-08,4.2013e-09,7.0648e-06,0.00087999,3.6224e-05,3.6224e-05,
16,2.3352,5.3362e-07,1371.7421,1.5455e-08,1.504e-09,7.0638e-06,0.00085879,2.813e-05,2.813e-05,
17,2.3468,6.1484e-05,1371.7421,7.7223e-09,7.3974e-10,7.0638e-06,0.00086939,2.3057e-05,2.3057e-05,
18,2.4846,8.2686e-08,4572.4737,1.0864e-07,4.2299e-09,7.0564e-06,0.00085595,1.4359e-05,1.4359e-05,
19,2.4964,0.0011253,4572.4737,3.5699e-09,2.619e-10,7.0564e-06,0.00085555,1.3725e-05,1.3725e-05,
20,2.5064,1.953e-07,4572.4737,2.5605e-09,2.304e-10,7.0564e-06,0.00086217,6.515e-06,6.515e-06,
21,2.517,7.7948e-09,4572.4737,8.9449e-10,6.7704e-11,7.0564e-06,0.00086285,4.2713e-06,4.2713e-06,
22,2.5202,6.0963e-09,15241.579,8.9449e-10,6.7704e-11,7.0564e-06,0.00086354,4.8372e-06,4.8372e-06,
23,2.5318,0,15241.579,1.6574e-10,1.5625e-11,7.0564e-06,0.00086338,5.0058e-06,5.0058e-06,
24,2.5429,1.9112e-09,50805.2634,3.0777e-10,1.4408e-11,7.0564e-06,0.00086365,4.8698e-06,4.8698e-06,
25,2.5549,1.5753e-09,50805.2634,4.5276e-11,2.6894e-12,7.0564e-06,0.00086352,6.797e-06,6.797e-06,
26,2.5677,6.7058e-10,169350.8781,9.2434e-11,5.707e-12,7.0564e-06,0.00086354,3.8658e-06,3.8658e-06,
27,2.582,2.5706e-10,169350.8781,3.1866e-12,1.5714e-13,7.0564e-06,0.00086355,3.8706e-06,3.8706e-06,
28,2.5923,1.2133e-10,564502.9269,6.6279e-11,7.5355e-12,7.0564e-06,0.00086532,1.5688e-05,1.5688e-05,
29,2.606,3.835e-09,564502.9269,2.413e-11,1.6804e-12,7.0564e-06,0.00086336,1.4393e-05,1.4393e-05,
30,2.6197,1.9596e-10,564502.9269,1.4731e-11,1.3229e-12,7.0564e-06,0.00086377,5.6846e-06,5.6846e-06,
31,2.6335,6.647e-11,564502.9269,9.1976e-12,6.4143e-13,7.0564e-06,0.00086346,4.2188e-06,4.2188e-06,
32,2.6471,3.3246e-11,564502.9269,2.0135e-12,1.3186e-13,7.0564e-06,0.00086354,3.9244e-06,3.9244e-06,
33,2.6599,2.7744e-11,1881676.4232,5.8731e-12,5.7185e-13,7.0564e-06,0.00086332,5.2297e-06,5.2297e-06,
34,2.6746,1.2679e-10,1881676.4232,1.1505e-12,1.1126e-13,7.0564e-06,0.00086365,4.743e-06,4.743e-06,
35,2.6883,1.5083e-11,6272254.7439,3.439e-12,1.9246e-13,7.0564e-06,0.00086366,6.4763e-06,6.4763e-06,
36,2.704,2.0564e-11,6272254.7439,9.375e-13,5.7738e-14,7.0564e-06,0.00086338,6.1856e-06,6.1856e-06,
37,2.7187,5.4374e-12,20907515.8129,2.3014e-12,1.577e-13,7.0564e-06,0.00086354,1.4372e-05,1.4372e-05,
38,2.7355,7.5347e-12,20907515.8129,7.3015e-13,5.0725e-14,7.0564e-06,0.00086396,1.1449e-05,1.1449e-05,
39,2.752,3.7995e-12,69691719.3763,7.067e-13,3.7287e-14,7.0564e-06,0.00086366,8.9751e-06,8.9751e-06,
40,2.7779,2.7194e-12,232305731.2542,7.067e-13,3.7287e-14,7.0564e-06,0.00086266,4.28e-05,4.28e-05,
41,2.805,0,774352437.514,7.067e-13,3.7287e-14,7.0564e-06,0.0008593,0.00017029,0.00017029,
42,2.831,0,2581174791.7132,7.067e-13,3.7287e-14,7.0564e-06,0.00084813,0.00059713,0.00059713,
43,2.8623,0,8603915972.3773,7.067e-13,3.7287e-14,7.0564e-06,0.0025723,0.0020204,0.0020204,
44,2.8897,0,28679719907.9244,7.067e-13,3.7287e-14,7.0564e-06,0.0086527,0.0067646,0.0067646,
