"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.99273,0.23148,0,1,5.2949,
1,0.014753,3.8265,0.095482,0.013718,0,0.69058,0.8794,
2,0.023949,3.8265,0.078328,0.0086759,0,0.75452,0.5127,
3,0.028305,0.17807,0.078328,0.0086759,0,0.86029,0.65553,
4,0.038918,0,0.07381,0.0076795,0,0.91919,0.49912,
5,0.05013,0.078382,0.070588,0.0070938,0,0.95644,0.38826,
6,0.060908,0.035223,0.069356,0.0068218,0,0.97833,0.39686,
7,0.072103,0.024088,0.068346,0.0066154,0,0.98946,0.35208,
8,0.10783,0.013229,0.085908,0.0058733,0,0.99687,0.21672,
9,0.11215,0.17345,0.085908,0.0058733,0,0.99854,0.27283,
10,0.12421,0,0.086376,0.0057726,0,0.99933,0.21762,
11,0.14651,0.0049631,0.08873,0.0057034,0,0.99971,0.23714,
12,0.15928,0.015855,0.088955,0.0056657,0,0.99986,0.20472,
13,0.20332,0.0018976,0.096854,0.0056027,0,0.99995,0.20673,
14,0.21616,0.026164,0.096941,0.005589,0,0.99998,0.19891,
15,0.23782,0.0006064,0.097336,0.0055788,0,0.99999,0.17296,
16,0.31799,0.0016648,0.10467,0.0055504,0,1,0.18042,
17,1.0451,0.017004,0.086074,0.0032706,0,1,0.1341,
18,1.0608,1.441,0.086122,0.0032683,0,1,0.12473,
19,1.0777,0.00019642,0.086164,0.0032671,0,1,0.12129,
20,1.0939,0.00013257,0.086194,0.0032663,0,1,0.12324,
21,1.1125,8.8451e-05,0.086216,0.0032657,0,1,0.12347,
22,1.1825,6.3776e-05,0.08638,0.0032643,0,1,0.11739,
23,1.2015,0.001188,0.086389,0.0032641,0,1,0.11782,
24,1.2405,2.4575e-05,0.086409,0.0032638,0,1,0.11905,
25,1.2616,0.00012841,0.086414,0.0032636,0,1,0.11824,
26,2.2152,1.1707e-05,0.051233,0.0016088,0,1,3.0091,
27,3.1973,1.418,0.045295,0.0010746,0,1,2.9017,
28,4.2465,0.14614,0.044862,0.00089768,0,1,0.35894,
29,5.1955,0.056643,0.033962,0.00071798,0,1,1.5411,
30,6.227,0.39652,0.033159,0.00067047,0,1,2.4792,
31,7.2023,0.064343,0.031059,0.0006249,0,1,1.5221,
32,8.1292,0.079247,0.026895,0.00057713,0,1,2.6595,
33,9.0881,0.15157,0.024419,0.00050431,0,1,3.2718,
34,9.6353,0.095914,0.024385,0.00048785,0,1,0.025835,
35,9.6396,0.001262,0.024385,0.00048785,0,1,0.025835,
36,9.644,0,0.024385,0.00048785,0,1,0.025835,
