"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,9.7209e-09,8.111e-10,0.41031,9.7209e-08,0.89546,
1,0.065723,0.9458,0.0001394,1.1387e-05,1.0567e-06,0.001394,0.00064017,
2,0.069861,0.9458,0.0001394,1.1387e-05,1.0567e-06,0.0020461,0.00077103,
3,0.07982,0,0.00010228,7.1955e-06,1.1814e-06,0.0022037,0.00058132,
4,0.093284,0.00021225,5.978e-05,4.0753e-06,1.2707e-06,0.0018904,0.00050431,
5,0.12119,0.00033534,4.8466e-05,3.1545e-06,1.1427e-06,0.0022496,0.00017163,
6,0.13138,0.0010285,3.7172e-05,2.4254e-06,1.2012e-06,0.0025325,0.00027145,
7,0.14383,5.211e-05,2.4979e-05,1.6381e-06,1.2543e-06,0.0024979,0.00017099,
8,0.15588,4.9686e-05,1.7303e-05,1.1397e-06,1.2922e-06,0.0025397,0.00017203,
9,0.17071,3.3684e-05,1.1378e-05,7.6727e-07,1.3197e-06,0.0024514,0.00014549,
10,0.21474,2.5537e-05,7.616e-06,5.2415e-07,1.3249e-06,0.0024084,0.00012349,
11,0.23021,0.00022478,5.4517e-06,3.657e-07,1.3368e-06,0.0025305,7.5508e-05,
12,0.24585,9.7813e-06,3.6283e-06,2.4743e-07,1.3462e-06,0.0024719,7.8736e-05,
13,0.30183,7.5859e-06,2.4844e-06,1.6558e-07,1.3485e-06,0.0024844,4.852e-05,
14,0.3571,0.00015553,1.6848e-06,1.1295e-07,1.351e-06,0.0024729,3.2894e-05,
15,0.37605,7.5813e-05,1.1457e-06,7.7757e-08,1.3538e-06,0.0024684,3.8741e-05,
16,1.2392,2.2558e-06,9.64e-07,6.6325e-08,9.91e-07,0.0030484,0.00090108,
17,2.1125,0.033211,3.5208e-07,3.8625e-08,5.1563e-07,0.0016342,0.00084527,
18,2.2428,0.042885,1.702e-07,1.2041e-08,3.7984e-07,0.0011595,1.963e-05,
19,2.2652,0.00081835,1.1524e-07,8.2834e-09,3.7998e-07,0.0011524,1.6814e-05,
20,2.287,2.1421e-07,7.9972e-08,5.8101e-09,3.8007e-07,0.0011738,2.235e-05,
21,2.3088,1.376e-07,5.3633e-08,3.9454e-09,3.8014e-07,0.0011555,2.5634e-05,
22,2.3274,1.0466e-07,3.7507e-08,2.818e-09,3.8018e-07,0.0011861,4.2452e-05,
23,2.3462,6.3379e-08,2.5535e-08,1.9271e-09,3.8021e-07,0.0011852,4.4269e-05,
24,2.3651,4.8468e-08,1.736e-08,1.3144e-09,3.8024e-07,0.0011827,4.6344e-05,
25,2.3826,3.3642e-08,1.1645e-08,9.2484e-10,3.8025e-07,0.0011645,8.8798e-05,
26,2.4009,2.2244e-08,8.058e-09,6.303e-10,3.8026e-07,0.0011828,0.00010009,
27,2.4188,1.5864e-08,5.4171e-09,4.4078e-10,3.8027e-07,0.0011671,9.7235e-05,
28,2.4353,1.0525e-08,3.465e-09,2.7463e-10,3.8027e-07,0.0010957,0.00016835,
29,2.4519,9.1041e-09,2.8372e-09,2.3134e-10,3.8027e-07,0.0013169,0.00019218,
30,2.4686,2.3698e-09,1.996e-09,1.7531e-10,3.8028e-07,0.0013599,0.00044377,
31,2.4866,3.6267e-09,1.6462e-09,1.4643e-10,3.8028e-07,0.0016462,0.00031081,
32,2.5034,1.3757e-09,8.277e-10,9.0863e-11,3.8028e-07,0.0008277,0.00064892,
33,2.5216,4.3505e-09,9.4452e-10,7.8669e-11,3.8028e-07,0.00094452,0.00013125,
34,2.5383,8.0724e-10,1.2738e-09,9.7059e-11,3.8028e-07,0.0012738,0.00025005,
35,2.5561,1.7066e-09,1.2443e-09,8.9942e-11,3.8028e-07,0.0012443,4.9854e-05,
36,2.5736,3.1522e-10,1.1634e-09,8.3354e-11,3.8028e-07,0.0011634,2.7805e-05,
37,2.5918,3.8169e-10,1.162e-09,8.3438e-11,3.8028e-07,0.001162,1.5679e-05,
38,2.6076,5.3389e-11,1.1572e-09,7.9217e-11,3.8028e-07,0.0011572,6.4689e-05,
39,2.6254,9.6029e-10,1.1623e-09,7.9885e-11,3.8028e-07,0.0011623,1.7815e-05,
40,2.642,8.7575e-11,1.1636e-09,8.0883e-11,3.8028e-07,0.0011636,4.2421e-05,
41,2.6596,2.8722e-10,1.1608e-09,8.1396e-11,3.8028e-07,0.0011608,1.3808e-05,
42,2.6752,5.9911e-11,1.1622e-09,8.1621e-11,3.8028e-07,0.0011622,3.8078e-05,
43,2.6945,4.3271e-10,1.1635e-09,8.1829e-11,3.8028e-07,0.0011635,1.4218e-05,
44,2.7103,5.9899e-11,1.1614e-09,8.1471e-11,3.8028e-07,0.0011614,6.4719e-05,
45,2.7281,4.3934e-10,1.1595e-09,8.2038e-11,3.8028e-07,0.0011595,1.5441e-05,
46,2.7442,8.4169e-11,1.1607e-09,8.1472e-11,3.8028e-07,0.0011607,4.3693e-05,
47,2.762,2.4591e-10,1.1636e-09,8.1756e-11,3.8028e-07,0.0011636,1.366e-05,
48,2.7781,6.1495e-11,1.1589e-09,8.1707e-11,3.8028e-07,0.0011589,3.9391e-05,
49,2.7967,4.2367e-10,1.1591e-09,8.1984e-11,3.8028e-07,0.0011591,1.4787e-05,
50,2.8124,6.3259e-11,1.1629e-09,8.1299e-11,3.8028e-07,0.0011629,8.3842e-05,
51,2.8303,4.5024e-10,1.1655e-09,8.1691e-11,3.8028e-07,0.0011655,1.5767e-05,
52,2.8469,1.0098e-10,1.1626e-09,8.154e-11,3.8028e-07,0.0011626,4.3463e-05,
53,2.8648,2.4652e-10,1.1596e-09,8.1933e-11,3.8028e-07,0.0011596,1.3867e-05,
54,2.8807,6.2715e-11,1.1669e-09,8.1402e-11,3.8028e-07,0.0011669,4.4304e-05,
55,2.8987,4.2678e-10,1.1658e-09,8.1746e-11,3.8028e-07,0.0011658,1.5255e-05,
56,2.9149,6.8364e-11,1.1622e-09,8.1387e-11,3.8028e-07,0.0011622,4.7167e-05,
57,2.933,2.4947e-10,1.16e-09,8.1917e-11,3.8028e-07,0.00116,1.3342e-05,
58,2.948,6.1987e-11,1.1674e-09,8.1393e-11,3.8028e-07,0.0011674,6.2137e-05,
59,2.9657,8.1702e-10,1.1682e-09,8.1683e-11,3.8028e-07,0.0011682,1.8221e-05,
60,2.9829,9.49e-11,1.1613e-09,8.1496e-11,3.8028e-07,0.0011613,3.2198e-05,
61,3.0007,1.524e-10,1.1606e-09,8.1868e-11,3.8028e-07,0.0011606,1.2893e-05,
62,3.0152,4.8361e-11,1.1737e-09,8.3935e-11,3.8028e-07,0.0011737,0.00012628,
63,3.0329,3.1552e-09,1.1785e-09,8.1876e-11,3.8028e-07,0.0011785,2.7804e-05,
64,3.0503,1.824e-10,1.1591e-09,8.1224e-11,3.8028e-07,0.0011591,5.4217e-05,
65,3.0681,2.0386e-10,1.1595e-09,8.1872e-11,3.8028e-07,0.0011595,1.3226e-05,
66,3.0839,6.6378e-11,1.1513e-09,8.3541e-11,3.8028e-07,0.0011513,0.00014331,
67,3.1019,1.6172e-09,1.1713e-09,8.1766e-11,3.8028e-07,0.0011713,2.0059e-05,
68,3.1186,1.78e-10,1.1596e-09,8.1629e-11,3.8028e-07,0.0011596,2.3958e-05,
69,3.1363,1.4757e-10,1.1603e-09,8.1873e-11,3.8028e-07,0.0011603,1.2965e-05,
70,3.1504,4.3604e-11,1.1485e-09,8.4736e-11,3.8028e-07,0.0011485,0.000181,
71,3.1686,3.177e-09,1.1711e-09,8.1713e-11,3.8028e-07,0.0011711,2.0009e-05,
72,3.186,2.0595e-10,1.1637e-09,8.1785e-11,3.8028e-07,0.0011637,1.4173e-05,
73,3.2028,8.0186e-11,1.1612e-09,8.1864e-11,3.8028e-07,0.0011612,1.2858e-05,
74,3.2173,1.1189e-10,1.173e-09,8.1645e-11,3.8028e-07,0.001173,2.4699e-05,
75,3.2347,1.5743e-09,1.164e-09,8.1771e-11,3.8028e-07,0.001164,1.4736e-05,
76,3.2514,8.9414e-11,1.1612e-09,8.1857e-11,3.8028e-07,0.0011612,1.291e-05,
77,3.2662,1.1304e-10,1.1755e-09,8.1641e-11,3.8028e-07,0.0011755,2.9035e-05,
78,3.2842,1.5759e-09,1.1648e-09,8.1709e-11,3.8028e-07,0.0011648,1.7315e-05,
79,3.3019,1.0731e-10,1.1625e-09,8.1858e-11,3.8028e-07,0.0011625,1.2817e-05,
80,3.3163,6.4991e-11,1.1406e-09,8.1992e-11,3.8028e-07,0.0011406,5.5536e-05,
81,3.334,3.1367e-09,1.1509e-09,8.206e-11,3.8028e-07,0.0011509,2.1124e-05,
82,3.3512,1.0128e-10,1.1655e-09,8.1705e-11,3.8028e-07,0.0011655,1.7491e-05,
83,3.3694,1.634e-10,1.1627e-09,8.1847e-11,3.8028e-07,0.0011627,1.2868e-05,
84,3.3839,6.6447e-11,1.1483e-09,8.192e-11,3.8028e-07,0.0011483,3.2252e-05,
85,3.4013,1.5766e-09,1.159e-09,8.1803e-11,3.8028e-07,0.001159,1.5831e-05,
86,3.4183,1.064e-10,1.1613e-09,8.1868e-11,3.8028e-07,0.0011613,1.2835e-05,
87,3.4325,6.4939e-11,1.1842e-09,8.1586e-11,3.8028e-07,0.0011842,4.9727e-05,
88,3.4501,3.1353e-09,1.1732e-09,8.1732e-11,3.8028e-07,0.0011732,2.1712e-05,
89,3.4673,1.0271e-10,1.1591e-09,8.1362e-11,3.8028e-07,0.0011591,4.4177e-05,
90,3.4848,1.7285e-10,1.1604e-09,8.1865e-11,3.8028e-07,0.0011604,1.2947e-05,
91,3.4991,5.7107e-11,1.1618e-09,8.1349e-11,3.8028e-07,0.0011618,6.3284e-05,
92,3.5169,3.1815e-09,1.1626e-09,8.1969e-11,3.8028e-07,0.0011626,1.2807e-05,
93,3.5318,7.255e-11,1.0805e-09,8.5503e-11,3.8028e-07,0.0010805,0.00012839,
94,3.5493,1.8665e-08,1.1875e-09,7.9045e-11,3.8028e-07,0.0011875,9.5424e-05,
95,3.5678,8.9682e-10,1.1744e-09,7.8514e-11,3.8028e-07,0.0011744,3.063e-05,
96,3.5845,1.4783e-10,1.1462e-09,8.1616e-11,3.8028e-07,0.0011462,5.3067e-05,
97,3.6025,4.4304e-10,1.1541e-09,8.098e-11,3.8028e-07,0.0011541,1.8232e-05,
98,3.6194,8.4049e-11,1.1711e-09,8.1709e-11,3.8028e-07,0.0011711,2.8875e-05,
99,3.6372,2.7462e-10,1.1664e-09,8.1509e-11,3.8028e-07,0.0011664,1.466e-05,
100,3.6541,5.5887e-11,1.1533e-09,8.3076e-11,3.8028e-07,0.0011533,8.4682e-05,
101,3.6763,4.5451e-10,1.158e-09,8.1968e-11,3.8028e-07,0.001158,1.407e-05,
102,3.6927,9.5288e-11,1.1691e-09,8.2203e-11,3.8028e-07,0.0011691,3.4725e-05,
103,3.7111,4.5565e-10,1.162e-09,8.1869e-11,3.8028e-07,0.0011619,1.2869e-05,
104,3.7266,5.0877e-11,1.1549e-09,8.2259e-11,3.8028e-07,0.0011549,2.4285e-05,
105,3.7449,1.5727e-09,1.1599e-09,8.1969e-11,3.8028e-07,0.0011599,1.3854e-05,
106,3.7622,8.2815e-11,1.1649e-09,8.1899e-11,3.8028e-07,0.0011649,1.3941e-05,
107,3.7793,2.112e-10,1.1579e-09,8.2031e-11,3.8028e-07,0.0011579,1.7446e-05,
108,3.7975,2.1683e-10,1.1609e-09,8.1902e-11,3.8028e-07,0.0011609,1.293e-05,
109,3.8134,6.7658e-11,1.1699e-09,8.1919e-11,3.8028e-07,0.0011699,2.0147e-05,
110,3.8311,7.9516e-10,1.1634e-09,8.1918e-11,3.8028e-07,0.0011634,1.4027e-05,
111,3.8484,7.9312e-11,1.1615e-09,8.1885e-11,3.8028e-07,0.0011615,1.2858e-05,
112,3.864,1.1187e-10,1.1702e-09,8.2177e-11,3.8028e-07,0.0011702,3.0468e-05,
113,3.8834,1.5734e-09,1.1674e-09,8.1871e-11,3.8028e-07,0.0011674,1.5093e-05,
114,3.9003,6.1822e-11,1.1564e-09,8.2375e-11,3.8028e-07,0.0011564,3.9813e-05,
115,3.9188,2.3877e-10,1.1587e-09,8.1902e-11,3.8028e-07,0.0011587,1.357e-05,
116,3.9345,5.6952e-11,1.1587e-09,8.3102e-11,3.8028e-07,0.0011587,8.2467e-05,
117,3.9532,8.4151e-10,1.1651e-09,8.1863e-11,3.8028e-07,0.0011651,1.3845e-05,
118,3.9699,9.6375e-11,1.1587e-09,8.2132e-11,3.8028e-07,0.0011587,1.909e-05,
119,3.9878,2.185e-10,1.161e-09,8.1885e-11,3.8028e-07,0.001161,1.2858e-05,
120,4.003,6.6892e-11,1.1779e-09,8.2166e-11,3.8028e-07,0.0011779,3.6751e-05,
121,4.0214,1.5761e-09,1.169e-09,8.1863e-11,3.8028e-07,0.001169,1.6632e-05,
122,4.0382,7.2039e-11,1.1546e-09,8.2631e-11,3.8028e-07,0.0011546,5.9431e-05,
123,4.0573,2.5682e-10,1.1585e-09,8.1905e-11,3.8028e-07,0.0011585,1.3767e-05,
124,4.0729,7.2688e-11,1.1697e-09,8.316e-11,3.8028e-07,0.0011697,6.872e-05,
125,4.0918,8.4438e-10,1.1628e-09,8.1881e-11,3.8028e-07,0.0011628,1.3335e-05,
126,4.1078,8.2302e-11,1.1578e-09,8.2286e-11,3.8028e-07,0.0011578,2.2295e-05,
127,4.1261,4.09e-10,1.1592e-09,8.1907e-11,3.8028e-07,0.0011592,1.3389e-05,
128,4.1416,4.6014e-11,1.1703e-09,8.3162e-11,3.8028e-07,0.0011703,9.6291e-05,
129,4.1609,8.3005e-10,1.1685e-09,8.1835e-11,3.8028e-07,0.0011685,1.5944e-05,
130,4.1777,1.1225e-10,1.1619e-09,8.2984e-11,3.8028e-07,0.0011619,4.6761e-05,
131,4.196,2.5373e-10,1.159e-09,8.1919e-11,3.8028e-07,0.001159,1.3691e-05,
132,4.2127,6.5973e-11,1.1656e-09,8.1983e-11,3.8028e-07,0.0011656,1.8199e-05,
133,4.2304,2.1691e-10,1.1626e-09,8.1874e-11,3.8028e-07,0.0011626,1.2853e-05,
134,4.246,6.6458e-11,1.1491e-09,8.2556e-11,3.8028e-07,0.0011491,3.4538e-05,
135,4.2645,1.5754e-09,1.1551e-09,8.2011e-11,3.8028e-07,0.0011551,1.6462e-05,
136,4.2815,6.927e-11,1.1677e-09,8.255e-11,3.8028e-07,0.0011677,5.9068e-05,
137,4.3006,2.5648e-10,1.1652e-09,8.1844e-11,3.8028e-07,0.0011652,1.3664e-05,
138,4.3161,7.2035e-11,1.1651e-09,8.3557e-11,3.8028e-07,0.0011651,6.9907e-05,
139,4.3373,8.4325e-10,1.1595e-09,8.1919e-11,3.8028e-07,0.0011595,1.3861e-05,
140,4.3547,8.7189e-11,1.1654e-09,8.2004e-11,3.8028e-07,0.0011654,1.666e-05,
141,4.3726,2.1273e-10,1.1622e-09,8.188e-11,3.8028e-07,0.0011622,1.3051e-05,
142,4.3886,6.5484e-11,1.1608e-09,8.2107e-11,3.8028e-07,0.0011607,1.6859e-05,
143,4.4065,4.0437e-10,1.1611e-09,8.1893e-11,3.8028e-07,0.0011611,1.3241e-05,
144,4.4225,6.5692e-11,1.1648e-09,8.2159e-11,3.8028e-07,0.0011648,1.8301e-05,
145,4.4404,4.0391e-10,1.162e-09,8.1904e-11,3.8028e-07,0.001162,1.3592e-05,
146,4.4572,6.6632e-11,1.1618e-09,8.2049e-11,3.8028e-07,0.0011618,1.4886e-05,
147,4.4749,2.0885e-10,1.162e-09,8.1939e-11,3.8028e-07,0.001162,1.4547e-05,
148,4.4925,1.1336e-10,1.1618e-09,8.1975e-11,3.8028e-07,0.0011618,1.3768e-05,
149,4.5095,1.1172e-10,1.1625e-09,8.1987e-11,3.8028e-07,0.0011625,1.6603e-05,
150,4.5274,2.1024e-10,1.1617e-09,8.1938e-11,3.8028e-07,0.0011617,1.3177e-05,
151,4.5444,6.4157e-11,1.1634e-09,8.2024e-11,3.8028e-07,0.0011634,1.9245e-05,
152,4.562,4.043e-10,1.1612e-09,8.1983e-11,3.8028e-07,0.0011612,1.3737e-05,
153,4.5791,6.6153e-11,1.1637e-09,8.1953e-11,3.8028e-07,0.0011637,1.6418e-05,
154,4.5967,2.0962e-10,1.1612e-09,8.1961e-11,3.8028e-07,0.0011612,1.3376e-05,
155,4.6134,6.5182e-11,1.1636e-09,8.1909e-11,3.8028e-07,0.0011636,1.4925e-05,
156,4.6304,2.0904e-10,1.1604e-09,8.2053e-11,3.8028e-07,0.0011604,1.5085e-05,
157,4.6485,1.1365e-10,1.1635e-09,8.1894e-11,3.8028e-07,0.0011635,1.4514e-05,
158,4.6657,1.1242e-10,1.1605e-09,8.2033e-11,3.8028e-07,0.0011605,1.4698e-05,
159,4.6827,1.1347e-10,1.1634e-09,8.1886e-11,3.8028e-07,0.0011634,1.4244e-05,
160,4.7001,1.1227e-10,1.1606e-09,8.2016e-11,3.8028e-07,0.0011606,1.4434e-05,
161,4.7173,1.1335e-10,1.1633e-09,8.1882e-11,3.8028e-07,0.0011633,1.4059e-05,
