"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,1.2306e-08,8.0881e-10,0.52099,0.49262,1.9565,
1,0.74998,3.6497,0.016546,0.00073486,0.019656,0.16397,0.054307,
2,0.9991,3.6497,0.0045425,0.00027386,0.0078203,0.089584,0.024473,
3,1.178,0.69198,0.00079204,6.8104e-05,0.0029897,0.058479,0.010214,
4,1.2957,0.28679,0.00019372,1.4525e-05,0.0011834,0.034411,0.0041404,
5,1.4407,0.19043,0.00011097,6.4783e-06,0.00059898,0.016698,0.0015515,
6,1.5676,0.10351,6.7077e-05,3.4095e-06,0.00044435,0.0054404,0.00051985,
7,1.7374,0.06262,3.9092e-05,2.2252e-06,0.00041358,0.0039092,0.00022055,
8,2.1399,0.044102,1.1628e-05,1.0555e-06,0.00037609,0.0017068,0.00019192,
9,2.3557,0.41869,5.3784e-06,5.5832e-07,0.00037014,0.0011587,0.00010823,
10,2.4989,0.01949,3.4672e-06,3.3931e-07,0.00036611,0.0010964,8.6704e-05,
11,2.7088,0.013331,2.3208e-06,2.0398e-07,0.00036341,0.0010772,8.7707e-05,
12,3.1994,0.0091501,1.5212e-06,1.0778e-07,0.00036126,0.0010364,7.8574e-05,
13,3.3899,0.021686,9.0847e-07,6.8136e-08,0.00036003,0.00090847,5.8038e-05,
14,4.0255,0.0041497,8.7771e-07,7.542e-08,0.00035877,0.0012883,4.6514e-05,
15,4.9608,0.031984,4.2698e-06,2.9754e-07,0.00035227,0.0091988,0.0070487,
16,5.917,0.2576,5.0944e-06,3.4136e-07,0.00034407,0.016108,0.012464,
17,6.8625,0.26833,4.7708e-07,4.133e-08,0.00034168,0.0022144,0.001692,
18,7.8308,0.09177,1.6877e-06,1.4005e-07,0.00033696,0.011498,0.010269,
19,8.8008,0.09503,1.5378e-06,9.6056e-08,0.00033155,0.015377,0.012555,
20,9.7377,0.12543,6.1451e-07,3.4037e-08,0.00032741,0.0090195,0.0048479,
21,10.671,0.12329,2.1014e-07,1.1427e-08,0.00032327,0.0045273,0.0027533,
22,11.6131,0.070069,6.011e-07,6.3795e-08,0.00031988,0.019006,0.017911,
23,12.5615,0.05663,1.0874e-06,1.1093e-07,0.00031625,0.050429,0.051607,
24,13.4969,0.059135,3.3255e-08,2.8162e-09,0.00031421,0.0022656,0.00018043,
25,14.4075,0.042365,2.8731e-08,1.4419e-09,0.00031224,0.0028731,0.00085535,
26,14.4793,0.03821,1.7596e-08,1.1578e-09,0.00031222,0.0025828,0.00014197,
27,14.498,2.7317e-05,1.4335e-08,1.0327e-09,0.00031222,0.0030884,0.00053406,
28,14.5163,1.8498e-08,1.1151e-08,8.1857e-10,0.00031222,0.0035264,0.00062109,
29,14.5354,2.0233e-08,8.3658e-09,6.2286e-10,0.00031222,0.0038831,0.00068262,
30,14.555,1.5483e-08,5.1706e-09,3.8438e-10,0.00031222,0.0035227,0.00067877,
31,14.5728,1.8958e-08,3.8575e-09,3.0021e-10,0.00031222,0.0038575,0.00082006,
32,14.5911,8.013e-09,3.577e-09,2.5596e-10,0.00031222,0.003577,0.00059287,
33,14.6122,3.2649e-09,1.2904e-09,1.2065e-10,0.00031222,0.0012904,0.00092172,
34,14.6305,4.4003e-08,2.9073e-09,1.9967e-10,0.00031222,0.0029073,0.00052972,
35,14.6495,1.9439e-08,2.2401e-09,1.6255e-10,0.00031222,0.0022401,0.00053163,
36,14.6676,1.9212e-08,3.1968e-09,2.3396e-10,0.00031222,0.0031968,0.00061602,
37,14.6848,3.5934e-08,2.899e-09,2.1406e-10,0.00031222,0.002899,0.00059499,
38,14.7025,4.9962e-09,2.7898e-09,1.9212e-10,0.00031222,0.0027897,0.00053479,
39,14.7213,4.6078e-09,2.6531e-09,1.9656e-10,0.00031222,0.0026531,0.00076283,
40,14.7376,1.6827e-08,2.5532e-09,1.8171e-10,0.00031222,0.0025532,0.00061224,
41,14.7561,5.4991e-09,2.5177e-09,1.7324e-10,0.00031222,0.0025177,0.00050149,
42,14.8217,2.5253e-09,2.4857e-09,1.6532e-10,0.0003122,0.0024857,0.00016238,
43,14.8381,4.7602e-05,2.5409e-09,1.6465e-10,0.0003122,0.0025409,0.00014572,
44,14.8541,1.3091e-09,2.5207e-09,1.6741e-10,0.0003122,0.0025207,0.00014166,
45,14.8694,2.2839e-09,2.574e-09,1.6345e-10,0.0003122,0.002574,0.00031112,
46,14.8866,8.7285e-09,2.5569e-09,1.6864e-10,0.0003122,0.0025569,0.00014167,
47,15.8018,5.6832e-10,1.4178e-09,1.825e-10,0.00031104,0.0014178,0.0010741,
48,15.82,0.021114,1.2157e-09,1.0666e-10,0.00031104,0.0012157,0.00047266,
49,15.8363,4.4785e-09,1.4892e-09,1.1973e-10,0.00031104,0.0014892,0.00050266,
50,15.8543,3.884e-09,1.133e-09,1.0801e-10,0.00031104,0.001133,0.00037686,
51,16.7665,1.9193e-09,8.9552e-08,9.3614e-09,0.0003102,0.089313,0.10163,
52,16.7973,0.010277,1.4945e-09,1.2428e-10,0.0003102,0.0014945,0.00064261,
53,16.8152,2.4009e-07,9.4141e-10,1.0879e-10,0.0003102,0.00094141,0.00038121,
54,16.8545,1.3178e-09,9.488e-10,1.0297e-10,0.0003102,0.0009488,0.00017552,
55,16.8721,1.7187e-06,9.2841e-10,8.9021e-11,0.0003102,0.00092841,0.00024501,
56,16.8894,2.2231e-08,9.4636e-10,9.0229e-11,0.0003102,0.00094636,0.00027374,
57,16.9064,1.9168e-09,9.4988e-10,9.651e-11,0.0003102,0.00094988,0.00017243,
58,17.8781,9.0692e-10,1.2304e-07,9.7946e-09,0.00030948,0.12242,0.11428,
59,17.9123,0.0097877,1.0491e-09,7.597e-11,0.00030948,0.0010491,0.00062842,
60,17.9289,2.8169e-07,1.242e-09,9.4378e-11,0.00030948,0.001242,0.00076995,
61,17.9475,9.8968e-09,9.0471e-10,9.4797e-11,0.00030948,0.00090471,0.00059269,
62,17.9656,3.0547e-09,1.4857e-09,1.2035e-10,0.00030948,0.0014857,0.00088515,
63,17.9835,3.6747e-08,8.8375e-10,9.7565e-11,0.00030948,0.00088375,0.00061291,
64,18.0015,3.5449e-09,1.0265e-09,1.0466e-10,0.00030948,0.0010265,0.0005845,
65,18.0473,9.5104e-09,1.9933e-09,1.2021e-10,0.00030948,0.0019933,0.00063377,
66,18.0649,7.5486e-06,1.5861e-09,1.0435e-10,0.00030948,0.0015861,0.00034273,
67,18.082,2.1567e-09,1.0326e-09,5.9512e-11,0.00030948,0.0010326,0.0008052,
68,18.1,5.3411e-09,1.0997e-09,8.9244e-11,0.00030948,0.0010997,0.00014268,
69,19.06,1.0206e-09,5.3359e-08,3.8107e-09,0.00030839,0.053308,0.043088,
70,19.0896,0.034358,2.6848e-09,2.0475e-10,0.00030839,0.0026848,0.0012537,
71,20.0311,1.2698e-07,1.9573e-08,1.7976e-09,0.00030656,0.019571,0.016153,
72,20.0529,0.011368,6.7441e-09,5.5883e-10,0.00030656,0.006744,0.002556,
73,20.0741,5.0412e-08,1.4697e-09,1.4757e-10,0.00030656,0.0014697,0.00062227,
74,20.0905,3.6507e-08,1.4806e-09,1.1993e-10,0.00030656,0.0014806,0.0006736,
75,20.1078,4.4265e-09,9.5331e-10,9.7571e-11,0.00030656,0.00095331,0.00022856,
76,20.1265,1.0435e-09,1.7276e-09,1.0992e-10,0.00030656,0.0017276,0.00059232,
77,20.144,2.0896e-08,1.6471e-09,1.1621e-10,0.00030656,0.0016471,0.00030237,
78,20.1614,1.1672e-09,8.8724e-10,8.9094e-11,0.00030656,0.00088724,0.00042881,
79,20.1795,9.2493e-09,9.5249e-10,1.0031e-10,0.00030656,0.00095249,0.00021629,
80,20.1964,8.1217e-10,1.8261e-09,1.7317e-10,0.00030656,0.0018261,0.00087437,
81,20.2145,2.8691e-08,1.7029e-09,1.3057e-10,0.00030656,0.0017029,0.00034301,
82,20.2343,1.483e-09,9.0779e-10,9.8787e-11,0.00030656,0.00090779,0.00025811,
83,20.2501,1.1417e-08,1.3024e-09,6.6561e-11,0.00030656,0.0013024,0.00074965,
84,20.2684,7.8408e-09,1.3174e-09,9.2206e-11,0.00030656,0.0013174,0.00020762,
85,21.2044,1.0662e-09,1.4806e-08,9.1463e-10,0.00030579,0.014805,0.0084027,
86,21.2273,0.014272,3.5868e-09,3.2054e-10,0.00030579,0.0035868,0.0014355,
87,21.2493,3.4309e-08,1.3141e-09,1.1526e-10,0.00030579,0.0013141,0.00061716,
88,21.2706,2.921e-08,3.8029e-09,1.9113e-10,0.00030579,0.0038028,0.0028066,
89,21.2887,3.2342e-08,1.1912e-09,9.3252e-11,0.00030579,0.0011912,0.00058225,
90,21.3635,3.7323e-09,1.0966e-09,9.9467e-11,0.00030578,0.0010966,0.00044028,
91,21.3802,2.8769e-05,9.1707e-10,9.1201e-11,0.00030578,0.00091707,0.00038333,
92,22.3491,3.4373e-09,2.5986e-08,1.9319e-09,0.00030512,0.02598,0.026407,
93,22.3734,0.0082399,7.1092e-09,5.2594e-10,0.00030512,0.0071091,0.0021237,
94,22.3978,4.2315e-08,1.2551e-09,9.4323e-11,0.00030512,0.0012551,0.00043807,
95,22.4155,3.9273e-08,1.1383e-09,8.5199e-11,0.00030512,0.0011383,0.00031746,
96,23.3609,1.626e-09,8.1723e-08,6.1596e-09,0.00030426,0.081541,0.069965,
97,23.3992,0.014716,1.2081e-09,1.3179e-10,0.00030426,0.0012081,0.00047575,
98,23.4202,2.2856e-07,3.8179e-09,4.6328e-10,0.00030426,0.0038179,0.0030044,
99,23.4387,2.4517e-07,2.7675e-09,3.0701e-10,0.00030426,0.0027675,0.0014119,
100,23.4638,5.9724e-09,8.9506e-10,1.1759e-10,0.00030426,0.00089506,0.00046903,
101,24.427,2.5118e-08,2.6097e-08,2.8061e-09,0.00030346,0.026091,0.028427,
102,24.4544,0.011516,1.0456e-09,8.7565e-11,0.00030346,0.0010456,0.0010077,
103,24.4714,7.3818e-08,1.0843e-09,1.0754e-10,0.00030346,0.0010843,0.00060521,
104,24.5416,3.3166e-09,1.2309e-09,8.9033e-11,0.00030345,0.0012309,0.00021574,
105,24.5586,1.6926e-05,1.2023e-09,8.8799e-11,0.00030345,0.0012023,0.00019691,
106,25.4844,1.7311e-09,7.2197e-09,3.8698e-10,0.00030266,0.0072196,0.0060258,
107,25.5047,0.013463,1.8093e-09,1.6166e-10,0.00030266,0.0018093,0.00065506,
108,25.5212,1.1051e-08,9.5173e-10,9.6972e-11,0.00030266,0.00095173,0.00075007,
109,25.5391,1.003e-08,8.7125e-10,9.9159e-11,0.00030266,0.00087125,0.00045763,
110,25.5794,2.4482e-09,9.8521e-10,9.6679e-11,0.00030266,0.0010639,0.00070609,
111,25.5983,3.3056e-06,9.197e-10,9.5987e-11,0.00030266,0.001039,0.00069664,
112,26.5243,3.0047e-08,1.6323e-09,1.3417e-10,0.00030187,0.0016323,0.00085105,
113,26.5418,0.010912,9.9151e-10,1.0142e-10,0.00030187,0.00099151,0.00023404,
114,26.5578,1.32e-09,1.327e-09,1.0907e-10,0.00030187,0.001327,0.00047621,
115,26.5769,7.1609e-09,1.2911e-09,8.7133e-11,0.00030187,0.0012911,0.0002103,
