"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.53073,5.5151,2.71e-05,NaN,NaN,NaN,NaN,1,6.2131,1.1172e-08,6.465e-10,
1,0.28392,0.69643,0.044889,0.28243,0,0.75494,1,1,0.70395,0.062599,0.0041178,
2,0.031551,0.27708,0.084558,0.729,0,1.4268,1,1,0.31781,0.091159,0.0080879,
3,0.040655,0.19723,0.12262,1,0,1.9621,1,1,0.23269,0.119,0.0055287,
4,0.014805,0.1376,0.16223,0.6561,0,2.4075,1,1,0.16615,0.073762,0.0053298,
5,0.021223,0.15377,0.1995,1,0,1.8445,1,1,0.1603,0.044193,0.001994,
6,0.00524,0.078148,0.23885,0.6561,0,2.3162,1,1,0.088467,0.037261,0.0022224,
7,0.0044805,0.062201,0.27772,0.9,0,1.023,1,1,0.082043,0.05317,0.001924,
8,0.0024455,0.021003,0.32152,0.12158,0,0.47759,1,1,0.050637,0.044651,0.0019273,
9,0.0015122,0.019291,0.36437,0.20589,0,0.36948,1,1,0.047915,0.042798,0.0018298,
10,0.002779,0.059197,0.40203,0.9,0,1.6578,1,1,0.062784,0.018083,0.0010635,
11,0.0013194,0.037175,0.44315,0.38742,0,0.43306,1,1,0.041979,0.017023,0.0010353,
12,0.00042193,0.022239,0.48632,0.34868,0,0.21282,1,1,0.027469,0.010326,0.0010324,
13,0.00051589,0.02208,0.53063,0.59049,0,2.5322,1,1,0.026539,0.010729,0.00092966,
14,0.001432,0.034719,0.57862,0.12158,0,0.89726,1,1,0.039214,0.016635,0.00085807,
15,0.00038799,0.018272,0.61997,0.38742,0,0.95892,1,1,0.024843,0.016167,0.0007656,
16,0.00027197,0.016976,0.66664,0.07179,0,0.38083,1,1,0.022723,0.013489,0.00076355,
17,0.00074896,0.025333,0.70561,0.9,0,0.82757,1,1,0.031117,0.018066,0.00058123,
18,0.0011138,0.017772,0.74389,0.729,0,0.61988,1,1,0.021986,0.012514,0.00055111,
19,0.00080983,0.021291,0.79061,0.052335,0,0.12235,1,1,0.025248,0.012982,0.00055703,
20,0.00076144,0.020283,0.84233,0.011973,0,0.053078,1,1,0.024324,0.012862,0.00055763,
21,0.00071564,0.019727,0.89324,0.011973,0,0.049368,1,1,0.023787,0.012744,0.00055814,
22,0.00067207,0.019207,0.94407,0.011973,0,0.047148,1,1,0.023292,0.01263,0.00055871,
23,0.00063063,0.018592,0.99503,0.011973,0,0.047012,1,1,0.022726,0.012518,0.00055938,
24,0.00058698,0.017367,1.0488,0.013303,0,0.052689,1,1,0.021669,0.012401,0.0005606,
25,0.00054612,0.016605,1.0996,0.013303,0,0.054073,1,1,0.021018,0.012295,0.00056114,
26,0.00050391,0.015328,1.1493,0.014781,0,0.063561,1,1,0.019981,0.012191,0.00056192,
27,0.00047619,0.01502,1.2009,0.010775,0,0.052252,1,1,0.019714,0.012114,0.0005616,
28,0.00046141,0.014569,1.2542,0.0063627,0,0.036116,1,1,0.019323,0.012055,0.00056198,
29,0.00044574,0.014902,1.3082,0.0070697,0,0.029841,1,1,0.019549,0.011996,0.0005622,
30,0.00043227,0.014979,1.3617,0.0063627,0,0.031195,1,1,0.019566,0.011939,0.00056224,
31,0.00041649,0.014635,1.4143,0.0078552,0,0.026866,1,1,0.01928,0.01188,0.00056243,
32,0.00040078,0.015252,1.4666,0.008728,0,0.052659,1,1,0.019698,0.011804,0.00056275,
33,0.00038657,0.014276,1.5194,0.0078552,0,0.027439,1,1,0.018929,0.011744,0.00056266,
34,0.00035998,0.014822,1.5709,0.020276,0,0.094433,1,1,0.019239,0.011571,0.00056264,
35,0.00034539,0.014827,1.6279,0.0096977,0,0.040335,1,1,0.019205,0.011498,0.00056275,
36,0.00033091,0.014611,1.681,0.010775,0,0.047002,1,1,0.018993,0.011418,0.00056248,
37,0.00030884,0.014214,1.7339,0.020276,0,0.081503,1,1,0.018606,0.01127,0.00056191,
38,0.00023432,0.012576,1.7826,0.098477,0,0.23814,1,1,0.016966,0.010535,0.00055918,
39,1.2256e-05,0.0038708,1.8233,1,0,0.70356,1,1,0.0046051,0.0018056,0.00015767,
40,2.3033e-05,0.0052481,1.8669,0.729,0,0.21606,1,1,0.0058801,0.0021792,0.0001508,
41,3.6935e-06,0.0022673,1.9086,0.9,0,0.24422,1,1,0.0032513,0.0017777,0.00013627,
42,6.5545e-10,2.6291e-05,1.9496,1,0,0.025094,1,1,3.3422e-05,1.3729e-05,1.3107e-06,
43,3.6416e-18,1.2485e-09,1.9916,1,0,0.00011324,1,1,1.2792e-09,2.347e-10,1.5149e-11,
