"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,1.2542e-08,1.5543e-09,0.29522,1,3.2764,3.1117,
1,0.53935,13.6546,3.3333,1.0122,0.19485,0.4071,0.60806,2.378,0.05132,
2,1.3264,13.6546,3.3333,0.16821,0.017335,0.0024859,0.03136,0.28191,0.0049173,
3,1.9348,14.3307,3.3333,0.013284,0.00081413,0.00064634,0.03557,0.015921,0.0017039,
4,2.0904,6.4305,11.1111,0.011031,0.00052425,2.951e-05,0.0048948,0.01181,0.00029752,
5,2.1774,1.4407,11.1111,0.00027372,1.3823e-05,4.85e-06,0.0018535,0.00031903,0.00011566,
6,2.1863,0.38444,11.1111,1.8453e-05,1.5718e-06,4.4605e-06,0.0016484,0.00013297,0.00013054,
7,2.2519,0.00043807,37.037,0.00013333,1.0608e-05,7.8289e-07,0.0010083,0.00020416,7.3725e-05,
8,2.2749,0.080807,37.037,5.4681e-06,3.5542e-07,8.6239e-07,0.0012108,4.1412e-05,4.0911e-05,
9,2.2841,0.00033353,37.037,4.7159e-07,4.221e-08,8.6847e-07,0.001214,3.7133e-05,3.7128e-05,
10,2.4009,1.131e-05,123.4568,2.1117e-05,9.2505e-07,6.6193e-07,0.00043191,3.7549e-05,3.0555e-05,
11,2.4135,0.015196,123.4568,2.1872e-07,2.3806e-08,6.544e-07,0.00040491,8.3298e-06,8.3226e-06,
12,2.4231,3.6094e-05,123.4568,6.2129e-08,3.6314e-09,6.5438e-07,0.00039724,1.0545e-05,1.0545e-05,
13,2.4346,4.6157e-07,411.5226,8.6476e-08,4.3343e-09,6.5431e-07,0.00040792,8.512e-06,8.5115e-06,
14,3.2846,4.7997e-07,1371.7421,2.1123e-06,2.3843e-07,1.1589e-07,0.00087118,0.00090973,0.00090973,
15,3.6317,0.1386,1371.7421,6.3456e-07,6.338e-08,9.7122e-08,0.00023067,3.321e-06,3.1842e-06,
16,3.6515,0.0059111,1371.7421,1.134e-09,1.3005e-10,9.7183e-08,0.00022911,2.6757e-06,2.6757e-06,
17,3.6646,1.4312e-06,4572.4737,1.4488e-09,9.67e-11,9.7183e-08,0.0002303,2.6195e-06,2.6195e-06,
18,3.677,1.3281e-08,4572.4737,6.2896e-10,6.4443e-11,9.7183e-08,0.00022914,4.583e-06,4.583e-06,
19,3.6898,5.3076e-09,15241.579,5.9828e-10,5.5532e-11,9.7183e-08,0.00022949,2.5627e-06,2.5627e-06,
20,3.7034,2.538e-09,15241.579,2.8946e-11,3.0709e-12,9.7183e-08,0.00022952,2.5668e-06,2.5668e-06,
21,3.7156,9.6748e-10,50805.2634,6.115e-11,5.3236e-12,9.7183e-08,0.00022931,2.6633e-06,2.6633e-06,
22,3.73,2.6708e-09,50805.2634,1.4633e-11,1.8357e-12,9.7183e-08,0.00022973,2.7434e-06,2.7434e-06,
23,3.7439,2.627e-10,169350.8781,1.1938e-11,2.0521e-12,9.7183e-08,0.00022925,2.647e-06,2.647e-06,
24,3.7588,3.7183e-10,564502.9269,1.4385e-11,1.9319e-12,9.7183e-08,0.00022984,3.8321e-06,3.8321e-06,
25,3.7758,1.1744e-10,564502.9269,3.4042e-12,2.5701e-13,9.7183e-08,0.00023019,2.9244e-06,2.9244e-06,
26,3.7914,3.7884e-11,1881676.4232,3.1166e-12,2.995e-13,9.7183e-08,0.00022949,2.5764e-06,2.5764e-06,
27,3.8083,2.5618e-11,1881676.4232,1.2318e-12,1.2387e-13,9.7183e-08,0.00023006,3.8187e-06,3.8187e-06,
28,3.8254,1.0055e-11,6272254.7439,1.1489e-12,9.1881e-14,9.7183e-08,0.0002298,2.5672e-06,2.5672e-06,
