"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.87684,0.12279,0,1,2.8326,
1,0.012292,2.2406,0.16836,0.0081053,0,0.85978,0.7329,
2,0.01518,2.2406,0.16836,0.0081053,0,0.92698,0.81349,
3,0.022527,0,0.03136,0.0021268,0,0.55983,0.57316,
4,0.029249,0.32799,0.0063897,0.00049627,0,0.19806,0.18671,
5,0.03292,0.047269,0.0063897,0.00049627,0,0.28434,0.2683,
6,0.036393,0,0.0063897,0.00049627,0,0.39914,0.37768,
7,0.046272,0,0.0022276,0.0001354,0,0.21743,0.15846,
8,0.049635,0.011818,0.0022276,0.0001354,0,0.31078,0.22775,
9,0.058767,0,0.00055961,4.2754e-05,0,0.1197,0.10803,
10,0.061759,0.0041579,0.00055961,4.2754e-05,0,0.17426,0.15736,
11,0.069445,0,0.00032742,2.7336e-05,0,0.15025,0.1554,
12,0.077706,0.00088798,0.00017383,1.5964e-05,0,0.11761,0.10505,
13,0.080426,0.00044187,0.00017383,1.5964e-05,0,0.17126,0.1532,
14,0.089978,0,3.6495e-05,3.1942e-06,0,0.053491,0.057317,
15,0.092699,0.00046927,3.6495e-05,3.1942e-06,0,0.078384,0.084036,
16,0.10168,0,2.3871e-05,1.949e-06,0,0.075271,0.069815,
17,0.11236,6.0083e-05,9.0968e-06,6.3267e-07,0,0.042186,0.034012,
18,0.11547,4.1063e-05,9.0968e-06,6.3267e-07,0,0.061857,0.049879,
19,0.1278,0,2.4466e-06,2.0102e-07,0,0.024459,0.022784,
20,0.13115,1.9381e-05,2.4466e-06,2.0102e-07,0,0.035888,0.033432,
21,0.14376,0,9.4239e-07,6.5332e-08,0,0.020299,0.016289,
22,0.14656,4.2043e-06,9.4239e-07,6.5332e-08,0,0.029788,0.023905,
23,0.15932,0,2.4973e-07,2.0696e-08,0,0.011591,0.010847,
24,0.1621,2.0044e-06,2.4973e-07,2.0696e-08,0,0.017011,0.01592,
25,0.1648,0,2.4973e-07,2.0696e-08,0,0.024965,0.023363,
26,0.17927,0,9.7068e-08,6.7085e-09,0,0.014246,0.011382,
27,0.18215,4.3106e-07,9.7068e-08,6.7085e-09,0,0.020908,0.016704,
28,0.19723,0,2.5437e-08,2.1271e-09,0,0.0080437,0.0075667,
29,0.19999,2.0574e-07,2.5437e-08,2.1271e-09,0,0.011806,0.011106,
30,0.21412,0,9.9815e-09,6.8752e-10,0,0.0068002,0.0054084,
