"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.0022925,4.5958e-05,0.70783,0.022919,1.1287,
1,0.15885,1.4609,0.0074633,0.001038,0.00047197,0.074426,0.015579,
2,0.47165,1.4609,1.8314e-05,2.0906e-06,1.2771e-08,0.00026882,0.00028199,
3,0.47583,0.89406,1.8314e-05,2.0906e-06,1.2771e-08,0.00039457,0.00037945,
4,0.48537,0,1.0982e-05,1.2193e-06,1.0152e-08,0.00034727,0.00018828,
5,0.49703,4.7915e-05,8.674e-06,9.2403e-07,3.5169e-09,0.00040261,0.00021501,
6,0.50953,9.4116e-05,6.1791e-06,5.5432e-07,3.2996e-09,0.00042098,0.00011332,
7,0.53204,1.9974e-05,1.7906e-06,1.5323e-07,1.3499e-09,0.00017906,5.3313e-05,
8,0.54276,0.00010947,1.4918e-06,1.366e-07,1.3416e-09,0.00021896,5.363e-05,
9,0.56566,2.7896e-06,1.4248e-06,1.0991e-07,1.1654e-09,0.00030696,3.2521e-05,
10,0.61656,1.2614e-05,1.0641e-06,7.7698e-08,7.9242e-10,0.00033651,3.1459e-05,
11,0.73924,7.0034e-05,3.3556e-08,3.3798e-09,1.7121e-10,1.5575e-05,1.0351e-05,
12,0.74336,0.00015211,3.3556e-08,3.3798e-09,1.7121e-10,2.2861e-05,1.1491e-05,
13,0.83955,0,2.5126e-08,2.5954e-09,8.7196e-11,2.5126e-05,8.8764e-06,
14,0.85538,1.7534e-05,2.2312e-08,2.2619e-09,8.7176e-11,3.2749e-05,5.6117e-06,
15,0.93512,2.5876e-08,3.2828e-09,4.4143e-10,7.0769e-11,7.0725e-06,3.5635e-06,
16,0.94938,7.6878e-06,2.3167e-09,3.054e-10,7.0751e-11,7.3261e-06,3.86e-06,
17,0.96509,1.6177e-08,1.9025e-09,2.6517e-10,7.0711e-11,8.8305e-06,4.0378e-06,
18,0.97894,1.5384e-08,1.7418e-09,2.3001e-10,7.0706e-11,1.1867e-05,5.2646e-06,
19,0.99381,5.1249e-09,1.5485e-09,1.9812e-10,7.0709e-11,1.5485e-05,3.6723e-06,
20,1.0077,1.7086e-09,1.5009e-09,1.7418e-10,7.0711e-11,2.203e-05,7.4334e-06,
21,1.0254,2.8001e-09,1.5247e-09,1.607e-10,7.0712e-11,3.2848e-05,4.1022e-06,
22,1.0426,6.933e-10,1.538e-09,1.5015e-10,7.0712e-11,4.8635e-05,7.4364e-06,
23,1.0589,1.6993e-09,1.5504e-09,1.3982e-10,7.0713e-11,7.1962e-05,5.7194e-06,
24,1.0755,5.8369e-10,1.5706e-09,1.3216e-10,7.0713e-11,0.000107,8.8153e-06,
25,1.0925,1.0529e-09,1.5666e-09,1.2838e-10,7.0713e-11,0.00015666,8.682e-06,
26,1.1084,3.7442e-10,1.5601e-09,1.2366e-10,7.0711e-11,0.00022899,5.2371e-05,
27,1.1262,3.1863e-09,1.5625e-09,1.1102e-10,7.0711e-11,0.00033664,1.3432e-05,
28,1.1429,4.3269e-10,1.5809e-09,1.0964e-10,7.071e-11,0.00049992,3.9006e-05,
29,1.1614,1.1631e-09,1.5699e-09,1.0765e-10,7.071e-11,0.00072867,2.2716e-05,
30,1.1787,1.9009e-10,1.5262e-09,1.0655e-10,7.0711e-11,0.0010398,9.6925e-05,
31,1.1975,2.0448e-09,1.5394e-09,1.014e-10,7.071e-11,0.0015394,5.3024e-05,
32,1.2159,2.4399e-10,1.5706e-09,1.0294e-10,7.0708e-11,0.0015706,7.9381e-05,
33,1.2348,7.7365e-10,1.5603e-09,1.0131e-10,7.0708e-11,0.0015603,4.1853e-05,
34,1.2531,1.6552e-10,1.5293e-09,1.0032e-10,7.0709e-11,0.0015293,5.8291e-05,
35,1.2717,6.4288e-10,1.5385e-09,9.9345e-11,7.0708e-11,0.0015385,3.4473e-05,
36,1.2892,2.0388e-10,1.5455e-09,9.9278e-11,7.0708e-11,0.0015455,3.6823e-05,
37,1.3073,5.3658e-10,1.5352e-09,9.862e-11,7.0708e-11,0.0015352,3.2156e-05,
38,1.3241,2.8442e-10,1.5347e-09,9.7915e-11,7.0706e-11,0.0015347,3.3439e-05,
39,1.3414,9.8557e-10,1.5186e-09,9.7565e-11,7.0707e-11,0.0015186,4.4202e-05,
40,1.3598,5.1991e-10,1.5208e-09,9.7197e-11,7.0706e-11,0.0015208,3.067e-05,
41,1.3763,1.6116e-10,1.5352e-09,9.7019e-11,7.0704e-11,0.0015352,7.0276e-05,
42,1.3952,1.881e-09,1.5181e-09,9.5967e-11,7.0704e-11,0.0015181,3.3751e-05,
43,1.4129,1.3957e-10,1.4918e-09,9.7347e-11,7.0704e-11,0.0014918,8.0031e-05,
44,1.4328,5.42e-10,1.497e-09,9.5284e-11,7.0704e-11,0.001497,3.0748e-05,
45,1.4502,1.2017e-10,1.4705e-09,1.0117e-10,7.07e-11,0.0014705,0.00029134,
46,1.4701,3.7449e-09,1.4754e-09,9.3298e-11,7.07e-11,0.0014754,3.0815e-05,
47,1.4868,3.1064e-10,1.4199e-09,9.9e-11,7.0699e-11,0.0014199,0.00018873,
48,1.5058,1.876e-09,1.4377e-09,9.2393e-11,7.0699e-11,0.0014377,4.1102e-05,
49,1.5329,2.5872e-10,1.4572e-09,9.2522e-11,7.0699e-11,0.0014572,4.8422e-05,
50,1.5554,3.1437e-10,1.4541e-09,9.1935e-11,7.0699e-11,0.0014541,2.8553e-05,
51,1.5769,9.2659e-11,1.3359e-09,9.3844e-11,7.0684e-11,0.0013359,0.00019165,
52,1.5966,2.0884e-08,1.251e-09,8.5929e-11,7.0681e-11,0.001251,0.0001692,
53,1.6177,8.1409e-10,1.2615e-09,8.0782e-11,7.068e-11,0.0012615,3.3474e-05,
54,1.6361,2.0521e-10,1.2729e-09,8.2701e-11,7.0679e-11,0.0012729,8.3987e-05,
55,1.6566,5.3918e-10,1.2714e-09,8.0571e-11,7.0679e-11,0.0012714,2.5013e-05,
56,1.6747,1.0887e-10,1.1601e-09,7.754e-11,7.0664e-11,0.0011601,0.00014917,
57,1.6939,1.9587e-08,1.1252e-09,7.365e-11,7.0659e-11,0.0011252,7.236e-05,
58,1.7146,1.0358e-09,1.1147e-09,7.0362e-11,7.066e-11,0.0011147,2.7237e-05,
