"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,9.3759e-09,8.6647e-10,0.32377,0.40013,1.1956,
1,0.91337,8.4074,0.02349,0.0015896,0.034864,0.28659,0.070692,
2,1.0702,8.4074,0.014587,0.00054676,0.01653,0.26608,0.035143,
3,1.6711,1.0116,0.0077561,0.00030838,0.0078436,0.2351,0.017801,
4,1.8518,1.5765,0.0034623,0.00016302,0.0057789,0.17707,0.0096253,
5,2.1805,0.23559,0.0014314,8.0739e-05,0.0052839,0.10885,0.0051953,
6,2.5449,0.15489,0.00050467,3.7743e-05,0.0051471,0.049119,0.0022435,
7,2.9799,0.16039,0.00020901,1.8564e-05,0.0051091,0.020898,0.00068194,
8,3.4332,0.12782,0.00014329,1.0966e-05,0.0050961,0.02103,0.00022378,
9,3.712,0.056909,9.8093e-05,7.2003e-06,0.0050884,0.02113,0.00013737,
10,3.9034,0.016987,6.6994e-05,4.8954e-06,0.0050831,0.021182,9.5483e-05,
11,4.2191,0.01169,4.5706e-05,3.3144e-06,0.0050796,0.021212,6.3554e-05,
12,4.8923,0.0080491,3.1212e-05,2.2604e-06,0.0050772,0.021262,4.3741e-05,
13,5.259,0.013334,2.1276e-05,1.5391e-06,0.0050756,0.021272,2.8875e-05,
14,5.6638,0.0037218,1.4503e-05,1.0477e-06,0.0050745,0.021284,2.0425e-05,
15,5.9387,0.0025421,9.886e-06,7.1349e-07,0.0050738,0.021295,1.4041e-05,
16,6.2291,0.0017305,6.736e-06,4.8572e-07,0.0050733,0.021298,9.2415e-06,
17,6.6437,0.0011848,4.5902e-06,3.3083e-07,0.0050729,0.021303,6.3414e-06,
18,6.8399,0.00080678,3.1273e-06,2.2535e-07,0.0050727,0.021303,4.9884e-06,
19,7.6887,0.00054464,2.131e-06,1.5356e-07,0.0050726,0.021307,2.9214e-06,
20,7.8987,0.001134,1.452e-06,1.046e-07,0.0050724,0.021309,2.4262e-06,
21,8.0933,0.00025289,9.8917e-07,7.1261e-08,0.0050724,0.021308,3.6281e-06,
22,8.1797,0.00017223,6.7399e-07,4.8507e-08,0.0050723,0.02131,8.9269e-06,
23,8.2799,0.00011681,4.5936e-07,3.3042e-08,0.0050723,0.021319,1.603e-05,
24,8.3765,7.9641e-05,3.1286e-07,2.2501e-08,0.0050723,0.021311,1.783e-05,
25,8.4692,5.4278e-05,2.1315e-07,1.5327e-08,0.0050722,0.021311,1.8001e-05,
26,8.5602,3.6993e-05,1.4518e-07,1.0448e-08,0.0050722,0.021306,5.3109e-05,
27,8.6505,2.5206e-05,9.8834e-08,7.0978e-09,0.0050722,0.02129,3.4822e-05,
28,8.6985,1.718e-05,6.7379e-08,4.6363e-09,0.0050722,0.021304,0.00068876,
29,8.7208,6.0836e-07,4.532e-08,3.3585e-09,0.0050722,0.021033,0.00093729,
30,8.7426,3.3405e-08,3.1409e-08,2.4451e-09,0.0050722,0.021395,0.0011408,
31,8.7636,2.696e-08,2.5179e-08,2.0107e-09,0.0050722,0.025174,0.0020843,
32,8.8007,1.6469e-08,2.1259e-08,1.4604e-09,0.0050722,0.021256,0.00066808,
33,8.8334,1.9402e-07,2.3019e-08,1.8355e-09,0.0050722,0.023015,0.0010979,
34,8.8513,2.8605e-07,2.1997e-08,1.8295e-09,0.0050722,0.021994,0.00099484,
35,8.8717,8.8477e-09,2.1416e-08,1.7729e-09,0.0050722,0.021413,0.00086196,
36,8.9052,1.5791e-08,2.151e-08,1.4718e-09,0.0050722,0.021507,0.00072372,
37,8.9359,1.8538e-07,2.1101e-08,1.7087e-09,0.0050722,0.021098,0.00088215,
38,8.9562,1.9633e-07,2.1309e-08,1.6449e-09,0.0050722,0.021306,0.0010491,
39,8.9753,1.8413e-08,2.1606e-08,1.6576e-09,0.0050722,0.021603,0.0010187,
