"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.32654,5.4408,2.7392e-05,NaN,NaN,NaN,NaN,1,6.044,9.3072e-09,5.4901e-10,
1,0.20998,0.51126,0.081883,0.25419,0,0.7773,1,1,0.51358,0.012094,0.0014385,
2,0.084052,0.26564,0.15571,0.43047,0,0.84198,1,1,0.26993,0.022555,0.0028216,
3,0.025952,0.10046,0.22938,1,0,0.74834,1,1,0.10474,0.01406,0.0019045,
4,0.013467,0.086267,0.30539,1,0,0.85684,1,1,0.093692,0.030774,0.0015587,
5,0.0081959,0.093955,0.38999,1,0,0.33989,1,1,0.1008,0.033576,0.0013932,
6,0.0018017,0.023832,0.48229,1,0,0.43314,1,1,0.025485,0.0055786,0.0004272,
7,0.00033328,0.0087952,0.55295,1,0,0.42223,1,1,0.011978,0.00797,0.0002483,
8,0.00016212,0.0075337,0.63484,0.53144,0,0.60862,1,1,0.0093846,0.0049262,0.00024417,
9,7.52e-06,0.0014842,0.71135,1,0,0.38153,1,1,0.0046342,0.0025187,0.00022354,
10,5.8724e-07,9.3616e-05,0.78042,1,0,0.040317,1,1,0.00017302,9.6589e-05,7.6424e-06,
11,3.9566e-07,2.2743e-05,0.85914,1,0,0.0087988,1,1,2.3747e-05,4.8987e-06,3.1023e-07,
12,2.8246e-07,1.7156e-05,0.93664,1,0,0.008225,1,1,1.7725e-05,3.6037e-06,1.8815e-07,
13,2.0423e-07,1.3454e-05,1.0241,1,0,0.0077421,1,1,1.3963e-05,2.7648e-06,1.8352e-07,
14,1.7024e-07,3.4718e-05,1.1023,0.59049,0,0.0045872,1,1,3.4889e-05,1.9945e-06,1.835e-07,
15,1.4778e-07,4.3357e-05,1.1889,0.43047,0,0.0035171,1,1,4.348e-05,1.8978e-06,1.7667e-07,
16,1.2775e-07,4.0635e-05,1.277,0.43047,0,0.0035758,1,1,4.0765e-05,1.885e-06,1.7658e-07,
17,1.1045e-07,3.7316e-05,1.3574,0.43047,0,0.0035487,1,1,3.7456e-05,1.8845e-06,1.7654e-07,
18,9.5524e-08,3.4281e-05,1.4411,0.43047,0,0.0035216,1,1,3.4434e-05,1.8877e-06,1.762e-07,
19,7.2311e-08,1.3696e-05,1.5231,0.81,0,0.0061794,1,1,1.406e-05,2.1221e-06,1.63e-07,
20,5.5967e-08,1.194e-05,1.6056,0.81,0,0.0057693,1,1,1.2346e-05,2.1434e-06,1.5988e-07,
21,4.4419e-08,1.2965e-05,1.6838,0.729,0,0.0051885,1,1,1.3292e-05,2.0207e-06,1.4827e-07,
22,3.5941e-08,1.3742e-05,1.7642,0.6561,0,0.0047547,1,1,1.4013e-05,1.8988e-06,1.3969e-07,
23,2.8974e-08,1.2719e-05,1.8483,0.6561,0,0.0048566,1,1,1.3008e-05,1.886e-06,1.3969e-07,
24,2.3852e-08,1.2975e-05,1.9307,0.59049,0,0.0044336,1,1,1.3225e-05,1.7696e-06,1.3172e-07,
25,1.9595e-08,1.2016e-05,2.0041,0.59049,0,0.0045351,1,1,1.2274e-05,1.7249e-06,1.2945e-07,
26,1.6107e-08,1.1045e-05,2.0791,0.59049,0,0.0045958,1,1,1.1314e-05,1.6817e-06,1.2725e-07,
27,1.3263e-08,1.0118e-05,2.1641,0.59049,0,0.0046394,1,1,1.0394e-05,1.6234e-06,1.2385e-07,
28,1.0953e-08,9.2218e-06,2.2437,0.59049,0,0.0046594,1,1,9.4995e-06,1.5445e-06,1.1881e-07,
29,9.0802e-09,8.35e-06,2.3167,0.59049,0,0.0046485,1,1,8.6216e-06,1.4449e-06,1.1209e-07,
30,7.4206e-09,7.1081e-06,2.3952,0.6561,0,0.005114,1,1,7.4139e-06,1.4069e-06,1.1031e-07,
31,5.9956e-09,6.0426e-06,2.4732,0.729,0,0.0055096,1,1,6.3765e-06,1.3481e-06,1.0727e-07,
32,4.7981e-09,5.1328e-06,2.5449,0.81,0,0.0058478,1,1,5.4721e-06,1.2449e-06,1.0057e-07,
33,3.7238e-09,4.6563e-06,2.6143,1,0,0.006796,1,1,5.0138e-06,1.2069e-06,9.9407e-08,
34,2.9485e-09,3.3883e-06,2.685,1,0,0.0061544,1,1,3.6513e-06,8.7693e-07,7.3128e-08,
35,2.3804e-09,2.7069e-06,2.7639,1,0,0.0057237,1,1,2.916e-06,6.9224e-07,5.8612e-08,
36,1.9581e-09,2.0756e-06,2.8345,1,0,0.0052173,1,1,2.2363e-06,5.2778e-07,4.5197e-08,
37,1.6391e-09,1.6019e-06,2.9046,1,0,0.0047429,1,1,1.7261e-06,4.0521e-07,3.5044e-08,
38,1.3939e-09,1.2399e-06,2.9774,1,0,0.0043015,1,1,1.3361e-06,3.1242e-07,2.7242e-08,
39,1.202e-09,9.6828e-07,3.0467,1,0,0.0039046,1,1,1.0436e-06,2.4325e-07,2.136e-08,
40,1.0491e-09,7.647e-07,3.1205,1,0,0.0035537,1,1,8.2431e-07,1.9164e-07,1.6931e-08,
41,9.2534e-10,6.1152e-07,3.1912,1,0,0.0032463,1,1,6.5927e-07,1.5295e-07,1.3584e-08,
42,8.2356e-10,4.9529e-07,3.2623,1,0,0.0029779,1,1,5.3403e-07,1.2366e-07,1.1035e-08,
43,7.3874e-10,4.0615e-07,3.3391,1,0,0.0027437,1,1,4.3796e-07,1.0125e-07,9.0728e-09,
44,6.6719e-10,3.3697e-07,3.4126,1,0,0.0025387,1,1,3.634e-07,8.3892e-08,7.5454e-09,
45,6.0616e-10,2.827e-07,3.4827,1,0,0.0023588,1,1,3.049e-07,7.0303e-08,6.3439e-09,
46,5.5361e-10,2.3949e-07,3.5547,1,0,0.0021997,1,1,2.5831e-07,5.948e-08,5.3841e-09,
47,5.0796e-10,2.0475e-07,3.6277,1,0,0.0020586,1,1,2.2085e-07,5.0786e-08,4.6103e-09,
48,4.6801e-10,1.7652e-07,3.7051,1,0,0.0019327,1,1,1.904e-07,4.3726e-08,3.9799e-09,
49,4.3279e-10,1.5335e-07,3.7844,1,0,0.00182,1,1,1.6541e-07,3.7933e-08,3.4611e-09,
50,4.0156e-10,1.3415e-07,3.8651,1,0,0.0017184,1,1,1.4469e-07,3.3135e-08,3.0303e-09,
51,3.737e-10,1.181e-07,3.9436,1,0,0.0016266,1,1,1.2738e-07,2.9127e-08,2.6694e-09,
52,3.4872e-10,1.0459e-07,4.0232,1,0,0.0015433,1,1,1.1279e-07,2.5751e-08,2.3648e-09,
