"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,2.4515e-08,2.5161e-09,0.22815,1,4.2554,4.15,
1,0.78162,53.5476,3.3333,1.142,0.29858,0.32721,1.0202,2.9622,0.0091658,
2,1.2857,53.5476,3.3333,0.48319,0.045679,0.089419,1.1691,0.70077,0.018841,
3,1.9756,4.4269,3.3333,0.33204,0.02702,0.003391,0.1621,0.42054,0.0063188,
4,2.0043,11.8395,3.3333,0.030564,0.0023786,0.0014053,0.11275,0.035346,0.0004256,
5,2.0231,0.65466,3.3333,0.0098942,0.0012601,0.00082814,0.14573,0.017217,0.00022898,
6,2.0412,0.036275,3.3333,0.0073289,0.00076924,0.00085755,0.17016,0.01114,0.0002649,
7,2.5687,0.021569,11.1111,0.0095066,0.001451,0.0025239,0.15439,0.0179,0.0059167,
8,3.2339,9.9972,11.1111,0.0044654,0.00046861,0.001414,0.10477,0.0072037,0.0032974,
9,3.2647,3.8464,11.1111,0.0015718,0.00017262,0.00097196,0.087309,0.0022997,0.00012813,
10,3.8757,0.013592,37.037,0.0015867,0.00021326,0.00077176,0.069679,0.0035281,0.0023173,
11,4.685,2.5454,37.037,0.00034081,3.5004e-05,0.00058041,0.057056,0.0019943,0.0019408,
12,4.7206,1.0597,37.037,4.2327e-05,6.2995e-06,0.00055414,0.056081,0.00010317,7.302e-05,
13,5.3596,0.0016303,123.4568,4.0636e-05,3.4676e-06,0.00054441,0.054576,0.0012519,0.0012508,
14,6.1554,0.22549,123.4568,1.2101e-05,1.4262e-06,0.00053395,0.053835,0.0012557,0.0012555,
15,6.9435,0.15187,411.5226,1.0418e-05,1.6071e-06,0.00052679,0.052951,0.0014102,0.0014101,
16,7.6858,0.15975,1371.7421,3.0644e-05,3.326e-06,0.00048296,0.049717,0.0064923,0.0064921,
17,8.4797,0.99594,1371.7421,1.4543e-05,1.8346e-06,0.00046049,0.047316,0.010349,0.010349,
18,9.2653,0.44879,1371.7421,6.4597e-06,1.038e-06,0.00045591,0.042423,0.0047338,0.0047338,
19,10.0637,0.09666,4572.4737,5.6084e-06,6.2202e-07,0.00045405,0.045584,0.0010746,0.0010746,
