"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.95301,0.18179,0,1,4.9149,
1,0.016134,4.3573,0.071672,0.0076234,0,0.58255,0.9692,
2,0.023209,4.3573,0.035279,0.0039801,0,0.45984,0.55159,
3,0.030487,0.15699,0.028156,0.0027988,0,0.51864,0.70963,
4,0.038425,0.092562,0.018075,0.0018114,0,0.49624,0.52256,
5,0.048828,0.058669,0.011284,0.00094436,0,0.46396,0.29055,
6,0.052679,0.035151,0.011284,0.00094436,0,0.60948,0.39988,
7,0.062593,0,0.0051177,0.00037927,0,0.45557,0.34174,
8,0.07367,0.034281,0.0039926,0.00023052,0,0.5056,0.25979,
9,0.086421,0.0076381,0.00045647,4.2149e-05,0,0.097872,0.091061,
10,0.090183,0.018077,0.00045647,4.2149e-05,0,0.14287,0.13329,
11,0.094393,0,0.00045647,4.2149e-05,0,0.20728,0.1945,
12,0.10678,0,0.00017208,1.7223e-05,0,0.11644,0.10172,
13,0.11056,0.0010341,0.00017208,1.7223e-05,0,0.16958,0.14838,
14,0.12292,0,8.0276e-05,7.8569e-06,0,0.11702,0.096392,
15,0.13489,0.00046923,4.4777e-05,3.9452e-06,0,0.096024,0.0762,
16,0.14755,0.00020398,2.4951e-05,2.3154e-06,0,0.078658,0.061793,
17,0.15899,0.00011291,1.995e-05,1.6764e-06,0,0.092203,0.072315,
18,0.172,4.4201e-05,1.2258e-05,1.0769e-06,0,0.083225,0.059996,
19,0.18563,4.304e-05,8.1679e-06,6.028e-07,0,0.081408,0.055618,
20,0.19957,2.9771e-05,5.1178e-06,4.0679e-07,0,0.074908,0.047587,
21,0.21381,1.5609e-05,3.35e-06,2.2383e-07,0,0.071986,0.045416,
22,0.2282,1.1124e-05,2.1237e-06,1.583e-07,0,0.067007,0.039757,
23,0.2452,6.032e-06,2.7039e-07,2.2328e-08,0,0.012549,0.010875,
24,0.24883,9.1023e-06,2.7039e-07,2.2328e-08,0,0.018418,0.015962,
25,0.25235,0,2.7039e-07,2.2328e-08,0,0.027029,0.023426,
26,0.26804,0,2.1696e-07,1.3989e-08,0,0.031829,0.015519,
27,0.28416,4.4613e-07,9.3383e-08,7.536e-09,0,0.020115,0.016825,
28,0.3006,5.7025e-07,7.5506e-08,4.5775e-09,0,0.02387,0.011252,
29,0.31737,1.5e-07,3.1893e-08,2.5636e-09,0,0.014802,0.012338,
30,0.33414,1.9293e-07,2.5936e-08,1.5343e-09,0,0.017667,0.0082507,
