"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,5.5283e-09,2.9232e-10,0.24623,5.5283e-08,0.59363,
1,0.20554,2.3558,3.1251e-05,1.6415e-06,9.7821e-07,0.00031251,0.00041503,
2,0.20873,2.3558,3.1251e-05,1.6415e-06,9.7821e-07,0.00045871,0.0005399,
3,0.2165,0,1.9611e-05,7.0422e-07,9.6927e-07,0.0004225,0.00027221,
4,0.21977,5.8824e-05,1.9611e-05,7.0422e-07,9.6927e-07,0.00062014,0.00029653,
5,0.22288,0,1.9611e-05,7.0422e-07,9.6927e-07,0.00091024,0.00034412,
6,0.2322,0,1.6913e-05,7.0943e-07,9.6694e-07,0.0011523,0.0002769,
7,0.30828,1.3664e-05,1.3492e-06,7.648e-08,1.5824e-07,0.00013492,0.00018757,
8,0.31741,0.011907,9.5637e-07,4.8578e-08,1.5794e-07,0.00014038,0.00014887,
9,0.32833,3.3129e-06,8.3177e-07,3.2685e-08,1.5738e-07,0.0001792,0.00013223,
10,0.41702,5.0219e-06,3.5341e-07,2.6323e-08,1.1829e-07,0.00011176,0.00011495,
11,0.42683,0.00078239,2.1814e-07,8.4544e-09,1.1829e-07,0.00010125,4.4984e-05,
12,0.42989,1.2087e-06,2.1814e-07,8.4544e-09,1.1829e-07,0.00014862,5.0061e-05,
13,0.43309,0,2.1814e-07,8.4544e-09,1.1829e-07,0.00021814,5.9344e-05,
14,0.48789,0,1.0334e-08,6.6123e-10,1.1581e-07,1.5169e-05,4.9212e-05,
15,0.76047,0.00014442,5.2311e-08,1.5183e-09,8.4055e-09,0.0001127,2.8975e-05,
16,0.82249,0.0093914,3.6066e-08,1.8551e-09,7.1955e-09,0.00011405,3.089e-05,
17,0.8834,8.8169e-05,2.2386e-08,6.2244e-10,6.4251e-09,0.00010391,2.0501e-05,
18,1.007,7.0168e-05,7.6057e-09,1.967e-10,2.572e-09,5.1817e-05,1.39e-05,
19,1.0241,0.00054362,2.093e-09,7.007e-11,2.5719e-09,2.093e-05,1.9293e-05,
20,1.0383,3.2354e-08,5.7232e-09,1.4906e-10,2.5715e-09,8.4005e-05,2.0652e-05,
21,1.0517,2.0403e-08,2.0567e-09,9.1095e-11,2.5716e-09,4.4311e-05,3.6972e-05,
22,1.0652,1.193e-08,1.8069e-09,5.2403e-11,2.5716e-09,5.714e-05,1.4176e-05,
23,1.0778,2.1585e-09,9.8259e-10,5.9486e-11,2.5716e-09,4.5608e-05,5.4929e-05,
24,1.0918,4.9879e-09,6.7779e-10,2.0034e-11,2.5715e-09,4.6177e-05,1.4581e-05,
25,1.106,1.4689e-09,4.5652e-10,1.5361e-11,2.5715e-09,4.5652e-05,1.6585e-05,
26,1.1201,1.1207e-09,3.4554e-10,1.0823e-11,2.5715e-09,5.0718e-05,1.4068e-05,
27,1.1337,5.8508e-10,2.1751e-10,9.8791e-12,2.5715e-09,4.6861e-05,5.1159e-05,
28,1.1494,1.1201e-09,1.3396e-10,5.3717e-12,2.5715e-09,4.2361e-05,1.4437e-05,
29,1.1636,2.4904e-10,1.117e-10,5.8029e-12,2.5715e-09,5.1847e-05,5.4637e-05,
30,1.1794,9.8119e-10,6.2735e-11,2.7844e-12,2.5715e-09,4.2741e-05,1.5533e-05,
31,1.1942,1.4015e-10,4.0466e-11,1.9939e-12,2.5715e-09,4.0466e-05,2.2963e-05,
32,1.2108,4.847e-10,4.7163e-11,1.9305e-12,2.5715e-09,4.7163e-05,1.4559e-05,
33,1.2306,8.1221e-11,6.4299e-11,1.8897e-12,2.5715e-09,6.4299e-05,1.6126e-05,
34,1.2489,4.4829e-10,4.4814e-11,1.5423e-12,2.5715e-09,4.4814e-05,1.5951e-05,
35,1.2648,1.2948e-10,5.3299e-11,1.5708e-12,2.5715e-09,5.3299e-05,1.3822e-05,
36,1.2816,1.2081e-10,3.4712e-11,1.1357e-12,2.5715e-09,3.4712e-05,4.3734e-05,
37,1.2994,1.6935e-09,2.6152e-11,8.5406e-13,2.5715e-09,2.6152e-05,1.7921e-05,
38,1.3152,8.1706e-11,8.0695e-11,3.2846e-12,2.5715e-09,8.0695e-05,6.5496e-05,
39,1.3327,2.7227e-10,6.1632e-11,1.5782e-12,2.5715e-09,6.1632e-05,1.4505e-05,
40,1.3465,7.9655e-11,5.8605e-11,2.4742e-12,2.5715e-09,5.8605e-05,6.3522e-05,
41,1.363,8.9058e-10,4.7018e-11,1.2371e-12,2.5715e-09,4.7018e-05,1.3623e-05,
42,1.3749,7.4335e-11,1.2835e-10,7.3946e-12,2.5714e-09,0.00012835,0.0001489,
43,1.3912,6.6694e-09,6.1694e-11,1.5951e-12,2.5714e-09,6.1694e-05,1.6655e-05,
44,1.4063,1.7262e-10,4.5632e-11,1.3225e-12,2.5714e-09,4.5632e-05,1.4492e-05,
45,1.4226,1.2334e-10,5.9149e-11,1.5535e-12,2.5714e-09,5.9149e-05,1.453e-05,
46,1.4372,2.2306e-10,3.7464e-11,1.2512e-12,2.5714e-09,3.7464e-05,1.8072e-05,
47,1.4531,2.2873e-10,4.8423e-11,1.3156e-12,2.5714e-09,4.8423e-05,1.37e-05,
48,1.4665,7.1555e-11,7.0115e-11,1.7731e-12,2.5714e-09,7.0115e-05,1.6992e-05,
49,1.4816,8.4175e-10,4.3761e-11,1.468e-12,2.5714e-09,4.3761e-05,2.0502e-05,
50,1.4989,1.3722e-10,4.6605e-11,1.2472e-12,2.5714e-09,4.6605e-05,1.3644e-05,
51,1.5118,4.3393e-11,2.1741e-10,1.0655e-11,2.5713e-09,0.00021741,0.00025334,
52,1.5291,6.6673e-09,7.8145e-11,1.7722e-12,2.5713e-09,7.8145e-05,2.0403e-05,
53,1.5455,2.724e-10,4.1706e-11,1.2164e-12,2.5713e-09,4.1706e-05,2.2405e-05,
54,1.5626,1.4852e-10,4.5288e-11,1.1758e-12,2.5713e-09,4.5288e-05,1.3777e-05,
55,1.5763,4.6159e-11,1.3212e-10,5.6445e-12,2.5712e-09,0.00013212,0.00010034,
56,1.5931,1.6901e-09,8.638e-11,2.1083e-12,2.5712e-09,8.638e-05,2.1665e-05,
57,1.6093,1.3612e-10,4.6647e-11,1.9405e-12,2.5712e-09,4.6647e-05,4.2783e-05,
58,1.6264,1.7495e-10,4.6e-11,1.2597e-12,2.5712e-09,4.6e-05,1.3757e-05,
59,1.6406,5.8788e-11,1.262e-10,4.5791e-12,2.5712e-09,0.0001262,6.4012e-05,
