"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,1.1878e-08,1.0045e-09,2.0973,0.49995,3.1774,
1,0.16691,2.6584,0.038988,0.001735,0.038304,0.37126,0.083364,
2,0.33939,2.6584,0.023603,0.00074136,0.0068619,0.33322,0.045596,
3,0.45436,0.2422,0.0087017,0.00025905,0.0010864,0.18531,0.020578,
4,0.69537,0.10082,0.0021741,6.4009e-05,0.00013557,0.071254,0.00781,
5,0.95571,0.076148,0.00036259,1.0591e-05,1.1832e-05,0.025254,0.0022753,
6,1.0402,0.035174,5.0453e-05,1.5029e-06,1.067e-06,0.0049352,0.00046129,
7,1.086,0.0047007,1.2136e-05,3.7999e-07,6.7725e-07,0.0012136,0.00023321,
8,1.2941,0.00094296,1.4725e-06,1.1801e-07,6.1892e-09,0.00021613,0.00017873,
9,1.3099,0.011785,8.1187e-07,4.1209e-08,6.1143e-09,0.00017491,0.00011469,
10,1.3265,3.4004e-06,3.5594e-07,3.5234e-08,6.0253e-09,0.00011256,9.7761e-05,
11,1.3428,1.9849e-06,2.3177e-07,1.7629e-08,6.0119e-09,0.00010758,8.4138e-05,
12,1.3999,8.9959e-07,1.0395e-07,5.5732e-09,1.5787e-09,7.082e-05,4.9985e-05,
13,1.4173,0.00014598,4.7948e-08,3.9103e-09,1.5748e-09,4.7948e-05,5.1301e-05,
14,1.4362,2.1994e-07,4.2334e-08,2.6928e-09,1.5722e-09,6.2138e-05,4.7283e-05,
15,1.4927,1.1512e-07,1.1256e-08,1.3035e-09,5.7738e-10,2.425e-05,2.2193e-05,
16,1.4993,5.5214e-05,1.1256e-08,1.3035e-09,5.7738e-10,3.5594e-05,3.048e-05,
17,1.5187,0,8.6503e-09,6.9297e-10,5.7747e-10,4.0151e-05,2.4166e-05,
18,1.5413,2.736e-08,6.02e-09,3.681e-10,5.7741e-10,4.1014e-05,1.7915e-05,
19,1.5653,2.0252e-08,8.3454e-10,8.0727e-11,5.7704e-10,8.3454e-06,1.9409e-05,
20,1.5859,4.6859e-08,3.6888e-09,2.5026e-10,5.7633e-10,5.4144e-05,2.4429e-05,
21,1.6118,3.8104e-08,5.8828e-10,4.3797e-11,5.763e-10,1.2674e-05,2.3263e-05,
22,1.6334,1.9708e-08,5.1723e-10,5.004e-11,5.7625e-10,1.6356e-05,1.6364e-05,
23,1.6555,2.8645e-09,4.1213e-10,3.4508e-11,5.7619e-10,1.9129e-05,2.1056e-05,
24,1.6776,4.4385e-09,3.6986e-10,2.8547e-11,5.7618e-10,2.5198e-05,1.6161e-05,
25,1.7006,8.1067e-10,3.1403e-10,3.6529e-11,5.7612e-10,3.1403e-05,5.1067e-05,
26,1.7233,4.6455e-09,8.4133e-11,8.2365e-12,5.7612e-10,1.2349e-05,2.0062e-05,
