"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.21019,6.6622,2.6862e-05,NaN,NaN,NaN,NaN,1,7.1557,2.1689e-08,8.0349e-10,
1,0.14741,0.51049,0.073669,0.34868,0,1.4996,1,1,0.51931,0.0085593,0.00044398,
2,0.0064218,0.10221,0.14348,0.9,0,1.4401,1,1,0.11404,0.03585,0.0019617,
3,0.004126,0.055221,0.21937,0.59049,0,2.3969,1,1,0.072511,0.032416,0.001952,
4,0.0029802,0.05295,0.29893,0.042391,0,0.36809,1,1,0.070955,0.032035,0.001972,
5,0.00083458,0.024644,0.37978,0.31381,0,0.87438,1,1,0.059486,0.046666,0.0019861,
6,0.0039453,0.050464,0.45933,0.16677,0,1.793,1,1,0.069815,0.039259,0.0018766,
7,0.00099955,0.022243,0.53775,0.59049,0,1.4207,1,1,0.078408,0.07478,0.0017709,
8,0.0029005,0.055741,0.61672,0.38742,0,2.3911,1,1,0.077,0.048618,0.0015865,
9,0.0017345,0.045706,0.69886,0.13509,0,0.38048,1,1,0.070574,0.05027,0.0015874,
10,0.00095549,0.030876,0.77752,0.4783,0,1.389,1,1,0.053647,0.035653,0.0015404,
11,0.00036305,0.019787,0.85922,0.15009,0,0.52763,1,1,0.045196,0.03014,0.0015336,
12,0.014143,0.09831,0.93246,1,0,1.1889,1,1,0.098527,0.0056903,0.00023982,
13,0.0067645,0.081333,1.017,0.16677,0,0.93061,1,1,0.081907,0.0080478,0.00030142,
14,0.0053563,0.071779,1.0976,0.079766,0,0.43415,1,1,0.072408,0.0083619,0.00031962,
15,0.0040342,0.064715,1.1812,0.052335,0,0.66687,1,1,0.065418,0.0071203,0.00034097,
16,0.0038942,0.068697,1.271,0.0096977,0,0.058639,1,1,0.069379,0.0072673,0.00034299,
17,0.0037654,0.066602,1.3678,0.0096977,0,0.057569,1,1,0.067297,0.0073752,0.00034459,
18,0.0036256,0.065851,1.4621,0.010775,0,0.06722,1,1,0.066564,0.0074925,0.00034676,
19,0.0034629,0.064595,1.5566,0.013303,0,0.070728,1,1,0.065328,0.0076253,0.00034908,
20,0.0032742,0.063068,1.6499,0.016423,0,0.081505,1,1,0.063827,0.0077726,0.0003517,
21,0.0030619,0.061142,1.7421,0.020276,0,0.093939,1,1,0.061938,0.0079736,0.00035481,
22,0.0027687,0.058415,1.8242,0.030903,0,0.11688,1,1,0.05927,0.0082717,0.00035906,
23,0.0014769,0.044987,1.8979,0.25419,0,0.72647,1,1,0.046108,0.0086504,0.00033807,
24,0.0024456,0.051231,1.969,0.43047,0,2.595,1,1,0.051815,0.0063146,0.00029595,
25,0.0015106,0.041348,2.0472,0.088629,0,0.5337,1,1,0.041968,0.0048622,0.00029832,
26,0.00087165,0.033101,2.1238,0.12158,0,0.36765,1,1,0.03415,0.0059508,0.00029995,
27,0.00063466,0.029279,2.2045,0.07179,0,0.24038,1,1,0.030485,0.006083,0.0003011,
28,0.00048069,0.026325,2.2891,0.05815,0,0.21038,1,1,0.027681,0.0062182,0.0003035,
29,0.00036993,0.023654,2.3734,0.05815,0,0.19721,1,1,0.025154,0.006251,0.0003043,
30,0.00026566,0.020032,2.4533,0.098477,0,0.2525,1,1,0.021732,0.0061324,0.00030596,
31,0.00063957,0.022891,2.5321,0.43047,0,0.81221,1,1,0.02478,0.0090276,0.00029542,
32,0.00016461,0.013922,2.6098,0.12158,0,0.72737,1,1,0.016224,0.0072638,0.00030354,
33,0.00032897,0.018329,2.6809,0.6561,0,0.68466,1,1,0.019615,0.0049092,0.00027444,
34,8.7756e-05,0.0094607,2.7584,0.43047,0,0.73771,1,1,0.012188,0.007367,0.0002241,
35,2.6939e-05,0.0046584,2.8358,0.13509,0,0.31612,1,1,0.0085943,0.0066861,0.00022116,
36,0.00062786,0.020889,2.9125,1,0,0.81409,1,1,0.021107,0.002051,0.00012375,
37,0.00025454,0.013937,2.9942,0.079766,0,0.42694,1,1,0.014274,0.0019764,0.00012191,
38,0.00024324,0.013598,3.0812,0.013303,0,0.028521,1,1,0.013943,0.0019928,0.00012209,
39,0.00023345,0.013393,3.1718,0.011973,0,0.026884,1,1,0.013743,0.0020053,0.00012215,
40,0.00022393,0.01319,3.258,0.011973,0,0.027643,1,1,0.013546,0.0020202,0.00012227,
41,0.00021574,0.013012,3.3448,0.010775,0,0.025574,1,1,0.013374,0.0020319,0.00012229,
42,0.00020776,0.012836,3.4376,0.010775,0,0.026202,1,1,0.013203,0.0020454,0.00012236,
43,0.0002,0.012661,3.531,0.010775,0,0.026819,1,1,0.013034,0.0020606,0.00012248,
44,0.00019333,0.012509,3.6205,0.0096977,0,0.024651,1,1,0.012887,0.0020724,0.00012249,
45,0.00018683,0.012358,3.7141,0.0096977,0,0.025114,1,1,0.012741,0.0020854,0.00012254,
46,0.00018051,0.012208,3.8066,0.0096977,0,0.025551,1,1,0.012596,0.0020997,0.00012262,
47,0.00017508,0.012078,3.8938,0.008728,0,0.023352,1,1,0.012471,0.0021104,0.00012261,
48,0.00016979,0.011948,3.9865,0.008728,0,0.023568,1,1,0.012346,0.0021218,0.00012262,
49,0.00016404,0.0118,4.0772,0.0096977,0,0.02512,1,1,0.012204,0.0021372,0.0001227,
50,0.00015848,0.011653,4.1697,0.0096977,0,0.024098,1,1,0.012062,0.0021515,0.00012271,
51,0.00015241,0.011485,4.256,0.010775,0,0.025839,1,1,0.011902,0.0021704,0.00012279,
52,0.00014653,0.011318,4.3476,0.010775,0,0.024989,1,1,0.011742,0.0021873,0.00012277,
53,0.00014007,0.011127,4.4328,0.011973,0,0.027035,1,1,0.01156,0.0022084,0.00012278,
54,0.00013295,0.010908,4.5249,0.013303,0,0.029376,1,1,0.011351,0.002233,0.00012276,
55,0.000124,0.010615,4.6135,0.016423,0,0.035504,1,1,0.011073,0.0022697,0.00012283,
56,0.00011299,0.010229,4.7037,0.020276,0,0.041448,1,1,0.010708,0.0023133,0.00012284,
57,9.5402e-05,0.0095299,4.795,0.030903,0,0.058754,1,1,0.01005,0.0023801,0.00012291,
58,0.00057461,0.027122,4.8763,0.25419,0,0.42331,1,1,0.02725,0.0023777,8.9049e-05,
59,0.00034891,0.022433,4.9628,0.07179,0,0.24026,1,1,0.022606,0.0022538,8.9729e-05,
60,0.00023867,0.019011,5.0477,0.079766,0,0.20982,1,1,0.019206,0.0023269,8.8245e-05,
61,0.00019617,0.017559,5.1341,0.047101,0,0.10157,1,1,0.017775,0.0022235,8.7697e-05,
62,0.00018998,0.017316,5.2275,0.011973,0,0.023559,1,1,0.017532,0.0022009,8.7746e-05,
63,0.0001841,0.017087,5.3207,0.011973,0,0.022446,1,1,0.017304,0.0021785,8.7751e-05,
64,0.00017852,0.016862,5.4141,0.011973,0,0.021371,1,1,0.017079,0.0021558,8.7731e-05,
65,0.00017195,0.016586,5.5036,0.014781,0,0.024445,1,1,0.016806,0.002128,8.7824e-05,
66,0.00016509,0.016287,5.589,0.016423,0,0.025068,1,1,0.016509,0.0020972,8.7884e-05,
67,0.00015794,0.015964,5.6791,0.018248,0,0.025832,1,1,0.016188,0.0020633,8.7893e-05,
68,0.00015053,0.015614,5.7713,0.020276,0,0.026625,1,1,0.015842,0.0020261,8.7908e-05,
69,0.00014287,0.015238,5.8625,0.022528,0,0.027402,1,1,0.01547,0.0019854,8.8017e-05,
70,0.0001358,0.014875,5.9525,0.022528,0,0.025316,1,1,0.015111,0.001945,8.8015e-05,
71,0.0001285,0.014483,6.0373,0.025032,0,0.026097,1,1,0.014726,0.0019011,8.8124e-05,
72,0.00011601,0.013773,6.1238,0.047101,0,0.035734,1,1,0.014028,0.0018383,8.807e-05,
73,3.9199e-05,0.0078171,6.2111,0.43047,0,0.12085,1,1,0.0082287,0.0021286,8.566e-05,
74,1.0603e-05,0.002808,6.2891,0.9,0,0.11326,1,1,0.0041722,0.0029755,8.4197e-05,
75,1.1255e-05,0.0030395,6.3755,0.20589,0,0.13161,1,1,0.0037437,0.0016831,7.0021e-05,
76,5.1468e-06,0.0023791,6.4585,0.16677,0,0.10829,1,1,0.0029567,0.0013306,5.5829e-05,
77,2.2978e-06,0.0012956,6.5328,1,0,0.12566,1,1,0.0013085,0.00015745,6.2343e-06,
78,1.2249e-06,0.00092486,6.6168,0.098477,0,0.034989,1,1,0.00094453,0.00016103,5.9964e-06,
79,8.5553e-07,0.00077095,6.6998,0.088629,0,0.01905,1,1,0.00079255,0.00015022,5.9206e-06,
