"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,3.6556e-09,2.9529e-10,0.20225,1,4.4796,4.3625,
1,0.064773,6.0053,3.3333,0.58817,0.061665,1.0272,0.78972,1.3152,0.099484,
2,0.091583,6.0053,3.3333,0.18083,0.022895,0.092365,0.20126,0.42029,0.075472,
3,0.10389,1.8841,3.3333,0.048501,0.0054213,0.014997,0.045658,0.11282,0.051599,
4,0.11406,0.46075,3.3333,0.016658,0.001287,0.010204,0.058587,0.054601,0.047782,
5,0.12365,0.11767,3.3333,0.0059013,0.00050984,0.0083851,0.040041,0.041181,0.039772,
6,0.14201,0.091713,11.1111,0.010333,0.0005957,0.0016734,0.015413,0.032282,0.029274,
7,0.15281,0.41112,11.1111,0.0012529,6.6414e-05,0.0013597,0.0090192,0.022633,0.02258,
8,0.17028,0.030013,11.1111,0.00081205,5.406e-05,0.00042258,0.0040237,0.0096599,0.0095854,
9,0.17453,0.093387,37.037,0.00081205,5.406e-05,0.00042258,0.010233,0.013774,0.013722,
10,0.18499,0,37.037,0.00031894,2.7131e-05,0.00041476,0.0070721,0.0099433,0.0099289,
11,0.19513,0.0027537,37.037,0.00020183,1.5093e-05,0.00041048,0.0052698,0.008001,0.0079946,
12,0.23868,0.0013017,37.037,0.00013917,9.6764e-06,2.0229e-05,0.0014249,0.00467,0.004666,
13,0.24829,0.12106,37.037,9.8412e-05,6.1109e-06,1.8478e-05,0.0028935,0.0051741,0.0051719,
14,0.25831,0.00061602,123.4568,9.6613e-05,5.2171e-06,1.749e-05,0.00128,0.0041029,0.0041005,
15,0.26956,0.0004102,123.4568,1.5046e-05,1.0096e-06,1.721e-05,0.00085187,0.0038142,0.0038141,
16,0.29551,0.00018252,411.5226,1.5283e-05,7.6876e-07,3.988e-06,0.0024644,0.0029862,0.0029862,
17,0.30734,0.0073011,411.5226,7.7533e-06,2.9894e-07,3.9717e-06,0.0014851,0.0019921,0.0019921,
18,0.31924,2.9551e-05,411.5226,3.9645e-06,1.7963e-07,3.9539e-06,0.00090523,0.0018799,0.0018799,
19,0.34114,2.0409e-05,411.5226,2.7138e-06,2.2344e-07,2.2752e-06,0.00057084,0.0011392,0.0011392,
20,0.35252,0.0022734,1371.7421,2.3186e-06,1.6197e-07,2.2696e-06,0.00080704,0.0011061,0.0011061,
21,0.36582,1.272e-05,1371.7421,4.689e-07,3.2085e-08,2.2686e-06,0.00050794,0.00088099,0.00088099,
22,0.43779,4.421e-06,4572.4737,3.9716e-07,2.6468e-08,8.6405e-07,0.00016243,0.00043338,0.00043338,
23,0.45158,0.0041799,4572.4737,1.1906e-07,8.1035e-09,8.6399e-07,0.00049299,0.00057161,0.00057161,
24,0.46763,9.7484e-07,15241.579,1.4462e-07,1.037e-08,8.6373e-07,0.00025113,0.00049145,0.00049145,
25,0.56992,1.066e-06,15241.579,1.5483e-08,1.0453e-09,3.4099e-07,0.00018145,0.00037099,0.00037099,
26,0.62799,0.0028136,50805.2634,1.4127e-08,9.6872e-10,2.4315e-07,7.6418e-05,0.0002637,0.0002637,
27,0.6489,0.00061112,50805.2634,2.1016e-09,1.5253e-10,2.4315e-07,8.8728e-05,0.000257,0.000257,
28,0.69987,2.8802e-08,50805.2634,1.5893e-09,1.5877e-10,1.9243e-07,5.1543e-05,0.00019258,0.00019258,
29,0.71785,0.0004211,50805.2634,1.0793e-09,6.3334e-11,1.9243e-07,5.1798e-05,0.00018541,0.00018541,
30,0.83674,3.2558e-08,169350.8781,2.117e-09,1.0148e-10,3.1608e-08,5.5756e-05,0.00011786,0.00011786,
31,0.85291,0.0022695,169350.8781,3.6046e-10,3.7085e-11,3.1608e-08,0.0001012,0.00016642,0.00016642,
32,0.86947,4.9565e-09,564502.9269,4.2844e-10,3.4214e-11,3.1608e-08,4.6057e-05,0.0001153,0.0001153,
33,0.88883,2.8845e-09,564502.9269,2.3102e-11,2.0678e-12,3.1608e-08,3.6139e-05,0.00011525,0.00011525,
34,0.90588,9.6793e-10,1881676.4232,4.8591e-10,4.006e-11,3.1605e-08,0.0002838,0.00029112,0.00029112,
35,0.92389,2.3727e-08,1881676.4232,2.6431e-10,2.0588e-11,3.1605e-08,0.00074074,0.0007999,0.0007999,
36,0.94246,2.0822e-09,6272254.7439,3.8591e-10,1.5346e-11,3.1605e-08,9.0631e-05,0.00013428,0.00013428,
37,0.96243,8.6157e-10,6272254.7439,3.336e-11,2.3427e-12,3.1605e-08,0.00021624,0.00020844,0.00020844,
38,0.98078,4.4993e-10,20907515.8129,5.8908e-11,5.307e-12,3.1605e-08,0.0004115,0.00053427,0.00053427,
39,1.0012,3.0424e-10,20907515.8129,2.4631e-11,2.1386e-12,3.1605e-08,0.00055246,0.00045076,0.00045076,
40,1.0222,1.3502e-10,20907515.8129,1.5925e-11,1.3049e-12,3.1605e-08,0.00032741,0.00038157,0.00038157,
41,1.0428,1.2317e-10,69691719.3763,1.5441e-11,1.2419e-12,3.1605e-08,5.3874e-05,0.00011635,0.00011635,
42,1.0757,3.3443e-11,232305731.2542,1.5441e-11,1.2419e-12,3.1605e-08,0.0010716,0.0012372,0.0012372,
43,1.1096,0,774352437.514,1.5441e-11,1.2419e-12,3.1605e-08,0.0046586,0.0053231,0.0053231,
44,1.1474,0,2581174791.7132,1.5441e-11,1.2419e-12,3.1605e-08,0.016616,0.018956,0.018956,
45,1.1819,0,8603915972.3773,1.5441e-11,1.2419e-12,3.1605e-08,0.056472,0.064402,0.064402,
46,1.2149,0,28679719907.9244,1.5441e-11,1.2419e-12,3.1605e-08,0.18933,0.21589,0.21589,
47,1.2473,0,95599066359.7481,1.5441e-11,1.2419e-12,3.1605e-08,0.63218,0.72084,0.72084,
48,1.2803,0,318663554532.4938,1.5441e-11,1.2419e-12,3.1605e-08,2.1083,2.404,2.404,
49,1.312,0,1062211848441.646,1.5441e-11,1.2419e-12,3.1605e-08,7.0289,8.0146,8.0146,
50,1.3447,0,3540706161472.154,1.5441e-11,1.2419e-12,3.1605e-08,20,26.7167,26.7167,
51,1.3784,0,11802353871573.85,1.5441e-11,1.2419e-12,3.1605e-08,20,86.7749,86.7749,
52,1.4121,0,39341179571912.82,1.5441e-11,1.2419e-12,3.1605e-08,20,240.1767,240.1767,
53,1.4459,0,131137265239709.4,1.5441e-11,1.2419e-12,3.1605e-08,20,725.3107,725.3107,
54,1.4791,0,437124217465698.1,1.5441e-11,1.2419e-12,3.1605e-08,20,2341.3305,2341.3305,
55,1.5112,0,1457080724885660,1.5441e-11,1.2419e-12,3.1605e-08,20,7728.6894,7728.6894,
56,1.5442,0,4856935749618868,1.5441e-11,1.2419e-12,3.1605e-08,20,25686.7486,25686.7486,
57,1.5772,0,1.618978583206289e+16,1.5441e-11,1.2419e-12,3.1605e-08,20,85547.0058,85547.0058,
58,1.6107,0,5.396595277354298e+16,1.5441e-11,1.2419e-12,3.1605e-08,20,285081.2146,285081.2146,
59,1.6434,0,1.798865092451433e+17,1.5441e-11,1.2419e-12,3.1605e-08,20,950195.2491,950195.2491,
60,1.6752,0,5.996216974838111e+17,1.5441e-11,1.2419e-12,3.1605e-08,20,3167242.0324,3167242.0324,
61,1.7077,0,1.998738991612704e+18,1.5441e-11,1.2419e-12,3.1605e-08,20,10557397.9771,10557397.9771,
62,1.7391,0,6.662463305375679e+18,1.5441e-11,1.2419e-12,3.1605e-08,20,35191251.1265,35191251.1265,
63,1.771,0,2.220821101791893e+19,1.5441e-11,1.2419e-12,3.1605e-08,20,117304094.9579,117304094.9579,
64,1.8021,0,7.402737005972978e+19,1.5441e-11,1.2419e-12,3.1605e-08,20,391013574.3959,391013574.3959,
65,1.8335,0,2.467579001990993e+20,1.5441e-11,1.2419e-12,3.1605e-08,20,1303378505.8559,1303378505.8559,
66,1.8652,0,8.225263339969975e+20,1.5441e-11,1.2419e-12,3.1605e-08,20,4344594944.0558,4344594944.0558,
67,1.8964,0,2.741754446656658e+21,1.5441e-11,1.2419e-12,3.1605e-08,20,14481983071.3889,14481983071.3889,
68,1.9278,0,9.139181488855528e+21,1.5441e-11,1.2419e-12,3.1605e-08,20,48273276829.1657,48273276829.1657,
69,1.9594,0,3.046393829618509e+22,1.5441e-11,1.2419e-12,3.1605e-08,20,160910922688.4218,160910922688.4218,
70,1.9917,0,1.015464609872836e+23,1.5441e-11,1.2419e-12,3.1605e-08,20,536369742219.2757,536369742219.2757,
71,2.0236,0,3.384882032909455e+23,1.5441e-11,1.2419e-12,3.1605e-08,20,1787899140655.455,1787899140655.455,
72,2.0554,0,1.128294010969818e+24,1.5441e-11,1.2419e-12,3.1605e-08,20,5959663802109.388,5959663802109.388,
73,2.0871,0,3.760980036566062e+24,1.5441e-11,1.2419e-12,3.1605e-08,20,19865546006955.83,19865546006955.83,
74,2.119,0,1.253660012188687e+25,1.5441e-11,1.2419e-12,3.1605e-08,20,66218486689777.3,66218486689777.3,
75,2.1508,0,4.178866707295624e+25,1.5441e-11,1.2419e-12,3.1605e-08,20,220728288965848.9,220728288965848.9,
76,2.1823,0,1.392955569098541e+26,1.5441e-11,1.2419e-12,3.1605e-08,20,735760963219420.9,735760963219420.9,
77,2.214,0,4.643185230328472e+26,1.5441e-11,1.2419e-12,3.1605e-08,20,2452536544064660,2452536544064660,
78,2.2455,0,1.547728410109491e+27,1.5441e-11,1.2419e-12,3.1605e-08,20,8175121813548793,8175121813548793,
79,2.277,0,5.15909470036497e+27,1.5441e-11,1.2419e-12,3.1605e-08,20,2.725040604516258e+16,2.725040604516258e+16,
80,2.3088,0,1.71969823345499e+28,1.5441e-11,1.2419e-12,3.1605e-08,20,9.083468681720851e+16,9.083468681720851e+16,
81,2.3405,0,5.732327444849967e+28,1.5441e-11,1.2419e-12,3.1605e-08,20,3.02782289390695e+17,3.02782289390695e+17,
82,2.3728,0,1.910775814949989e+29,1.5441e-11,1.2419e-12,3.1605e-08,20,1.009274297968983e+18,1.009274297968983e+18,
83,2.4046,0,6.369252716499964e+29,1.5441e-11,1.2419e-12,3.1605e-08,20,3.364247659896611e+18,3.364247659896611e+18,
84,2.4361,0,2.123084238833321e+30,1.5441e-11,1.2419e-12,3.1605e-08,20,1.121415886632204e+19,1.121415886632204e+19,
85,2.4679,0,7.076947462777738e+30,1.5441e-11,1.2419e-12,3.1605e-08,20,3.738052955440679e+19,3.738052955440679e+19,
86,2.5003,0,2.35898248759258e+31,1.5441e-11,1.2419e-12,3.1605e-08,20,1.24601765181356e+20,1.24601765181356e+20,
87,2.5328,0,7.863274958641932e+31,1.5441e-11,1.2419e-12,3.1605e-08,20,4.153392172711866e+20,4.153392172711866e+20,
88,2.5656,0,2.621091652880644e+32,1.5441e-11,1.2419e-12,3.1605e-08,20,1.384464057570622e+21,1.384464057570622e+21,
89,2.604,0,8.736972176268813e+32,1.5441e-11,1.2419e-12,3.1605e-08,20,4.614880191902073e+21,4.614880191902073e+21,
90,2.6452,0,2.912324058756271e+33,1.5441e-11,1.2419e-12,3.1605e-08,20,1.538293397300691e+22,1.538293397300691e+22,
91,2.6793,0,9.707746862520905e+33,1.5441e-11,1.2419e-12,3.1605e-08,20,5.127644657668971e+22,5.127644657668971e+22,
92,2.7134,0,3.235915620840302e+34,1.5441e-11,1.2419e-12,3.1605e-08,20,1.709214885889657e+23,1.709214885889657e+23,
93,2.7486,0,1.078638540280101e+35,1.5441e-11,1.2419e-12,3.1605e-08,20,5.697382952965523e+23,5.697382952965523e+23,
94,2.7814,0,3.595461800933669e+35,1.5441e-11,1.2419e-12,3.1605e-08,20,1.899127650988508e+24,1.899127650988508e+24,
95,2.8144,0,1.19848726697789e+36,1.5441e-11,1.2419e-12,3.1605e-08,20,6.330425503295026e+24,6.330425503295026e+24,
96,2.8475,0,3.994957556592966e+36,1.5441e-11,1.2419e-12,3.1605e-08,20,2.110141834431675e+25,2.110141834431675e+25,
97,2.8852,0,1.331652518864322e+37,1.5441e-11,1.2419e-12,3.1605e-08,20,7.033806114772253e+25,7.033806114772253e+25,
98,2.918,0,4.43884172954774e+37,1.5441e-11,1.2419e-12,3.1605e-08,20,2.344602038257418e+26,2.344602038257418e+26,
99,2.9513,0,1.479613909849247e+38,1.5441e-11,1.2419e-12,3.1605e-08,20,7.815340127524726e+26,7.815340127524726e+26,
100,2.9856,0,4.932046366164157e+38,1.5441e-11,1.2419e-12,3.1605e-08,20,2.605113375841575e+27,2.605113375841575e+27,
101,3.0206,0,1.644015455388052e+39,1.5441e-11,1.2419e-12,3.1605e-08,20,8.683711252805253e+27,8.683711252805253e+27,
102,3.0531,0,5.480051517960174e+39,1.5441e-11,1.2419e-12,3.1605e-08,20,2.894570417601751e+28,2.894570417601751e+28,
103,3.0854,0,1.826683839320058e+40,1.5441e-11,1.2419e-12,3.1605e-08,20,9.648568058672502e+28,9.648568058672502e+28,
104,3.1181,0,6.08894613106686e+40,1.5441e-11,1.2419e-12,3.1605e-08,20,3.216189352890835e+29,3.216189352890835e+29,
105,3.1506,0,2.02964871035562e+41,1.5441e-11,1.2419e-12,3.1605e-08,20,1.072063117630278e+30,1.072063117630278e+30,
106,3.183,0,6.765495701185401e+41,1.5441e-11,1.2419e-12,3.1605e-08,20,3.573543725434261e+30,3.573543725434261e+30,
107,3.2151,0,2.255165233728467e+42,1.5441e-11,1.2419e-12,3.1605e-08,20,1.19118124181142e+31,1.19118124181142e+31,
108,3.247,0,7.517217445761558e+42,1.5441e-11,1.2419e-12,3.1605e-08,20,3.970604139371401e+31,3.970604139371401e+31,
109,3.2788,0,2.505739148587186e+43,1.5441e-11,1.2419e-12,3.1605e-08,20,1.3235347131238e+32,1.3235347131238e+32,
110,3.3106,0,8.352463828623954e+43,1.5441e-11,1.2419e-12,3.1605e-08,20,4.411782377079334e+32,4.411782377079334e+32,
111,3.3435,0,2.784154609541318e+44,1.5441e-11,1.2419e-12,3.1605e-08,20,1.470594125693112e+33,1.470594125693112e+33,
112,3.3756,0,9.280515365137727e+44,1.5441e-11,1.2419e-12,3.1605e-08,20,4.901980418977039e+33,4.901980418977039e+33,
113,3.4079,0,3.093505121712576e+45,1.5441e-11,1.2419e-12,3.1605e-08,20,1.633993472992346e+34,1.633993472992346e+34,
