"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.90256,0.1141,0,1,3.2536,
1,0.0090909,2.7165,0.10923,0.010663,0,0.73758,1.0013,
2,0.017411,2.7165,0.041981,0.0023342,0,0.5246,0.27318,
3,0.020236,0.1882,0.041981,0.0023342,0,0.67079,0.35653,
4,0.023044,0,0.041981,0.0023342,0,0.79875,0.44699,
5,0.030529,0,0.026939,0.0017463,0,0.78097,0.43856,
6,0.040185,0.039115,0.0057128,0.0007077,0,0.38921,0.4079,
7,0.047397,0.05513,0.0051092,0.00043632,0,0.45498,0.28873,
8,0.05496,0.009269,0.0021575,0.00020916,0,0.31668,0.22828,
9,0.063539,0.010007,0.00094596,0.00011427,0,0.1997,0.17307,
10,0.066264,0.0038602,0.00094596,0.00011427,0,0.28659,0.24982,
11,0.075208,0,0.0006151,6.1597e-05,0,0.2855,0.18708,
12,0.084475,0.0022015,0.00025704,2.9806e-05,0,0.17512,0.14343,
13,0.094317,0.0012263,0.00015136,1.5235e-05,0,0.15136,0.095502,
14,0.10422,0.00057598,6.2318e-05,6.9626e-06,0,0.09147,0.072832,
15,0.10728,0.00032099,6.2318e-05,6.9626e-06,0,0.13426,0.10677,
16,0.11786,0,3.5661e-05,3.7636e-06,0,0.11277,0.072713,
17,0.12857,0.00012369,1.4314e-05,1.6177e-06,0,0.06644,0.056482,
18,0.13947,8.4599e-05,7.9402e-06,7.5943e-07,0,0.054096,0.032462,
19,0.14234,2.8809e-05,7.9402e-06,7.5943e-07,0,0.079402,0.04764,
20,0.15413,0,2.5871e-06,3.1838e-07,0,0.037974,0.031907,
21,0.16508,1.9569e-05,1.7106e-06,2.2553e-07,0,0.036854,0.043532,
22,0.17646,5.7161e-06,1.228e-06,1.5544e-07,0,0.038831,0.036699,
23,0.18911,3.8981e-06,7.5398e-07,7.5354e-08,0,0.034997,0.020507,
24,0.20201,2.3718e-06,1.9835e-07,2.5631e-08,0,0.013513,0.012831,
25,0.2048,2.0889e-06,1.9835e-07,2.5631e-08,0,0.019835,0.018833,
26,0.21679,0,1.4205e-07,1.8009e-08,0,0.020849,0.021074,
27,0.22927,4.2176e-07,1.0955e-07,1.1241e-08,0,0.023601,0.01472,
28,0.24255,2.3598e-07,4.1011e-08,4.8438e-09,0,0.012969,0.010656,
29,0.25603,2.6617e-07,3.128e-08,3.1804e-09,0,0.014519,0.0091346,
30,0.27053,5.9664e-08,1.2201e-08,1.443e-09,0,0.0083125,0.0067284,
