"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,1.6852e-08,1.198e-09,0.1244,1.6852e-07,0.31079,
1,0.011643,0.60252,0.02461,0.001366,0.0025899,0.23897,0.059036,
2,0.01443,0.60252,0.02461,0.001366,0.0025899,0.33974,0.063035,
3,0.026492,0,0.0055522,0.00039657,0.0026283,0.11877,0.061337,
4,0.039303,0.21894,0.003687,0.00032066,0.00084994,0.11581,0.045761,
5,0.046753,0.099307,0.0037444,0.0002421,0.00083758,0.17123,0.038138,
6,0.072552,0.0041049,0.00076147,5.1001e-05,0.00023512,0.051809,0.021027,
7,0.08478,0.087676,0.00034334,2.5715e-05,0.00011109,0.034314,0.021603,
8,0.094674,0.016529,0.00019649,1.3733e-05,0.00010076,0.028829,0.016689,
9,0.10703,0.001139,0.00018834,1.193e-05,7.2667e-05,0.040543,0.012275,
10,0.1219,0.0033967,3.8006e-05,2.3452e-06,6.9287e-05,0.012018,0.011715,
11,0.15934,0.0022362,5.6948e-06,5.8229e-07,9.7823e-06,0.0026433,0.0036885,
12,0.16216,0.018702,5.6948e-06,5.8229e-07,9.7823e-06,0.0038798,0.0041717,
13,0.1651,0,5.6948e-06,5.8229e-07,9.7823e-06,0.0056947,0.0052416,
14,0.17423,0,4.5399e-06,2.9362e-07,9.764e-06,0.0066634,0.0042104,
15,0.20907,1.1776e-05,1.0237e-06,8.4812e-08,1.5527e-06,0.0022055,0.0012295,
16,0.21193,0.0047729,1.0237e-06,8.4812e-08,1.5527e-06,0.0032372,0.0015257,
17,0.21453,0,1.0237e-06,8.4812e-08,1.5527e-06,0.0047515,0.0021189,
18,0.22663,0,9.238e-07,6.0952e-08,1.5527e-06,0.0062937,0.0016171,
19,0.23819,1.121e-06,4.0033e-07,2.2542e-08,1.5522e-06,0.0040033,0.0015199,
20,0.2868,5.0635e-06,4.9179e-08,2.927e-09,3.846e-07,0.00072185,0.00071154,
21,0.28955,0.0023657,4.9179e-08,2.927e-09,3.846e-07,0.0010595,0.0007339,
22,0.29217,0,4.9179e-08,2.927e-09,3.846e-07,0.0015552,0.00079031,
23,0.33965,0,1.4088e-08,1.0327e-09,9.6513e-08,0.0006539,0.00031134,
24,0.34246,0.00087977,1.4088e-08,1.0327e-09,9.6513e-08,0.0009598,0.00041138,
25,0.35526,0,1.1597e-08,7.5905e-10,9.6512e-08,0.0011597,0.00033296,
26,0.36915,1.2879e-08,8.4005e-09,6.1024e-10,9.651e-08,0.001233,0.00030819,
27,0.41496,2.9211e-08,1.4364e-09,8.3609e-11,2.5321e-08,0.00030947,0.00022795,
28,0.42777,0.00057512,1.0181e-09,7.0471e-11,2.5321e-08,0.00032194,0.00017392,
29,0.44589,2.2416e-09,3.5095e-09,2.2152e-10,2.5304e-08,0.001629,0.00047407,
30,0.45933,1.1201e-07,1.765e-09,9.9562e-11,2.5303e-08,0.0012025,0.00042162,
31,0.47235,1.4538e-08,1.2553e-09,8.254e-11,2.5303e-08,0.0012553,0.00038427,
32,0.48587,2.1982e-09,7.2946e-10,4.4155e-11,2.5301e-08,0.00072946,0.00023929,
33,0.49849,1.6591e-08,5.2799e-10,3.5373e-11,2.5301e-08,0.00052799,0.00019234,
34,0.51165,1.8244e-09,3.768e-10,2.6616e-11,2.5299e-08,0.0003768,0.00023408,
35,0.52391,1.5005e-08,3.2688e-10,1.963e-11,2.5298e-08,0.00032688,0.00036201,
36,0.53734,3.5666e-09,7.1608e-11,7.6449e-12,2.5298e-08,7.1608e-05,0.0001761,
37,0.55194,6.6281e-10,1.9354e-09,1.288e-10,2.5286e-08,0.0019354,0.00049121,
38,0.56421,7.3608e-08,1.3271e-09,7.2681e-11,2.5285e-08,0.0013271,0.0005607,
39,0.57839,7.4694e-09,9.089e-10,6.2704e-11,2.5285e-08,0.0009089,0.00025368,
40,0.59137,9.9823e-10,5.3165e-10,3.6083e-11,2.5283e-08,0.00053165,0.00023985,
41,0.60447,1.8408e-08,1.0154e-09,6.8898e-11,2.5281e-08,0.0010154,0.000284,
42,0.61658,1.7724e-08,6.9675e-10,4.0632e-11,2.528e-08,0.00069675,0.00029025,
43,0.62957,4.3474e-09,4.8961e-10,3.522e-11,2.528e-08,0.00048961,0.00018874,
44,0.64395,1.0041e-09,1.1123e-09,7.5094e-11,2.5276e-08,0.0011123,0.00036024,
45,0.6574,3.1433e-08,1.3246e-09,8.9937e-11,2.5273e-08,0.0013246,0.00033838,
46,0.67052,2.2026e-08,6.3246e-10,4.1248e-11,2.5272e-08,0.00063246,0.0002634,
47,0.68213,1.9663e-08,6.7702e-10,6.2471e-11,2.5271e-08,0.00067702,0.00089465,
48,0.69557,8.2442e-09,1.4249e-10,1.1381e-11,2.527e-08,0.00014249,0.00016843,
49,0.73818,1.2117e-09,1.2365e-10,1.0082e-11,6.6437e-09,0.00012365,6.6738e-05,
