"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,9.4934e-09,9.0697e-10,0.27403,0.49806,2.328,
1,0.83419,4.9137,0.0046068,0.00021951,0.011252,0.12078,0.036315,
2,0.98404,4.9137,0.00058593,2.3563e-05,0.0045944,0.084431,0.016802,
3,1.0458,0.2763,0.00013352,5.7499e-06,0.0016746,0.054683,0.0080404,
4,1.1131,0.044049,6.7369e-05,2.3035e-06,0.00050098,0.03105,0.0035014,
5,1.2062,0.030206,3.28e-05,1.2985e-06,0.00010359,0.013999,0.0013288,
6,1.2528,0.019436,3.1709e-05,9.0218e-07,1.38e-05,0.0038406,0.00043116,
7,1.3299,0.010853,1.5271e-05,5.2745e-07,6.2596e-06,0.0015271,0.0001468,
8,1.3728,0.0041895,1.1229e-05,4.1014e-07,6.1674e-06,0.0016482,0.00011722,
9,1.3916,0.00048907,8.023e-06,2.8707e-07,6.1731e-06,0.0017285,0.00013036,
10,1.9989,1.0507e-05,3.4324e-07,2.2784e-08,1.1896e-10,0.00010854,6.6237e-05,
11,2.006,0.15668,3.4324e-07,2.2784e-08,1.1896e-10,0.00015932,9.776e-05,
12,2.0235,0,2.1149e-07,1.3021e-08,1.1983e-10,0.00014409,7.2401e-05,
13,2.0442,6.0599e-07,5.275e-08,3.1398e-09,1.1978e-10,5.275e-05,2.7025e-05,
14,2.0507,8.0241e-07,5.275e-08,3.1398e-09,1.1978e-10,7.7427e-05,3.8657e-05,
15,2.0683,0,2.6597e-08,2.1285e-09,1.1976e-10,5.7301e-05,3.2523e-05,
16,2.09,9.3588e-08,9.8696e-09,7.7056e-10,1.197e-10,3.121e-05,1.8148e-05,
17,2.109,1.3858e-07,7.3744e-09,5.3667e-10,1.1968e-10,3.4229e-05,1.5261e-05,
18,2.1311,1.8446e-08,4.4582e-09,3.6443e-10,1.1961e-10,3.0373e-05,1.3019e-05,
19,2.1561,2.1407e-08,1.9858e-09,1.1039e-10,1.1936e-10,1.9858e-05,1.4248e-05,
20,2.1755,6.2421e-08,1.0175e-09,8.8449e-11,1.1929e-10,1.4935e-05,2.1311e-05,
21,2.196,8.6504e-09,9.4281e-10,4.7401e-11,1.1928e-10,2.0312e-05,1.119e-05,
22,2.2222,1.856e-09,1.1135e-09,7.1308e-11,1.1912e-10,3.5212e-05,1.3179e-05,
23,2.2418,1.9675e-08,7.6682e-10,3.7016e-11,1.1908e-10,3.5593e-05,3.7843e-05,
24,2.2632,8.3608e-09,3.6435e-10,1.8963e-11,1.1908e-10,2.4823e-05,1.0202e-05,
25,2.2835,9.3666e-10,1.1929e-10,1.2502e-11,1.1907e-10,1.1929e-05,1.8469e-05,
26,2.3055,3.0821e-09,7.2136e-11,5.3849e-12,1.1907e-10,1.0588e-05,1.2072e-05,
27,2.3278,3.9266e-10,5.0125e-11,4.8022e-12,1.1906e-10,1.0799e-05,1.4265e-05,
28,2.3505,4.5435e-10,3.8284e-11,3.2892e-12,1.1906e-10,1.2107e-05,9.6172e-06,
29,2.3714,1.1909e-10,6.773e-11,4.4048e-12,1.1905e-10,3.1437e-05,2.8824e-05,
30,2.3946,1.2594e-09,3.7631e-11,2.618e-12,1.1905e-10,2.5638e-05,1.4311e-05,
31,2.4183,1.2241e-10,2.0682e-11,1.702e-12,1.1905e-10,2.0682e-05,2.2875e-05,
32,2.4416,1.472e-10,1.5024e-11,1.1552e-12,1.1905e-10,1.5024e-05,1.0564e-05,
33,2.4629,3.8093e-11,3.3915e-11,2.863e-12,1.1905e-10,3.3915e-05,4.1556e-05,
34,2.4862,6.5216e-10,2.4857e-11,1.7895e-12,1.1904e-10,2.4857e-05,1.1854e-05,
35,2.5083,5.5363e-11,2.8944e-11,1.577e-12,1.1904e-10,2.8944e-05,1.3643e-05,
36,2.5302,3.6149e-10,1.4789e-11,1.1109e-12,1.1904e-10,1.4789e-05,1.2152e-05,
37,2.5522,1.019e-10,1.5134e-11,8.0736e-13,1.1904e-10,1.5134e-05,9.2584e-06,
38,2.572,4.6927e-11,3.7489e-11,2.6657e-12,1.1903e-10,3.7489e-05,4.0134e-05,
39,2.5957,1.1346e-09,2.382e-11,1.3552e-12,1.1903e-10,2.382e-05,1.3189e-05,
40,2.618,6.0521e-11,3.6919e-11,2.7313e-12,1.1903e-10,3.6919e-05,3.8212e-05,
41,2.6423,3.9132e-10,3.0702e-11,1.6649e-12,1.1903e-10,3.0702e-05,1.2803e-05,
42,2.6705,5.599e-11,3.7142e-11,1.7034e-12,1.1903e-10,3.7142e-05,3.9218e-05,
43,2.7008,3.7868e-10,1.909e-11,7.9174e-13,1.1903e-10,1.909e-05,1.1914e-05,
44,2.7252,5.3465e-11,3.1632e-11,1.9407e-12,1.1902e-10,3.1632e-05,2.8985e-05,
45,2.7487,3.6318e-10,2.6393e-11,1.2931e-12,1.1902e-10,2.6393e-05,1.0763e-05,
46,2.7697,4.2891e-11,4.004e-11,3.2332e-12,1.1902e-10,4.004e-05,5.3314e-05,
47,2.7933,6.4409e-10,2.8092e-11,1.1316e-12,1.1902e-10,2.8092e-05,1.4788e-05,
48,2.8157,7.3173e-11,1.8406e-11,1.2243e-12,1.1901e-10,1.8406e-05,1.1492e-05,
49,2.8391,2.2541e-10,1.781e-11,8.8096e-13,1.1901e-10,1.781e-05,9.3059e-06,
50,2.8617,4.6991e-11,4.686e-11,3.0059e-12,1.19e-10,4.686e-05,5.2282e-05,
51,2.885,1.1394e-09,2.8127e-11,1.3145e-12,1.19e-10,2.8127e-05,1.5025e-05,
52,2.9071,7.2771e-11,5.2262e-11,3.3204e-12,1.19e-10,5.2262e-05,5.7197e-05,
53,2.9306,4.322e-10,3.6784e-11,1.8062e-12,1.19e-10,3.6784e-05,1.4012e-05,
54,2.9524,7.2001e-11,3.6322e-11,2.1747e-12,1.19e-10,3.6322e-05,4.0862e-05,
55,2.9755,4.0328e-10,1.7693e-11,8.7055e-13,1.19e-10,1.7693e-05,1.1818e-05,
56,2.9989,5.5393e-11,3.5564e-11,2.4456e-12,1.1899e-10,3.5564e-05,3.195e-05,
57,3.0223,3.5986e-10,2.97e-11,1.4696e-12,1.1899e-10,2.97e-05,1.1765e-05,
58,3.0445,4.9095e-11,2.5905e-11,1.3381e-12,1.1899e-10,2.5905e-05,1.6268e-05,
59,3.0671,3.5516e-10,1.6094e-11,8.0299e-13,1.1899e-10,1.6094e-05,1.1466e-05,
60,3.0887,6.593e-11,1.6424e-11,1.182e-12,1.1899e-10,1.6424e-05,1.7917e-05,
61,3.1118,1.7862e-10,1.5861e-11,8.2096e-13,1.1899e-10,1.5861e-05,9.1556e-06,
62,3.1301,3.087e-11,1.6959e-10,9.4776e-12,1.1891e-10,0.00016959,0.0001843,
63,3.1538,8.9516e-09,1.5233e-11,1.1214e-12,1.1891e-10,1.5233e-05,1.8199e-05,
64,3.1765,2.3928e-10,9.2822e-12,8.2878e-13,1.1891e-10,9.2822e-06,1.3342e-05,
65,3.1991,6.4355e-11,9.1042e-12,6.7034e-13,1.1891e-10,9.1042e-06,9.2814e-06,
66,3.2189,4.7251e-11,6.022e-11,3.4583e-12,1.189e-10,6.022e-05,5.4871e-05,
67,3.2419,1.1358e-09,4.0001e-11,1.8489e-12,1.189e-10,4.0001e-05,1.4222e-05,
68,3.2641,7.5298e-11,1.8167e-11,9.9852e-13,1.189e-10,1.8167e-05,2.0844e-05,
69,3.2875,2.2171e-10,9.104e-12,6.7061e-13,1.189e-10,9.104e-06,9.2917e-06,
70,3.3075,3.3467e-11,9.5597e-11,5.835e-12,1.1887e-10,9.5597e-05,6.2739e-05,
71,3.3302,2.2676e-09,7.1661e-11,3.4686e-12,1.1888e-10,7.1661e-05,2.7228e-05,
72,3.3521,1.1473e-10,3.4015e-11,1.5446e-12,1.1887e-10,3.4015e-05,3.6095e-05,
73,3.3753,4.0448e-10,1.2578e-11,7.0079e-13,1.1887e-10,1.2578e-05,1.0444e-05,
74,3.3965,4.7451e-11,4.6903e-11,3.6887e-12,1.1887e-10,4.6903e-05,4.6506e-05,
75,3.4193,6.3163e-10,3.9809e-11,1.9781e-12,1.1887e-10,3.9809e-05,1.5775e-05,
76,3.4406,7.3147e-11,4.7116e-11,1.8919e-12,1.1887e-10,4.7116e-05,4.996e-05,
77,3.4636,2.4415e-10,9.9868e-12,7.3045e-13,1.1887e-10,9.9868e-06,9.5163e-06,
78,3.4845,5.7272e-11,3.0781e-11,2.6952e-12,1.1886e-10,3.0781e-05,3.7136e-05,
79,3.5082,5.8604e-10,2.5101e-11,1.3641e-12,1.1886e-10,2.5101e-05,1.2182e-05,
80,3.5293,5.8745e-11,3.1777e-11,1.3507e-12,1.1886e-10,3.1777e-05,3.1148e-05,
81,3.5524,1.8859e-10,1.1498e-11,7.3627e-13,1.1886e-10,1.1498e-05,9.5888e-06,
82,3.5728,4.2457e-11,4.5736e-11,3.3119e-12,1.1885e-10,4.5736e-05,6.2602e-05,
83,3.5979,5.934e-10,1.738e-11,1.0304e-12,1.1885e-10,1.738e-05,1.1062e-05,
84,3.6198,7.6774e-11,1.5683e-11,8.7165e-13,1.1885e-10,1.5683e-05,1.0796e-05,
85,3.642,8.7659e-11,1.4265e-11,7.496e-13,1.1885e-10,1.4265e-05,9.0748e-06,
86,3.6602,4.4804e-11,1.0666e-10,7.9791e-12,1.1877e-10,0.00010666,0.00011149,
87,3.6838,8.8632e-09,6.9488e-11,3.7593e-12,1.1877e-10,6.9488e-05,3.6077e-05,
88,3.7061,1.7559e-10,7.6923e-11,3.2712e-12,1.1877e-10,7.6923e-05,7.0617e-05,
89,3.7289,4.9933e-10,2.9624e-11,1.7282e-12,1.1877e-10,2.9624e-05,1.4478e-05,
90,3.7502,9.0453e-11,4.3566e-11,2.2633e-12,1.1877e-10,4.3566e-05,5.4105e-05,
91,3.7734,2.0752e-10,1.0278e-11,6.5371e-13,1.1877e-10,1.0278e-05,9.4812e-06,
92,3.7944,6.1942e-11,1.8797e-11,1.1364e-12,1.1877e-10,1.8797e-05,1.5093e-05,
93,3.8173,2.9184e-10,1.5064e-11,8.2254e-13,1.1877e-10,1.5064e-05,9.5432e-06,
94,3.8385,5.3447e-11,1.1707e-11,6.858e-13,1.1877e-10,1.1707e-05,9.3823e-06,
95,3.8592,1.4837e-10,1.6849e-11,1.1511e-12,1.1876e-10,1.6849e-05,1.5113e-05,
96,3.8829,2.9032e-10,1.3821e-11,7.5401e-13,1.1876e-10,1.3821e-05,9.4065e-06,
97,3.9043,5.322e-11,1.2053e-11,7.0958e-13,1.1876e-10,1.2053e-05,9.286e-06,
98,3.9249,1.4793e-10,3.5965e-11,1.967e-12,1.1876e-10,3.5965e-05,3.1802e-05,
99,3.9478,5.7073e-10,1.6401e-11,1.0811e-12,1.1876e-10,1.6401e-05,1.1496e-05,
100,3.9706,5.3136e-11,3.2843e-11,1.6251e-12,1.1875e-10,3.2843e-05,4.0229e-05,
101,3.9975,1.7968e-10,1.1755e-11,7.4163e-13,1.1875e-10,1.1755e-05,9.3934e-06,
102,4.0185,4.877e-11,5.7788e-11,3.0917e-12,1.1874e-10,5.7788e-05,7.6497e-05,
103,4.0418,1.1452e-09,1.4752e-11,8.6048e-13,1.1874e-10,1.4752e-05,1.1092e-05,
104,4.0641,9.1449e-11,1.232e-11,7.5126e-13,1.1874e-10,1.232e-05,9.9579e-06,
105,4.0865,8.282e-11,1.3319e-11,7.2724e-13,1.1874e-10,1.3319e-05,9.1802e-06,
106,4.1069,7.9326e-11,2.0743e-11,9.0588e-13,1.1874e-10,2.0743e-05,1.4437e-05,
107,4.1292,5.6325e-10,1.235e-11,7.6495e-13,1.1874e-10,1.235e-05,9.6261e-06,
108,4.1503,5.3801e-11,1.4051e-11,7.0263e-13,1.1874e-10,1.4051e-05,9.2994e-06,
109,4.1708,1.478e-10,3.9813e-11,1.6496e-12,1.1873e-10,3.9813e-05,3.2288e-05,
110,4.1947,5.7115e-10,1.8292e-11,9.0127e-13,1.1873e-10,1.8292e-05,1.1481e-05,
111,4.2162,5.3771e-11,3.981e-11,1.6487e-12,1.1873e-10,3.981e-05,3.9496e-05,
112,4.2387,1.7795e-10,1.4357e-11,7.2722e-13,1.1873e-10,1.4357e-05,9.5893e-06,
113,4.259,4.9229e-11,5.137e-11,2.9841e-12,1.1872e-10,5.137e-05,6.4562e-05,
114,4.2821,5.8745e-10,1.8854e-11,8.8952e-13,1.1872e-10,1.8854e-05,1.2199e-05,
115,4.3039,8.421e-11,1.4299e-11,9.4269e-13,1.1872e-10,1.4299e-05,1.3915e-05,
116,4.3267,9.3354e-11,1.3581e-11,6.9214e-13,1.1872e-10,1.3581e-05,9.1459e-06,
117,4.3459,2.9258e-11,8.2934e-11,4.9212e-12,1.187e-10,8.2934e-05,0.00011524,
