"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.1918,4.694,5.911e-05,NaN,NaN,NaN,NaN,1,5.5202,2.4495e-09,2.3491e-10,
1,0.11275,0.32057,0.050133,0.1853,0,1.2044,1,1,0.36079,0.018861,0.0018993,
2,0.06428,0.20298,0.099383,0.16677,0,0.92261,1,1,0.2174,0.042916,0.003122,
3,0.020607,0.13954,0.14678,0.4783,0,2.2116,1,1,0.1512,0.037433,0.0030839,
4,0.0051908,0.085189,0.19395,0.43047,0,1.5086,1,1,0.10452,0.046826,0.0033599,
5,0.0029387,0.076863,0.23795,0.729,0,0.84584,1,1,0.088355,0.023891,0.0029529,
6,0.0028837,0.067974,0.29127,0.12158,0,0.47792,1,1,0.081872,0.034087,0.0028756,
7,0.001466,0.050159,0.33688,0.53144,0,1.3927,1,1,0.070131,0.032756,0.0028847,
8,0.0010065,0.037474,0.38288,0.6561,0,0.89467,1,1,0.055475,0.026608,0.002491,
9,5.8468e-06,0.003517,0.43202,1,0,0.40385,1,1,0.0045108,0.0018165,0.00018327,
10,4.8461e-07,0.00086592,0.47807,1,0,0.13918,1,1,0.0011456,0.00056879,4.5411e-05,
11,3.8132e-11,8.1549e-06,0.52347,1,0,0.021254,1,1,9.3532e-06,4.4389e-06,1.7741e-07,
12,7.0695e-13,1.1531e-06,0.56829,1,0,0.015363,1,1,1.291e-06,5.5673e-07,2.5015e-08,
13,8.9531e-14,4.2292e-07,0.61246,1,0,0.0088943,1,1,4.521e-07,1.5285e-07,6.8863e-09,
