"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,1.3216,0.11479,0,0.99715,3.9455,
1,0.030012,4.4404,0.095558,0.0070428,0,0.69087,0.88721,
2,0.041767,4.4404,0.077312,0.0053386,0,0.75026,0.69648,
3,0.055279,0.14409,0.06191,0.0040697,0,0.8001,0.65713,
4,0.072226,0.12535,0.053007,0.0026396,0,0.85879,0.42489,
5,0.08711,0.13083,0.054697,0.0022924,0,0.93043,0.46333,
6,0.11525,0.035736,0.048306,0.0011295,0,0.95681,0.26361,
7,0.12141,0.30061,0.048306,0.0011295,0,0.97924,0.33978,
8,0.1372,0,0.048193,0.001009,0,0.99015,0.29089,
9,0.20138,0.011124,0.0091122,0.00032598,0,0.89106,0.25936,
10,0.21834,0.4589,0.010529,0.00026176,0,0.95773,0.24327,
11,0.24421,0.007887,0.011951,0.00021454,0,0.98414,0.20187,
12,0.26168,0.0099214,0.011736,0.00020365,0,0.99227,0.14653,
13,0.37365,0.0012794,0.00011414,8.208e-06,0,0.1134,0.077436,
14,0.37949,0.15995,0.00011414,8.208e-06,0,0.16523,0.11343,
15,0.3977,0,9.8017e-05,5.3902e-06,0,0.20661,0.10023,
16,0.41948,0.00024907,2.7417e-05,1.8379e-06,0,0.086377,0.061847,
17,0.4365,0.00071277,2.506e-05,1.4239e-06,0,0.11554,0.066661,
18,0.45614,4.4265e-05,2.5066e-05,1.13e-06,0,0.16833,0.044136,
19,0.47584,3.3028e-05,2.445e-05,8.6249e-07,0,0.23751,0.048702,
20,0.49639,3.3184e-05,2.4312e-05,8.0218e-07,0,0.33609,0.050352,
21,0.54281,1.4533e-05,3.189e-06,1.8498e-07,0,0.068544,0.040844,
22,0.56495,0.00038271,2.6529e-06,1.2803e-07,0,0.083599,0.02924,
23,0.58873,4.5344e-06,2.215e-06,7.7524e-08,0,0.10227,0.018577,
24,0.59456,6.2482e-06,2.215e-06,7.7524e-08,0,0.14922,0.027151,
25,0.63199,0,7.0726e-07,2.2445e-08,0,0.070549,0.017924,
26,0.6558,3.034e-05,6.9759e-07,2.0285e-08,0,0.10186,0.013808,
27,0.68141,3.8199e-07,6.4626e-07,1.7455e-08,0,0.1379,0.013464,
28,0.72092,9.5988e-07,1.575e-07,8.6027e-09,0,0.049744,0.015398,
29,0.75655,8.3144e-06,9.6929e-08,4.4018e-09,0,0.044945,0.0091133,
30,0.79555,1.2975e-06,5.6502e-08,2.7471e-09,0,0.038466,0.0098373,
