"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,1.3379e-08,4.5904e-10,2.1544,1.3379e-07,1.5184,
1,0.28466,3.8517,0.0022521,8.345e-05,0.0015741,0.022516,0.0037099,
2,0.70861,3.8517,0.00142,5.905e-05,0.001477,0.020838,0.0024359,
3,1.6359,0.84959,0.00092076,3.4271e-05,0.0014285,0.019833,0.0017654,
4,2.2032,2.5987,0.00068176,2.828e-05,0.0014183,0.021554,0.0011778,
5,3.1298,0.16426,0.00051345,2.0602e-05,0.0014255,0.023826,0.0011998,
6,4.0431,0.36835,0.00032525,1.369e-05,0.0014257,0.022154,0.0015552,
7,4.9726,0.79638,0.0002215,8.9809e-06,0.0014307,0.022145,0.00087677,
8,5.8647,0.064131,0.00014263,6.0814e-06,0.0014346,0.02093,0.00058667,
9,6.8197,0.084002,0.00010798,4.3249e-06,0.0014367,0.023257,0.00024838,
10,7.7367,0.036696,7.2169e-05,3.0437e-06,0.0014387,0.022816,0.0015329,
11,8.6969,0.036524,5.0149e-05,2.0157e-06,0.00144,0.023271,0.00014452,
12,9.6061,0.016096,3.5398e-05,1.3934e-06,0.0014409,0.024109,0.00017043,
13,10.5205,0.014617,2.3378e-05,9.4333e-07,0.0014415,0.023372,9.339e-05,
14,11.4369,0.0099177,1.5663e-05,6.4466e-07,0.0014419,0.022984,0.000997,
15,12.3462,0.013867,1.0744e-05,4.3953e-07,0.0014421,0.023141,0.00044116,
16,13.2949,0.0070836,7.4967e-06,2.9928e-07,0.0014423,0.0237,0.000252,
17,14.2113,0.011136,4.9477e-06,2.0234e-07,0.0014424,0.022959,0.00037402,
18,15.1421,0.0055222,3.5198e-06,1.3963e-07,0.0014424,0.023973,0.00014816,
19,16.0673,0.0059037,2.3191e-06,9.3191e-08,0.0014425,0.023185,0.00012965,
20,16.9866,0.0049805,1.5565e-06,6.3254e-08,0.0014425,0.02284,0.00067815,
21,17.921,0.00392,1.0709e-06,4.343e-08,0.0014425,0.023066,0.00015253,
22,17.9616,0.0028872,7.3333e-07,2.9588e-08,0.0014425,0.023184,2.9409e-05,
23,18.0055,3.2792e-06,4.9981e-07,2.0171e-08,0.0014425,0.023193,2.9418e-05,
24,18.0484,2.2515e-06,3.4051e-07,1.3738e-08,0.0014425,0.023193,2.9477e-05,
25,18.0915,1.5356e-06,2.3207e-07,9.3655e-09,0.0014425,0.023201,3.107e-05,
