"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,4.0013e-08,2.5843e-09,2.6294,0.49343,2.6469,
1,1.5581,5.1844,0.055852,0.0040702,0.056511,0.50688,0.12081,
2,2.0081,5.1844,0.055631,0.0035332,0.051671,0.67319,0.10278,
3,2.4888,0.66555,0.056111,0.0032154,0.055261,0.83634,0.096961,
4,3.1224,0.23867,0.06009,0.0029558,0.06015,0.95626,0.094937,
5,3.8364,0.17883,0.066625,0.0027395,0.063777,0.99589,0.095864,
6,4.7362,0.12545,0.071715,0.0025602,0.066528,0.99989,0.098358,
7,5.9019,0.06316,0.074882,0.0024187,0.068788,1,0.10252,
8,7.3172,0.042971,0.076914,0.0023175,0.070553,1,0.1069,
9,8.925,0.030459,0.078241,0.0022468,0.07188,1,0.11049,
10,10.4901,0.021064,0.079117,0.0021977,0.072852,1,0.11319,
11,12.0639,0.01464,0.079699,0.0021638,0.073549,1,0.11515,
12,13.6043,0.010104,0.080093,0.0021405,0.074042,1,0.11654,
13,15.1533,0.0070088,0.080355,0.0021245,0.074386,1,0.1175,
14,16.7499,0.0047135,0.080536,0.0021135,0.074624,1,0.11818,
15,18.3478,0.0032602,0.080655,0.002106,0.074786,1,0.11864,
16,19.929,0.0024923,0.080737,0.0021009,0.074899,1,0.11896,
17,21.5203,0.0014478,0.080793,0.0020974,0.074977,1,0.11918,
18,23.1136,0.0010788,0.08083,0.002095,0.075028,1,0.11933,
19,24.7146,0.00084895,0.080855,0.0020934,0.075064,1,0.11943,
20,26.3255,0.00046946,0.080873,0.0020922,0.07509,0.94898,0.1195,
21,27.071,0.00031763,0.080885,0.0020915,0.075108,0.94898,0.11954,
22,27.3496,0.00020503,0.080893,0.002091,0.075118,0.949,0.11958,
23,27.6207,0.00013461,0.080899,0.0020906,0.075125,0.94903,0.1196,
24,27.8999,9.1724e-05,0.080903,0.0020904,0.07513,0.94903,0.11961,
25,28.155,6.2499e-05,0.080905,0.0020902,0.075133,0.94905,0.11962,
26,28.4196,4.2583e-05,0.080907,0.0020901,0.075135,0.94904,0.11963,
27,28.6365,2.9014e-05,0.080909,0.00209,0.075136,0.94838,0.11964,
28,28.8806,1.9768e-05,0.080909,0.00209,0.075137,0.94852,0.11964,
29,29.0977,1.3469e-05,0.08091,0.0020899,0.075138,0.94838,0.11964,
30,29.3268,9.1763e-06,0.08091,0.0020899,0.075139,0.9484,0.11964,
31,29.5436,6.2499e-06,0.080911,0.0020899,0.075139,0.94836,0.11965,
32,29.5808,4.2592e-06,0.080911,0.0020899,0.075139,0.9484,0.11965,
33,29.6174,1.7399e-09,0.080911,0.0020899,0.075139,0.94847,0.11964,
34,29.6537,2.5093e-09,0.080911,0.0020899,0.075139,0.94854,0.11964,
35,29.6899,2.2633e-09,0.080911,0.0020899,0.075139,0.94859,0.11964,
36,29.7262,2.0028e-09,0.080911,0.0020899,0.075139,0.94864,0.11964,
37,29.7633,1.8208e-09,0.080911,0.0020899,0.075139,0.94866,0.11964,
38,29.7989,9.3307e-10,0.080911,0.0020899,0.075139,0.94874,0.11964,
39,29.8375,2.8221e-09,0.080911,0.0020899,0.075139,0.94875,0.11964,
40,29.877,4.6507e-10,0.080911,0.0020899,0.075139,0.94922,0.11964,
41,29.9116,1.7598e-08,0.080911,0.0020899,0.075139,0.94918,0.11964,
42,29.9488,1.6242e-09,0.080911,0.0020899,0.075139,0.94918,0.11964,
43,29.9827,2.5332e-10,0.080911,0.0020899,0.075139,0.94899,0.11964,
44,30.02,9.2226e-09,0.080911,0.0020899,0.075139,0.94899,0.11964,
45,30.0586,3.6248e-10,0.080911,0.0020899,0.075139,0.94917,0.11964,
46,30.0949,1.5338e-08,0.080911,0.0020899,0.075139,0.94916,0.11964,
47,30.1281,6.5816e-10,0.080911,0.0020899,0.075139,0.94906,0.11965,
48,30.1655,7.4936e-09,0.080911,0.0020899,0.075139,0.94906,0.11964,
49,30.1995,9.758e-10,0.080911,0.0020899,0.075139,0.94906,0.11964,
50,30.2367,3.6021e-09,0.080911,0.0020899,0.075139,0.94906,0.11964,
51,30.2708,2.4563e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
52,30.3078,3.5434e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
53,30.3442,3.4958e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
54,30.3815,1.1732e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
55,30.4147,2.597e-10,0.080911,0.0020899,0.075139,0.94905,0.11965,
56,30.4525,6.2597e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
57,30.4872,5.9054e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
58,30.5246,1.0814e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
59,30.557,2.6612e-10,0.080911,0.0020899,0.075139,0.94905,0.11965,
60,30.5943,6.222e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
61,30.6302,5.27e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
62,30.667,5.5062e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
63,30.7041,1.7267e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
64,30.7397,1.6893e-08,0.080911,0.0020899,0.075139,0.94905,0.11965,
65,30.7767,1.5504e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
66,30.8125,4.3874e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
67,30.8509,2.6328e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
68,30.8848,1.8815e-10,0.080911,0.0020899,0.075139,0.94905,0.11965,
69,30.9229,6.4599e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
70,30.9586,4.9973e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
71,30.9977,1.4059e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
72,31.0339,2.774e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
73,31.073,3.1933e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
74,31.1089,2.8662e-10,0.080911,0.0020899,0.075139,0.94905,0.11964,
75,31.1473,1.8918e-09,0.080911,0.0020899,0.075139,0.94905,0.11964,
