"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,1.0137,8.5123,2.8164e-05,NaN,NaN,NaN,NaN,1,9.5458,4.9907e-09,3.406e-10,
1,0.13784,0.57575,0.19143,0.6561,0,2.6506,1,1,0.60626,0.095868,0.0047992,
2,0.022788,0.34181,0.37971,1,0,2.3201,1,3.8779,0.41352,0.19551,0.0044878,
3,0.032437,0.11939,0.56326,0.9,0,2.911,1,3.8779,0.24343,0.17181,0.0041483,
4,0.019521,0.08546,0.74727,0.729,0,6.4043,1,3.8779,0.20626,0.17608,0.0038666,
5,0.0069967,0.072267,0.94867,0.59049,0,3.4854,1,3.8779,0.23774,0.2205,0.0035761,
6,0.026832,0.15106,1.1421,0.81,0,5.1637,1,3.8779,0.21779,0.13307,0.0034027,
7,0.017789,0.14085,1.3431,0.4783,0,3.2748,1,3.8779,0.19172,0.10067,0.0030939,
8,0.010362,0.08813,1.5435,0.81,0,3.9121,1,3.8779,0.13033,0.066894,0.0028911,
9,0.0042256,0.05264,1.7381,0.38742,0,1.4498,1,3.8779,0.10826,0.065503,0.002742,
10,0.0040275,0.065619,1.9313,0.9,0,4.6019,1,3.8779,0.11058,0.066408,0.0024722,
11,0.00042423,0.018495,2.1212,1,0,1.8035,1,3.8779,0.023489,0.0086874,0.00039063,
12,0.00043541,0.014674,2.3225,0.81,0,1.6348,1,3.8779,0.019974,0.009954,0.00033636,
13,6.0362e-05,0.0053066,2.5146,1,0,1.2585,1,3.8779,0.010776,0.0077696,0.00018567,
14,8.7903e-05,0.006132,2.702,1,0,0.45415,1,3.8779,0.0067978,0.0015847,9.1086e-05,
15,0.00014673,0.0090565,2.8935,1,0,0.81013,1,3.8779,0.010072,0.0039229,8.6802e-05,
16,4.1105e-05,0.0043917,3.0812,0.6561,0,0.45716,1,3.8779,0.0057434,0.0033953,8.1544e-05,
17,4.5683e-05,0.0052903,3.2719,1,0,0.51664,1,3.8779,0.0056422,0.0012506,5.0561e-05,
18,3.4818e-06,0.0011524,3.4565,1,0,0.2248,1,3.8779,0.0013971,0.00074264,1.6056e-05,
19,8.851e-07,0.00016262,3.6399,1,0,0.10129,1,3.8779,0.00026584,9.9981e-05,7.5877e-06,
20,7.9041e-07,2.0876e-05,3.8295,1,0,0.029814,1,3.8779,2.5038e-05,8.0593e-06,4.3528e-07,
21,7.8467e-07,7.2743e-06,4.0212,1,0,0.026329,1,3.8779,1.4981e-05,1.1288e-05,2.7098e-07,
22,7.7993e-07,4.4502e-06,4.2067,1,0,0.022332,1,3.8779,1.1281e-05,8.9047e-06,2.1308e-07,
23,7.7594e-07,3.2271e-06,4.3943,1,0,0.018413,1,3.8779,7.5247e-06,5.9987e-06,1.3761e-07,
24,7.7276e-07,2.2782e-06,4.5832,1,0,0.014429,1,3.8779,4.5844e-06,3.6446e-06,7.8479e-08,
