"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,7.8008e-09,8.7103e-10,1.7198,1,6.012,5.8238,
1,1.0878,12.9651,3.3333,0.5559,0.060596,1.3954,0.97716,1.5447,0.025843,
2,2.4374,12.9651,3.3333,0.20248,0.020708,0.12153,0.2655,0.46414,0.0002721,
3,2.7954,6.986,3.3333,0.055053,0.0052162,0.0081123,0.081988,0.11737,0.00013423,
4,2.9433,1.3397,3.3333,0.016177,0.0012869,0.00066899,0.030146,0.030251,4.1818e-05,
5,3.0917,0.20008,3.3333,0.0051465,0.0003291,8.6278e-05,0.013387,0.0087438,1.3271e-05,
6,3.2461,0.060245,3.3333,0.001986,0.00010246,1.9816e-05,0.0067673,0.0029412,5.7694e-06,
7,3.5545,0.021598,3.3333,0.00080332,3.4575e-05,8.0526e-06,0.0040896,0.0011133,1.8939e-06,
8,4.8202,0.01951,3.3333,0.000289,1.3572e-05,4.3858e-06,0.0031263,0.00048572,0.00014663,
9,6.1275,0.80934,11.1111,0.00026174,1.0403e-05,2.4322e-06,0.0024516,0.00037266,0.00012176,
10,7.4285,0.91414,11.1111,7.0162e-05,3.0452e-06,1.2108e-06,0.001672,0.00018589,0.00015747,
11,8.733,0.45498,37.037,6.2132e-05,2.2497e-06,5.9653e-07,0.00098166,0.00013545,0.00011267,
12,10.03,0.46856,37.037,1.1056e-05,5.461e-07,3.9498e-07,0.00057217,0.00010231,0.00010085,
13,11.3303,0.19733,37.037,6.8841e-06,3.7564e-07,3.0335e-07,0.0003172,7.7472e-05,7.667e-05,
14,12.549,0.16972,37.037,2.903e-06,1.9764e-07,2.8725e-07,0.00027731,3.435e-05,3.3928e-05,
15,13.759,0.052773,123.4568,3.095e-06,1.3858e-07,2.6875e-07,0.00025666,2.4689e-05,2.4347e-05,
16,14.9594,0.080195,123.4568,1.1892e-06,4.9343e-08,2.629e-07,0.00025773,5.185e-05,5.1824e-05,
17,16.2059,0.04583,123.4568,4.6046e-07,3.1813e-08,2.6161e-07,0.00027725,2.9445e-05,2.9433e-05,
18,17.4322,0.011937,411.5226,4.8502e-07,2.5413e-08,2.6038e-07,0.00028345,3.5699e-05,3.5692e-05,
19,17.9453,0.018288,411.5226,7.8651e-08,6.929e-09,2.6031e-07,0.00026701,2.6587e-07,2.0709e-07,
20,17.9861,3.0549e-05,411.5226,2.7726e-09,1.6197e-10,2.603e-07,0.00026653,6.0107e-07,6.0106e-07,
