"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,4.047e-08,3.7406e-09,0.79666,4.047e-07,1.1587,
1,0.10393,1.872,8.0939e-05,1.0744e-05,3.6836e-07,0.00080939,0.00087832,
2,0.13135,1.872,3.4774e-05,3.5886e-06,4.4756e-08,0.00051042,0.00028735,
3,0.16315,0.0011728,1.6219e-05,1.6152e-06,2.3536e-08,0.00034942,0.00012442,
4,0.27444,0.00037614,1.2468e-06,2.3743e-07,6.4672e-10,3.9428e-05,3.433e-05,
5,0.31762,0.001117,3.9289e-07,4.7938e-08,7.2425e-11,1.8237e-05,8.8556e-06,
6,0.33205,5.9116e-05,3.3336e-07,3.2407e-08,6.9425e-11,2.2712e-05,6.8037e-06,
7,0.51073,9.0628e-07,1.096e-08,1.3423e-09,6.6376e-13,1.096e-06,8.4422e-07,
8,0.53892,6.0775e-05,3.7304e-09,5.4091e-10,1.227e-13,5.4755e-07,6.9848e-07,
9,0.55197,1.3657e-06,3.2687e-09,3.1823e-10,1.2045e-13,7.0423e-07,4.3823e-07,
10,0.5678,7.3849e-09,3.2544e-09,4.3953e-10,1.0295e-13,1.0291e-06,5.6905e-07,
11,0.58226,5.4782e-08,2.2896e-09,2.6073e-10,1.0306e-13,1.0627e-06,4.9421e-07,
12,0.59634,6.5261e-09,1.8312e-09,1.833e-10,1.0296e-13,1.2476e-06,4.4389e-07,
13,0.60879,2.9933e-09,1.9853e-09,1.5871e-10,1.0251e-13,1.9853e-06,2.16e-06,
14,0.62361,9.6474e-09,4.7202e-10,6.5711e-11,1.0225e-13,6.9283e-07,4.252e-07,
15,0.63678,2.2685e-09,4.7702e-10,7.3e-11,1.0114e-13,1.0277e-06,1.1132e-06,
16,0.65227,3.8811e-09,2.8352e-10,3.7398e-11,1.0118e-13,8.9655e-07,6.9494e-07,
17,0.6682,1.0629e-09,2.5532e-10,2.4777e-11,1.0115e-13,1.1851e-06,3.73e-07,
18,0.68257,3.5815e-10,1.9717e-10,2.4328e-11,1.0106e-13,1.3433e-06,1.4892e-06,
19,0.69933,1.0597e-09,1.131e-10,1.3338e-11,1.0104e-13,1.131e-06,4.0152e-07,
20,0.71498,2.3978e-10,8.4147e-11,1.0118e-11,1.0095e-13,1.2351e-06,5.3647e-07,
21,0.7319,5.2475e-10,7.8201e-11,8.3222e-12,1.0095e-13,1.6848e-06,4.7313e-07,
22,0.74826,9.6916e-11,6.4827e-11,6.4981e-12,1.0094e-13,2.05e-06,5.6739e-07,
23,0.76495,1.6218e-10,5.6839e-11,5.5008e-12,1.0093e-13,2.6382e-06,5.9361e-07,
24,0.78173,9.3491e-11,3.778e-11,4.0582e-12,1.0092e-13,2.5739e-06,1.4733e-06,
25,0.80045,2.0908e-10,3.6127e-11,3.1323e-12,1.0092e-13,3.6127e-06,7.1625e-07,
26,0.81743,2.7588e-11,1.467e-11,2.05e-12,1.0089e-13,2.1533e-06,2.0549e-06,
27,0.83744,4.8631e-10,1.3109e-11,1.4066e-12,1.0089e-13,2.8243e-06,7.8941e-07,
28,0.85565,2.1725e-11,1.079e-11,9.6145e-13,1.0088e-13,3.412e-06,1.0533e-06,
29,0.87493,3.3561e-11,9.9149e-12,8.2118e-13,1.0088e-13,4.6021e-06,9.2491e-07,
30,0.89359,1.0075e-11,2.6155e-12,3.9491e-13,1.0087e-13,1.7819e-06,2.0535e-06,
31,0.9146,7.9073e-11,1.5843e-12,1.9666e-13,1.0087e-13,1.5843e-06,7.0483e-07,
32,0.9346,4.7051e-12,1.3418e-12,1.4546e-13,1.0087e-13,1.3418e-06,4.8945e-07,
33,0.95442,2.8749e-12,1.02e-12,1.2301e-13,1.0087e-13,1.02e-06,4.158e-07,
34,0.9747,3.8408e-12,8.0967e-13,9.5611e-14,1.0087e-13,8.0967e-07,3.5088e-07,
35,0.99279,3.212e-12,4.5147e-13,7.3515e-14,1.0087e-13,4.5147e-07,5.2429e-07,
36,1.016,1.0912e-11,4.5702e-13,5.5415e-14,1.0087e-13,4.5702e-07,3.1408e-07,
37,1.0331,1.0379e-12,5.1682e-12,5.9312e-13,1.0082e-13,5.1682e-06,5.9594e-06,
38,1.0542,1.5356e-10,3.2395e-12,3.6977e-13,1.0082e-13,3.2395e-06,9.6487e-07,
39,1.0732,6.6905e-12,2.0132e-12,1.9668e-13,1.0082e-13,2.0132e-06,1.9794e-06,
