"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.010802,0.00019418,0.94514,0.5,1.9453,
1,0.23326,1.7514,0.058558,0.0024007,0.016326,0.52671,0.12236,
2,0.43454,1.7514,0.032047,0.001054,0.0051409,0.43851,0.061824,
3,0.72423,0.1174,0.01496,0.00041472,0.0010807,0.31159,0.029877,
4,1.0533,0.072361,0.0054817,0.00012792,0.00011898,0.17163,0.012891,
5,1.4306,0.039448,0.0013937,2.7805e-05,5.6268e-06,0.064601,0.0043902,
6,1.8284,0.015293,0.00020994,3.7549e-06,9.858e-08,0.014302,0.00096556,
7,2.2567,0.0037128,1.5466e-05,2.6366e-07,4.7739e-10,0.0015466,0.00010735,
8,2.6028,0.00052652,4.1668e-07,7.5303e-09,6.3322e-13,6.1161e-05,4.4464e-06,
9,2.8715,3.8221e-05,2.5918e-09,2.3503e-10,8.5994e-15,5.5838e-07,2.196e-07,
10,2.9142,1.5589e-06,2.2134e-09,1.7924e-10,8.2445e-15,6.9992e-07,3.4821e-07,
11,2.9588,8.2272e-09,1.9736e-09,1.4615e-10,8.0852e-15,9.1609e-07,3.0029e-07,
12,3.0011,3.6792e-09,1.5476e-09,1.1246e-10,7.8448e-15,1.0544e-06,4.0155e-07,
13,3.0458,6.7655e-09,1.3954e-09,9.5302e-11,7.7837e-15,1.3954e-06,3.7178e-07,
14,3.0903,2.0277e-09,1.0937e-09,7.9676e-11,7.6869e-15,1.6053e-06,5.7856e-07,
15,3.1372,4.3302e-09,1.0437e-09,7.1478e-11,7.671e-15,2.2486e-06,4.9203e-07,
16,3.1923,8.1358e-10,4.7802e-10,4.2283e-11,7.5385e-15,1.5116e-06,3.0279e-07,
17,3.2355,1.1806e-08,3.5658e-10,4.6718e-11,7.4575e-15,1.6551e-06,1.8999e-06,
18,3.2855,3.3632e-09,3.5092e-10,3.5628e-11,7.4572e-15,2.3908e-06,3.399e-07,
19,3.3304,4.3794e-10,3.0137e-10,3.6414e-11,7.4316e-15,3.0137e-06,1.8573e-06,
20,3.3813,1.9387e-09,3.1387e-10,3.1117e-11,7.4336e-15,4.6069e-06,5.6161e-07,
21,3.4297,2.494e-10,3.0522e-10,3.007e-11,7.4319e-15,6.5758e-06,1.0393e-06,
22,3.4819,4.106e-10,3.0569e-10,2.9864e-11,7.4311e-15,9.6669e-06,9.4434e-07,
23,3.5268,1.0055e-10,2.5279e-10,2.9009e-11,7.4385e-15,1.1733e-05,5.8114e-06,
24,3.5809,2.7193e-09,2.6166e-10,2.6331e-11,7.439e-15,1.7827e-05,1.4961e-06,
25,3.6317,1.5875e-10,2.5152e-10,2.637e-11,7.4381e-15,2.5152e-05,6.6377e-06,
26,3.6879,2.7069e-10,2.5537e-10,2.56e-11,7.4383e-15,3.7483e-05,2.1513e-06,
27,3.7364,7.4666e-11,2.341e-10,2.7256e-11,7.4399e-15,5.0436e-05,2.6793e-05,
28,3.7943,1.5387e-09,2.3656e-10,2.467e-11,7.4403e-15,7.4806e-05,4.2472e-06,
29,3.8474,1.4403e-10,2.2756e-10,2.4873e-11,7.439e-15,0.00010563,1.4881e-05,
30,3.9054,1.9181e-10,2.3079e-10,2.462e-11,7.4389e-15,0.00015723,7.4152e-06,
31,3.9564,3.9965e-11,2.2145e-10,2.4437e-11,7.4333e-15,0.00022145,4.0933e-05,
32,4.0142,1.3378e-09,2.2031e-10,2.3757e-11,7.4334e-15,0.00022031,1.3962e-05,
33,4.0809,8.125e-11,2.193e-10,2.3571e-11,7.433e-15,0.0002193,1.0492e-05,
34,4.1396,5.6737e-11,2.1718e-10,2.3454e-11,7.4317e-15,0.00021718,1.1254e-05,
35,4.1979,1.6478e-10,2.1778e-10,2.3313e-11,7.4311e-15,0.00021778,1.0008e-05,
36,4.252,8.5801e-11,2.1286e-10,2.3445e-11,7.4292e-15,0.00021286,2.237e-05,
37,4.313,3.0873e-10,2.1499e-10,2.3152e-11,7.4288e-15,0.00021499,9.7648e-06,
38,4.368,4.0907e-11,2.1373e-10,2.2888e-11,7.4263e-15,0.00021373,1.9626e-05,
39,4.4264,3.0322e-10,2.1363e-10,2.2779e-11,7.4263e-15,0.00021363,9.5976e-06,
40,4.4787,3.7989e-11,2.0281e-10,2.3089e-11,7.4227e-15,0.00020281,3.8119e-05,
41,4.5367,5.8561e-10,2.0733e-10,2.2568e-11,7.4221e-15,0.00020733,1.0475e-05,
42,4.592,5.954e-11,2.0892e-10,2.2292e-11,7.4205e-15,0.00020892,2.3958e-05,
43,4.65,1.6144e-10,2.0915e-10,2.2173e-11,7.4204e-15,0.00020915,9.2884e-06,
44,4.7016,3.7877e-11,1.9435e-10,2.2511e-11,7.4165e-15,0.00019435,5.3301e-05,
45,4.7596,5.7528e-10,2.0119e-10,2.1962e-11,7.4161e-15,0.00020119,1.002e-05,
46,4.8124,6.3086e-11,2.0121e-10,2.1756e-11,7.4133e-15,0.00020121,3.3609e-05,
47,4.8707,3.0971e-10,2.0267e-10,2.1486e-11,7.4132e-15,0.00020267,8.7323e-06,
48,4.922,4.2213e-11,1.9272e-10,2.1254e-11,7.4055e-15,0.00019272,4.7061e-05,
49,4.9813,1.0823e-09,1.9508e-10,2.0853e-11,7.4052e-15,0.00019508,1.0935e-05,
50,5.0364,6.3994e-11,1.9201e-10,2.0838e-11,7.4034e-15,0.00019201,3.6004e-05,
51,5.0943,1.7252e-10,1.9416e-10,2.0522e-11,7.4032e-15,0.00019416,8.2686e-06,
52,5.1457,4.3141e-11,1.8251e-10,2.069e-11,7.3968e-15,0.00018251,3.2495e-05,
53,5.2022,1.0097e-09,1.8624e-10,2.004e-11,7.3957e-15,0.00018624,1.5257e-05,
54,5.2593,1.0968e-10,1.8705e-10,1.9919e-11,7.395e-15,0.00018705,9.836e-06,
55,5.3158,5.9852e-11,1.8661e-10,1.9836e-11,7.3941e-15,0.00018661,8.6468e-06,
56,5.371,7.6845e-11,1.8646e-10,1.9784e-11,7.3935e-15,0.00018646,7.4804e-06,
57,5.4252,6.5105e-11,1.4643e-10,1.1752e-11,7.3048e-15,0.00014643,2.8702e-05,
58,5.4819,1.95e-08,1.3388e-10,1.1499e-11,7.305e-15,0.00013388,2.4973e-05,
59,5.5414,1.0861e-10,1.3178e-10,1.1268e-11,7.3048e-15,0.00013178,5.8646e-06,
60,5.5954,3.1622e-11,1.2893e-10,1.1738e-11,7.3012e-15,0.00012893,3.483e-05,
61,5.6541,1.6363e-10,1.2753e-10,1.1297e-11,7.3008e-15,0.00012753,4.2837e-06,
62,5.7074,3.8591e-11,1.2718e-10,1.1331e-11,7.2972e-15,0.00012718,1.479e-05,
63,5.7661,1.3408e-10,1.2733e-10,1.1213e-11,7.2969e-15,0.00012733,4.132e-06,
64,5.8182,1.9574e-11,1.2736e-10,1.1658e-11,7.2906e-15,0.00012736,3.0551e-05,
