"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,1.0081,6.7727,3.0108e-05,NaN,NaN,NaN,NaN,1,7.211,5.3188e-08,2.0008e-09,
1,0.25814,0.81334,0.20958,0.34868,0,1.6018,1,1.6777,0.82901,0.095899,0.0040621,
2,0.035244,0.2363,0.41393,0.729,0,3.8276,1,1.6777,0.27041,0.080371,0.004884,
3,0.0090971,0.16461,0.61583,0.43047,0,2.0664,1,1.6777,0.19026,0.052982,0.0041056,
4,0.0041334,0.058668,0.80509,1,0,1.1202,1,1.6777,0.10666,0.058142,0.0032574,
5,0.0023791,0.04531,0.99985,0.31381,0,1.0009,1,1.6777,0.081122,0.040567,0.0030268,
6,0.0025401,0.050032,1.1935,0.34868,0,0.92505,1,1.6777,0.083877,0.046207,0.0028329,
7,0.0036446,0.053953,1.3829,0.4783,0,0.97625,1,1.6777,0.082201,0.040428,0.0024851,
8,0.011626,0.11983,1.5764,0.81,0,1.3735,1,1.6777,0.13309,0.04118,0.0022275,
9,0.0019686,0.048775,1.7654,0.6561,0,1.5102,1,1.6777,0.075374,0.040348,0.00219,
10,0.005478,0.072616,1.9565,0.81,0,1.3532,1,1.6777,0.087231,0.028284,0.0019953,
11,0.0016887,0.073924,2.1438,0.729,0,1.1282,1,1.6777,0.092193,0.043615,0.0018772,
12,0.00035326,0.027147,2.3325,1,0,0.4777,1,1.6777,0.032922,0.013109,0.00072354,
13,0.00031655,0.018304,2.5232,0.4783,0,0.39239,1,1.6777,0.028926,0.020326,0.00064186,
14,0.00017871,0.016451,2.7104,0.729,0,0.68907,1,1.6777,0.023262,0.011526,0.00054257,
15,0.00042155,0.02261,2.9141,0.53144,0,0.52425,1,1.6777,0.025448,0.0080541,0.00047484,
16,4.675e-05,0.0068702,3.114,1,0,0.34103,1,1.6777,0.010867,0.0073184,0.00028278,
17,3.6515e-05,0.0063409,3.3081,0.59049,0,0.57818,1,1.6777,0.010231,0.0067742,0.00022761,
18,1.8213e-05,0.0053633,3.5046,0.28243,0,0.18917,1,1.6777,0.0074566,0.003101,0.0001988,
19,4.0237e-06,0.0018398,3.6906,1,0,0.13715,1,1.6777,0.0027433,0.0014573,7.196e-05,
20,1.5565e-06,0.0013226,3.885,0.6561,0,0.11793,1,1.6777,0.0020817,0.0010115,5.8604e-05,
21,9.1596e-10,2.777e-05,4.079,1,0,0.02366,1,1.6777,4.7793e-05,3.3056e-05,1.0828e-06,
22,2.6766e-10,1.3254e-05,4.2594,1,0,0.0094668,1,1.6777,2.48e-05,1.2219e-05,6.4224e-07,
23,1.4842e-11,3.1931e-06,4.4452,1,0,0.0050775,1,1.6777,5.7854e-06,3.1286e-06,1.4979e-07,
24,1.3733e-11,3.0211e-06,4.642,0.729,0,0.0038648,1,1.6777,5.586e-06,3.022e-06,1.4511e-07,
