"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,2.7703e-09,3.623e-10,1.5195,1,4.9151,4.8348,
1,1.0091,6.2457,3.3333,0.53133,0.126,1.4461,0.70698,1.5342,0.013973,
2,1.0949,6.2457,3.3333,0.1445,0.03486,0.074101,0.2253,0.37359,0.00024745,
3,1.1567,1.5068,3.3333,0.052832,0.0091063,0.0051976,0.049191,0.10032,0.00011753,
4,1.2256,0.30208,3.3333,0.014056,0.0021863,0.0011842,0.013683,0.025007,2.0164e-05,
5,1.2816,0.10244,3.3333,0.0036429,0.00051162,0.0011895,0.023931,0.0062279,6.3276e-06,
6,1.3418,0.028632,3.3333,0.0010986,0.00012912,0.0012682,0.027593,0.0016317,2.4199e-06,
7,1.3947,0.0076983,3.3333,0.0003359,3.4848e-05,0.0012973,0.028713,0.00045449,1.8586e-06,
8,2.4299,0.0021495,3.3333,0.00010504,8.4936e-06,0.0013042,0.029063,0.00030982,0.00028272,
9,3.4344,1.5992,3.3333,5.4136e-05,7.6657e-06,0.0013062,0.029005,0.00034402,0.00032942,
10,4.3978,0.55264,11.1111,0.00013747,1.2891e-05,0.0012986,0.028965,0.00097775,0.00096126,
11,5.5669,1.4142,11.1111,7.0404e-05,1.0518e-05,0.0012932,0.029608,0.00097795,0.00096993,
12,6.6434,0.50545,37.037,0.0024401,0.00015471,4.2728e-06,0.0024958,0.0029,4.8229e-09,
13,7.0124,2.0882,37.037,6.5537e-05,4.2327e-06,3.2104e-09,6.844e-05,7.7937e-05,2.4912e-09,
14,7.2352,0.037905,37.037,1.7954e-06,1.3212e-07,2.8647e-12,1.9423e-06,2.2045e-06,1.0155e-08,
15,7.4562,0.0010094,37.037,5.0865e-08,4.5191e-09,3.6005e-15,7.1846e-08,7.0873e-08,8.2587e-10,
16,7.4734,2.8004e-05,37.037,2.5445e-09,2.4843e-10,1.0411e-15,4.6314e-08,1.8707e-08,1.8286e-08,
17,7.486,9.3822e-08,37.037,6.5442e-10,7.2244e-11,1.1635e-15,4.9e-08,4.1023e-08,4.1011e-08,
18,7.4989,6.3396e-09,123.4568,7.8746e-10,6.5152e-11,1.1394e-15,3.6541e-08,1.5343e-08,1.5312e-08,
19,7.5125,2.1655e-09,123.4568,1.6733e-11,1.218e-12,1.1304e-15,3.8607e-08,1.5113e-08,1.5113e-08,
20,7.5248,1.0309e-09,411.5226,2.1751e-10,1.8224e-11,1.0303e-15,3.2001e-08,3.1494e-08,3.1493e-08,
21,7.5404,7.6892e-09,411.5226,4.3194e-11,4.7231e-12,1.022e-15,2.911e-08,1.5447e-08,1.5447e-08,
22,7.5591,3.7065e-10,411.5226,2.0034e-11,1.6427e-12,1.0205e-15,3.5562e-08,1.2893e-08,1.2893e-08,
23,7.5729,1.0088e-10,1371.7421,1.8045e-11,1.407e-12,1.0191e-15,2.8137e-08,1.5203e-08,1.5203e-08,
24,7.5913,2.4568e-10,1371.7421,6.4878e-12,4.7992e-13,1.0177e-15,3.7036e-08,1.3941e-08,1.3941e-08,
25,7.6064,5.1608e-11,4572.4737,6.0101e-12,3.6924e-13,1.0174e-15,2.8792e-08,1.6618e-08,1.6618e-08,
26,7.6272,6.769e-11,4572.4737,1.3453e-12,1.0402e-13,1.017e-15,3.4943e-08,1.3506e-08,1.3506e-08,
27,7.6419,1.4586e-11,15241.579,7.2755e-12,5.5943e-13,1.0159e-15,3.0432e-08,3.4185e-08,3.4185e-08,
28,7.6634,1.046e-10,15241.579,1.4491e-12,1.3652e-13,1.0157e-15,3.2085e-08,1.502e-08,1.502e-08,
29,7.682,1.1897e-11,15241.579,5.6355e-13,5.0152e-14,1.0156e-15,3.6407e-08,1.278e-08,1.278e-08,
30,7.702,2.9373e-12,15241.579,1.8652e-13,1.3855e-14,1.0156e-15,3.3564e-08,1.3103e-08,1.3103e-08,
31,7.7185,4.2166e-12,50805.2634,8.229e-13,8.1822e-14,1.0154e-15,4.4972e-08,1.8718e-08,1.8718e-08,
32,7.7413,1.3567e-11,50805.2634,4.9816e-13,3.9165e-14,1.0154e-15,3.5192e-08,2.9931e-08,2.9931e-08,
33,7.7613,2.7477e-12,50805.2634,3.4706e-13,3.4749e-14,1.0154e-15,3.1119e-08,1.3452e-08,1.3452e-08,
34,7.7847,1.3618e-12,50805.2634,1.0025e-13,7.4272e-15,1.0154e-15,3.6213e-08,1.2727e-08,1.2727e-08,
35,7.8016,7.8552e-13,169350.8781,4.6563e-13,3.3652e-14,1.0153e-15,3.2281e-08,2.882e-08,2.882e-08,
36,7.8262,6.6626e-12,169350.8781,9.7256e-14,8.8176e-15,1.0153e-15,2.4441e-08,1.644e-08,1.644e-08,
37,7.8467,7.6883e-13,564502.9269,8.2601e-14,6.7724e-15,1.0153e-15,3.8429e-08,1.3172e-08,1.3172e-08,
38,7.8715,3.3688e-13,564502.9269,9.77e-15,1.2768e-15,1.0153e-15,3.8053e-08,1.6833e-08,1.6833e-08,
39,7.8933,1.7451e-13,1881676.4232,1.1269e-14,1.2794e-15,1.0153e-15,4.0435e-08,1.3284e-08,1.3284e-08,
40,7.9218,7.4062e-14,1881676.4232,4.4409e-16,6.8522e-17,1.0153e-15,4.0853e-08,1.3543e-08,1.3543e-08,
41,7.9458,2.4148e-14,6272254.7439,4.3299e-15,4.7792e-16,1.0153e-15,4.1897e-08,1.8702e-08,1.8702e-08,
42,7.9778,5.9785e-14,6272254.7439,1.1102e-15,1.4485e-16,1.0153e-15,3.7719e-08,1.3073e-08,1.3073e-08,
43,8.0053,9.7418e-15,6272254.7439,4.4409e-16,6.7654e-17,1.0153e-15,4.0504e-08,1.3849e-08,1.3849e-08,
44,8.034,8.1494e-15,20907515.8129,8.8818e-16,8.6736e-17,1.0153e-15,4.1897e-08,1.6678e-08,1.6678e-08,
45,8.0605,1.457e-14,20907515.8129,6.6613e-16,4.5103e-17,1.0153e-15,3.9576e-08,1.5107e-08,1.5107e-08,
46,8.0927,2.5526e-15,20907515.8129,4.4409e-16,3.9899e-17,1.0153e-15,3.9576e-08,1.406e-08,1.406e-08,
47,8.1185,1.7779e-15,20907515.8129,2.2204e-16,2.2551e-17,1.0153e-15,3.9576e-08,1.5454e-08,1.5454e-08,
48,8.1489,2.8654e-15,69691719.3763,4.4409e-16,5.0307e-17,1.0153e-15,3.7255e-08,2.0144e-08,2.0144e-08,
49,8.1892,4.0029e-15,232305731.2542,4.4409e-16,5.0307e-17,1.0153e-15,6.1456e-08,5.9741e-08,5.9741e-08,
50,8.2364,0,774352437.514,4.4409e-16,5.0307e-17,1.0153e-15,1.6462e-07,2.0755e-07,2.0755e-07,
51,8.2763,0,2581174791.7132,4.4409e-16,5.0307e-17,1.0153e-15,5.085e-07,7.0468e-07,7.0468e-07,
52,8.3224,0,8603915972.3773,4.4409e-16,5.0307e-17,1.0153e-15,1.6548e-06,2.363e-06,2.363e-06,
53,8.3665,0,28679719907.9244,4.4409e-16,5.0307e-17,1.0153e-15,5.4757e-06,7.8912e-06,7.8912e-06,
54,8.4106,0,95599066359.7481,4.4409e-16,5.0307e-17,1.0153e-15,1.8212e-05,2.6319e-05,2.6319e-05,
55,8.4541,0,318663554532.4938,4.4409e-16,5.0307e-17,1.0153e-15,6.0667e-05,8.7743e-05,8.7743e-05,
56,8.497,0,1062211848441.646,4.4409e-16,5.0307e-17,1.0153e-15,0.00020218,0.00029249,0.00029249,
57,8.5409,0,3540706161472.154,4.4409e-16,5.0307e-17,1.0153e-15,0.0006739,0.00097499,0.00097499,
58,8.5833,0,11802353871573.85,4.4409e-16,5.0307e-17,1.0153e-15,0.0022463,0.00325,0.00325,
59,8.6251,0,39341179571912.82,4.4409e-16,5.0307e-17,1.0153e-15,0.0074876,0.010833,0.010833,
60,8.6663,0,131137265239709.4,4.4409e-16,5.0307e-17,1.0153e-15,0.024959,0.036111,0.036111,
61,8.7136,0,437124217465698.1,4.4409e-16,5.0307e-17,1.0153e-15,0.083195,0.12037,0.12037,
62,8.755,0,1457080724885660,4.4409e-16,5.0307e-17,1.0153e-15,0.27732,0.40123,0.40123,
63,8.796,0,4856935749618868,4.4409e-16,5.0307e-17,1.0153e-15,0.92439,1.3374,1.3374,
64,8.8396,0,1.618978583206289e+16,4.4409e-16,5.0307e-17,1.0153e-15,3.0813,4.4581,4.4581,
65,8.8926,0,5.396595277354298e+16,4.4409e-16,5.0307e-17,1.0153e-15,10.271,14.8605,14.8605,
66,8.9513,0,1.798865092451433e+17,4.4409e-16,5.0307e-17,1.0153e-15,20,49.5349,49.5349,
67,8.9955,0,5.996216974838111e+17,4.4409e-16,5.0307e-17,1.0153e-15,20,150.3841,150.3841,
68,9.0493,0,1.998738991612704e+18,4.4409e-16,5.0307e-17,1.0153e-15,20,424.0526,424.0526,
69,9.0919,0,6.662463305375679e+18,4.4409e-16,5.0307e-17,1.0153e-15,20,1322.7311,1322.7311,
70,9.1424,0,2.220821101791893e+19,4.4409e-16,5.0307e-17,1.0153e-15,20,4319.194,4319.194,
71,9.1838,0,7.402737005972978e+19,4.4409e-16,5.0307e-17,1.0153e-15,20,14307.6892,14307.6892,
72,9.2338,0,2.467579001990993e+20,4.4409e-16,5.0307e-17,1.0153e-15,20,47602.7613,47602.7613,
73,9.2748,0,8.225263339969975e+20,4.4409e-16,5.0307e-17,1.0153e-15,20,158586.362,158586.362,
74,9.3256,0,2.741754446656658e+21,4.4409e-16,5.0307e-17,1.0153e-15,20,528531.7056,528531.7056,
75,9.3675,0,9.139181488855528e+21,4.4409e-16,5.0307e-17,1.0153e-15,20,1761682.8533,1761682.8533,
