"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.82189,0.088578,0,1,4.0181,
1,0.02569,3.8496,0.30744,0.0096915,0,0.95096,0.82097,
2,0.033111,3.8496,0.30744,0.0096915,0,0.97631,0.90119,
3,0.055806,0,0.076769,0.0043588,0,0.85574,0.68083,
4,0.071054,0.5241,0.055177,0.0025206,0,0.86761,0.45422,
5,0.077936,0.14169,0.055177,0.0025206,0,0.93151,0.53284,
6,0.11017,0,0.0067889,0.00038824,0,0.4198,0.26834,
7,0.11854,0.23564,0.0067889,0.00038824,0,0.56168,0.3838,
8,0.13889,0,0.0060667,0.00026381,0,0.66503,0.28737,
9,0.16302,0.0075516,0.0018925,0.00010878,0,0.37754,0.27194,
10,0.18367,0.03819,0.0013517,7.1285e-05,0,0.39303,0.19695,
11,0.20729,0.0034962,0.0005676,3.2666e-05,0,0.25476,0.08898,
12,0.2142,0.0057464,0.0005676,3.2666e-05,0,0.36067,0.12616,
13,0.24075,0,0.00050928,2.9515e-05,0,0.48681,0.11448,
14,0.26378,0.00034047,0.00049071,2.7396e-05,0,0.72027,0.12225,
15,0.2907,0.00035435,0.00048498,2.365e-05,0,1,0.11305,
16,0.35585,0.00053635,0.00015279,5.8435e-06,0,0.48315,0.082765,
17,0.38122,0.011064,0.00014979,5.2914e-06,0,0.69527,0.080519,
18,0.45062,8.3435e-05,1.3111e-05,4.2613e-07,0,0.08897,0.033163,
19,0.45878,0.0038101,1.3111e-05,4.2613e-07,0,0.13,0.048521,
20,0.48284,0,2.7615e-06,1.7769e-07,0,0.0405,0.03752,
21,0.50597,3.7373e-05,2.139e-06,1.3877e-07,0,0.046035,0.043732,
22,0.53038,6.7187e-06,1.9127e-06,1.0036e-07,0,0.060374,0.038259,
23,0.55886,3.9141e-06,1.4084e-06,7.557e-08,0,0.065231,0.026909,
24,0.58967,2.2871e-06,9.2066e-07,4.0826e-08,0,0.062724,0.010874,
25,0.5965,5.6147e-06,9.2066e-07,4.0826e-08,0,0.092066,0.015929,
26,0.62584,0,9.367e-07,3.9429e-08,0,0.13749,0.020365,
27,0.65822,5.4576e-07,9.6316e-07,3.6391e-08,0,0.20751,0.016841,
28,0.71894,6.7454e-07,7.5599e-08,3.1092e-09,0,0.0239,0.015825,
29,0.75131,2.8176e-05,5.494e-08,1.7968e-09,0,0.025493,0.0099675,
30,0.78156,9.5984e-08,2.1953e-08,1.0379e-09,0,0.014955,0.010421,
31,0.81445,1.1872e-07,1.5837e-08,6.938e-10,0,0.015835,0.0068131,
