"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,3.9123e-08,3.0549e-09,0.28415,3.9123e-07,0.56313,
1,0.20818,1.443,0.018387,0.0012764,0.037884,0.18084,0.020734,
2,0.25982,1.443,0.01304,0.00086798,0.03917,0.18798,0.014515,
3,0.35269,0.016896,0.0091332,0.00059232,0.040108,0.19307,0.010091,
4,0.45328,0.011541,0.0063417,0.00040341,0.04078,0.19663,0.0069712,
5,0.60975,0.0083709,0.0043783,0.00027491,0.041253,0.19915,0.0047965,
6,0.7912,0.0056116,0.0030105,0.00018731,0.041584,0.20092,0.0032904,
7,1.0132,0.0038301,0.002064,0.00012762,0.041813,0.20214,0.0022524,
8,2.2227,0.0026045,0.0014122,8.773e-05,0.041971,0.20297,0.0015545,
9,3.3839,0.26727,0.00096493,6.0159e-05,0.042079,0.20354,0.0010603,
10,4.6127,0.20135,0.00065881,4.1263e-05,0.042153,0.20395,0.00078178,
11,4.8336,0.17192,0.00044946,2.8073e-05,0.042204,0.20423,0.00049104,
12,6.0393,0.00063317,0.00030647,1.925e-05,0.042239,0.20439,0.00074355,
13,6.3142,0.12105,0.00020895,1.3083e-05,0.042263,0.20453,0.00022843,
14,6.5751,0.00030848,0.00014242,8.913e-06,0.042279,0.20462,0.00015568,
15,6.9099,0.0002089,9.7056e-05,6.0721e-06,0.04229,0.20468,0.00010608,
16,7.2248,0.00014227,6.6137e-05,4.1368e-06,0.042298,0.20471,7.2288e-05,
17,7.5462,9.6923e-05,4.5065e-05,2.8183e-06,0.042303,0.20474,4.9252e-05,
18,7.6185,6.6011e-05,3.0706e-05,1.9206e-06,0.042307,0.20476,3.4588e-05,
19,7.8567,3.0005e-05,2.0921e-05,1.3081e-06,0.042309,0.20477,2.3083e-05,
20,7.9422,5.5571e-05,1.4254e-05,8.9136e-07,0.042311,0.20478,1.7139e-05,
21,8.009,1.3934e-05,9.7114e-06,6.0734e-07,0.042312,0.20479,1.9184e-05,
22,8.0752,9.4967e-06,6.6164e-06,4.1382e-07,0.042312,0.2048,2.5433e-05,
23,8.1418,6.4727e-06,4.5078e-06,2.8193e-07,0.042313,0.2048,1.1702e-05,
24,8.2041,4.4104e-06,3.0711e-06,1.9207e-07,0.042313,0.2048,4.3694e-05,
25,8.2624,3.0065e-06,2.0924e-06,1.3098e-07,0.042314,0.2048,9.449e-05,
26,8.3263,2.0481e-06,1.4256e-06,8.9207e-08,0.042314,0.20482,5.701e-05,
27,8.3888,1.392e-06,9.7121e-07,6.0808e-08,0.042314,0.20481,8.555e-05,
28,8.4444,9.5124e-07,6.6175e-07,4.1406e-08,0.042314,0.20483,0.0001078,
29,8.5041,6.4916e-07,4.5072e-07,2.8203e-08,0.042314,0.20477,8.9844e-05,
30,8.5618,4.4156e-07,3.0751e-07,1.9248e-08,0.042314,0.20505,0.00031139,
31,8.5946,2.978e-07,2.0893e-07,1.3771e-08,0.042314,0.20451,0.0026171,
32,8.6178,1.7141e-07,2.0922e-07,1.3696e-08,0.042314,0.20478,0.0016804,
