"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0,0,8.7229,0.46347,5.0249,
1,1.5788,8.8878,0,0,0.021518,0.13663,0.039868,
2,1.8964,8.8878,0,0,0.0115,0.10132,0.0179,
3,2.0194,2.3431,0,0,0.0082104,0.071548,0.0088064,
4,2.8549,0.15609,0,0,0.0016025,0.047099,0.0045876,
5,3.1478,12.4691,0,0,0.00083254,0.028797,0.0021872,
6,3.3688,0.60841,0,0,0.00052013,0.014829,0.00091336,
7,3.5538,0.4459,0,0,0.00042461,0.005402,0.00028175,
8,5.2055,0.28344,0,0,0.00040999,0.00091692,8.5209e-05,
9,6.8962,0.49773,0,0,0.00040854,4.2112e-05,7.529e-05,
10,8.6873,1.2696,0,0,0.00040686,3.8527e-07,9.2973e-05,
11,10.2614,2.5307,0,0,0.00040601,3.7003e-10,7.079e-05,
12,11.992,1.5759,0,0,0.00040587,1.4677e-14,4.3053e-05,
13,13.7526,0.27923,0,0,0.00040573,4.7033e-21,3.7078e-05,
14,15.4533,0.29192,0,0,0.00040558,1.5859e-30,5.7027e-05,
15,17.0476,0.32854,0,0,0.00040535,1.6507e-44,5.7822e-05,
16,18.8183,0.51453,0,0,0.00040518,6.3332e-65,5.2434e-05,
17,20.4782,0.39851,0,0,0.00040463,4.0509e-95,5.556e-05,
18,22.2768,1.387,0,0,0.00040406,3.6648e-139,5.6261e-05,
19,23.9829,1.602,0,0,0.000404,1.155e-203,2.7376e-05,
20,25.65,0.21606,0,0,0.00040389,6.6189e-299,4.5692e-05,
21,27.3035,0.33272,0,0,0.0004035,0,4.4429e-05,
22,28.9068,1.4396,0,0,0.0004033,0,4.434e-05,
23,30.5112,0.5474,0,0,0.00040319,0,2.5434e-05,
24,32.0788,0.43341,0,0,0.00040309,0,4.0458e-05,
25,33.7482,0.34317,0,0,0.00040297,0,4.2698e-05,
26,35.4321,0.48625,0,0,0.00040287,0,4.3531e-05,
27,37.1346,0.4031,0,0,0.00040279,0,3.0512e-05,
28,38.7495,0.30985,0,0,0.00040261,0,3.207e-05,
29,40.3509,0.80924,0,0,0.00040223,0,4.0495e-05,
30,42.0287,1.7495,0,0,0.00040195,0,4.2322e-05,
31,43.6955,1.4053,0,0,0.00040189,0,3.4923e-05,
32,45.3892,0.31367,0,0,0.00040183,0,3.3101e-05,
33,46.9509,0.35959,0,0,0.00040177,0,3.4022e-05,
34,48.7018,0.35772,0,0,0.00040142,0,4.2768e-05,
35,50.3965,2.0751,0,0,0.0004013,0,2.5488e-05,
36,51.8978,0.74459,0,0,0.00040129,0,3.3899e-06,
37,53.5493,0.088461,0,0,0.00040125,0,2.0729e-05,
38,55.143,0.23235,0,0,0.00040123,0,1.8433e-06,
39,56.8388,0.33692,0,0,0.00040104,0,3.3065e-05,
40,58.4364,1.1871,0,0,0.00040101,0,1.069e-05,
41,60.1244,0.23267,0,0,0.00040097,0,2.4494e-05,
