"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,6.2231e-09,5.2641e-10,0.12115,0.40349,0.90905,
1,2.4044,5.713,0.019762,0.0015989,0.02767,0.19509,0.073359,
2,4.7806,5.713,0.011468,0.00067358,0.0092257,0.16675,0.033063,
3,7.0729,8.0608,0.0080818,0.0004486,0.0038911,0.17238,0.018423,
4,9.716,1.231,0.0064331,0.00034381,0.0027307,0.20067,0.01257,
5,12.3075,0.60025,0.0053579,0.0002744,0.0029634,0.24369,0.0096512,
6,14.7521,0.35027,0.0044653,0.00022,0.0035339,0.29517,0.0080833,
7,17.4511,0.19793,0.0036367,0.00017341,0.004195,0.34844,0.0062345,
8,19.7303,0.17769,0.0029053,0.00013449,0.0048988,0.40235,0.0049352,
9,22.348,0.10585,0.0022467,0.0001022,0.0056181,0.44948,0.0037628,
10,24.6279,0.14835,0.0016758,7.6618e-05,0.0062903,0.48534,0.0037269,
11,27.249,0.09251,0.0012504,5.6499e-05,0.006845,0.52294,0.0042261,
12,29.6036,0.054122,0.00085395,3.8735e-05,0.0073751,0.52396,0.0085325,
13,32.2842,0.10621,0.00062576,2.8078e-05,0.0076841,0.55513,0.0025851,
14,34.6631,0.048219,0.00043233,1.9419e-05,0.007946,0.56119,0.001995,
15,37.3319,0.025524,0.00029998,1.3396e-05,0.0081375,0.56916,0.0036225,
16,39.7168,0.035296,0.00020372,9.1711e-06,0.0082692,0.56777,0.0016949,
17,42.286,0.015019,0.00014157,6.3178e-06,0.0083594,0.57644,0.00088868,
18,44.7735,0.019189,9.483e-05,4.2865e-06,0.0084244,0.56902,0.0041718,
19,47.304,0.0098482,6.6393e-05,2.9526e-06,0.0084654,0.58097,0.00090284,
20,50.059,0.036565,4.5068e-05,2.0197e-06,0.0084951,0.57937,0.013191,
21,52.7398,0.0090599,3.0684e-05,1.3846e-06,0.0085148,0.57907,0.0093346,
22,55.1445,0.0030934,2.0473e-05,9.4172e-07,0.0085293,0.56993,0.010857,
23,57.742,0.0015478,1.5224e-05,6.8664e-07,0.0085365,0.60855,0.017103,
24,60.092,0.020039,9.8873e-06,4.4564e-07,0.0085438,0.58735,0.0098699,
25,62.7334,0.0028819,6.6802e-06,3.0262e-07,0.0085481,0.58368,0.0072916,
26,65.1107,0.0012727,4.5376e-06,2.0328e-07,0.0085513,0.58237,0.0098841,
27,67.7243,0.0015955,3.3756e-06,1.4889e-07,0.0085531,0.62138,0.027795,
28,70.1265,0.0014022,2.0636e-06,9.1996e-08,0.0085547,0.57339,0.0092644,
29,72.7403,0.00081676,1.4241e-06,6.3568e-08,0.0085556,0.57904,0.0013639,
30,75.0354,0.00069971,9.6881e-07,4.3192e-08,0.0085563,0.57839,0.00017723,
31,76.1959,0.000375,6.5886e-07,2.9406e-08,0.0085567,0.5776,0.00026968,
32,76.2509,2.7904e-05,6.5891e-07,2.9399e-08,0.0085567,0.57764,0.00017413,
33,76.3142,1.0069e-09,6.5898e-07,2.9396e-08,0.0085567,0.57769,0.00015943,
34,76.3678,1.4067e-09,6.5896e-07,2.9396e-08,0.0085567,0.57767,0.00017238,
35,76.4337,2.4804e-09,6.5905e-07,2.9395e-08,0.0085567,0.57773,0.0001823,
36,76.4886,1.3121e-09,6.5901e-07,2.9395e-08,0.0085567,0.5777,0.00014951,
37,76.5493,7.4264e-10,6.5907e-07,2.9395e-08,0.0085567,0.57775,0.00017362,
38,76.602,2.3547e-09,6.5901e-07,2.9395e-08,0.0085567,0.5777,0.00019273,
39,76.6563,1.3011e-09,6.5906e-07,2.9394e-08,0.0085567,0.57774,0.00014909,
40,76.7081,7.3945e-10,6.5902e-07,2.9394e-08,0.0085567,0.57771,0.00018082,
41,76.7628,2.3403e-09,6.5907e-07,2.9394e-08,0.0085567,0.57775,0.00015183,
42,76.8144,7.5084e-10,6.5903e-07,2.9394e-08,0.0085567,0.57772,0.0001729,
43,76.8749,2.3247e-09,6.5911e-07,2.9395e-08,0.0085567,0.57777,0.00020667,
44,76.9317,1.3172e-09,6.5906e-07,2.9394e-08,0.0085567,0.57774,0.00014639,
45,76.9935,7.3024e-10,6.5916e-07,2.9396e-08,0.0085567,0.5778,0.00027956,
46,77.0508,4.5084e-09,6.5909e-07,2.9394e-08,0.0085567,0.57776,0.00014305,
47,77.1011,5.534e-10,6.5908e-07,2.9394e-08,0.0085567,0.57775,0.00015351,
48,77.1539,8.7537e-09,6.5912e-07,2.9395e-08,0.0085567,0.57778,0.0002092,
49,77.2095,2.4253e-09,6.5911e-07,2.9394e-08,0.0085567,0.57777,0.00014075,
50,77.3945,4.4401e-10,6.6026e-07,2.942e-08,0.0085567,0.57854,0.00025656,
51,77.4506,4.131e-06,6.6026e-07,2.9418e-08,0.0085567,0.57853,0.00014748,
52,77.5137,4.8574e-10,6.6001e-07,2.945e-08,0.0085567,0.57837,0.00032175,
53,77.5659,3.8199e-08,6.6024e-07,2.9451e-08,0.0085567,0.57852,0.001072,
54,77.625,9.8736e-09,6.6026e-07,2.9435e-08,0.0085567,0.57853,0.00014474,
55,77.6832,1.1631e-09,6.6065e-07,2.9426e-08,0.0085567,0.5788,0.00042001,
