"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,0.85549,7.0254,4.1771e-05,NaN,NaN,NaN,NaN,1,7.0916,4.1568e-08,1.6243e-09,
1,0.50663,3.6051,0.15052,0.034337,0,0.7009,1,4.4423,3.6071,0.017507,0.00089737,
2,0.17736,0.66389,0.26707,0.31381,0,0.61336,1,4.4423,0.66556,0.026607,0.0018128,
3,0.036025,0.15155,0.38421,0.81,0,0.89258,1,4.4423,0.15733,0.028621,0.0018548,
4,0.02355,0.050418,0.49383,1,0,1.6841,1,4.4423,0.05416,0.015726,0.00088484,
5,0.02046,0.030159,0.61817,0.4783,0,0.79147,1,4.4423,0.036364,0.017058,0.00080742,
6,0.014023,0.12601,0.74952,0.10942,0,0.28058,1,4.4423,0.12779,0.017187,0.00082833,
7,0.010415,0.17885,0.88446,0.047101,0,0.55165,1,4.4423,0.18036,0.016466,0.00083776,
8,0.0086572,0.1356,1.0214,0.047101,0,0.13322,1,4.4423,0.13718,0.017059,0.00083896,
9,0.0017941,0.061117,1.1413,0.34868,0,0.46916,1,4.4423,0.063091,0.0090325,0.00075519,
10,0.001031,0.037744,1.2641,0.34868,0,0.52642,1,4.4423,0.040584,0.010374,0.00066719,
11,0.0013742,0.039083,1.3814,0.43047,0,0.60054,1,4.4423,0.041678,0.0098103,0.00056824,
12,0.00066011,0.041256,1.503,0.22877,0,0.44134,1,4.4423,0.043878,0.013076,0.00050632,
13,0.00035679,0.022684,1.6158,0.59049,0,0.5854,1,4.4423,0.024827,0.0077524,0.00047876,
14,0.0001921,0.018143,1.7317,0.28243,0,0.2972,1,4.4423,0.019833,0.0046388,0.00037949,
15,8.1864e-05,0.012291,1.857,0.6561,0,0.44748,1,4.4423,0.014228,0.0046338,0.00031506,
16,4.0924e-05,0.0081112,1.9817,0.59049,0,0.33294,1,4.4423,0.010744,0.004778,0.00029273,
17,1.1241e-07,0.0003119,2.0917,1,0,0.29682,1,4.4423,0.00039287,0.00018985,9.0069e-06,
18,4.0525e-08,0.00015078,2.2159,1,0,0.06612,1,4.4423,0.00018706,6.4816e-05,5.3176e-06,
19,6.5436e-09,3.3695e-05,2.3274,1,0,0.04198,1,4.4423,4.3656e-05,1.9739e-05,1.2867e-06,
