"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,1.371e-05,5.6621,3.1429e-05,NaN,NaN,NaN,NaN,1,6.6685,0.0047223,0.00011324,
1,1.371e-05,0.96918,0.45438,1.3872e-13,0,2.9829e-13,-2,4917652774.0391,4329225.4235,0.0047223,0.00011324,
2,1.371e-05,80481283.1732,9.9309,2.4703e-323,1,1.0707e-15,1,4917652774.0391,80481283.1732,0.0047223,0.00011324,
3,1.371e-05,13769872.5882,10.4158,7.3723e-14,0,1.3039e-13,1,4917652774.0391,13769872.5882,0.0047223,0.00011324,
4,1.371e-05,4746360.4747,10.8659,3.9179e-14,0,5.1611e-14,1,4917652774.0391,4746360.4747,0.0047223,0.00011324,
5,1.371e-05,1817165.9944,11.3073,1.9029e-13,0,7.2413e-13,1,4917652774.0391,1817165.9944,0.0047223,0.00011324,
6,1.371e-05,1079313.7538,11.7461,1.0113e-13,0,5.8828e-13,1,4917652774.0391,1079313.7538,0.0047223,0.00011324,
7,1.371e-05,772257.2392,12.2053,3.9179e-14,0,3.0323e-13,1,4917652774.0391,772257.2392,0.0047223,0.00011324,
8,1.371e-05,697113.8802,12.7103,6.635e-14,0,5.9111e-13,1,4917652774.0391,697113.8802,0.0047223,0.00011324,
9,1.371e-05,707805.0317,13.1869,6.635e-14,0,7.6338e-13,1,4917652774.0391,707805.0317,0.0047223,0.00011324,
10,1.371e-05,878196.2457,13.6159,2.3493e-13,0,2.788e-12,1,4917652774.0391,878196.2457,0.0047223,0.00011324,
11,1.371e-05,927431.5886,14.0608,1.9029e-13,0,2.2866e-12,1,4917652774.0391,927431.5886,0.0047223,0.00011324,
12,1.371e-05,1008767.0167,14.5758,3.5807e-13,0,4.1779e-12,1,4917652774.0391,1008767.0167,0.0047223,0.00011324,
13,1.371e-05,886767.9901,15.1286,4.8369e-14,0,4.7965e-13,1,4917652774.0391,886767.9901,0.0047223,0.00011324,
14,1.371e-05,828065.932,15.6139,1.8739e-14,0,1.7683e-13,1,4917652774.0391,828065.932,0.0047223,0.00011324,
15,1.371e-05,784075.7335,16.0516,5.3744e-14,0,5.706e-13,1,4917652774.0391,784075.7335,0.0047223,0.00011324,
16,1.371e-05,873015.1687,16.4998,1.6865e-14,0,1.9576e-13,1,4917652774.0391,873015.1687,0.0047223,0.00011324,
17,1.371e-05,881216.7362,16.9644,1.5179e-14,0,1.7213e-13,1,4917652774.0391,881216.7362,0.0047223,0.00011324,
18,1.371e-05,869761.683,17.4912,6.635e-14,0,6.911e-13,1,4917652774.0391,869761.683,0.0047223,0.00011324,
19,1.371e-05,874596.2334,17.9643,2.5705e-14,0,2.9123e-13,1,4917652774.0391,874596.2334,0.0047223,0.00011324,
20,1.371e-05,874770.2528,18.4226,1.2485e-13,0,1.3901e-12,1,4917652774.0391,874770.2528,0.0047223,0.00011324,
21,1.371e-05,818341.661,18.884,5.9715e-14,0,6.3581e-13,1,4917652774.0391,818341.661,0.0047223,0.00011324,
22,1.371e-05,889679.6374,19.3745,1.7126e-13,0,1.8401e-12,1,4917652774.0391,889679.6374,0.0047223,0.00011324,
23,1.371e-05,894355.1169,19.8555,5.9715e-14,0,6.5794e-13,1,4917652774.0391,894355.1169,0.0047223,0.00011324,
24,1.371e-05,774520.0562,20.2903,9.1015e-14,0,8.5006e-13,1,4917652774.0391,774520.0562,0.0047223,0.00011324,
25,1.371e-05,726720.0744,20.783,5.8806e-15,0,3.6938e-14,1,4917652774.0391,726720.0744,0.0047223,0.00011324,
26,1.371e-05,852311.0191,21.2316,2.9003e-13,0,3.7297e-12,1,4917652774.0391,852311.0191,0.0047223,0.00011324,
27,1.371e-05,828961.0994,21.6946,2.8562e-14,0,3.1532e-13,1,4917652774.0391,828961.0994,0.0047223,0.00011324,
28,1.371e-05,966210.8542,22.144,6.635e-14,0,7.2473e-13,1,4917652774.0391,966210.8542,0.0047223,0.00011324,
29,1.371e-05,921728.312,22.5715,9.1015e-14,0,9.36e-13,1,4917652774.0391,921728.312,0.0047223,0.00011324,
30,1.371e-05,835395.6666,23.0438,9.1015e-14,0,8.1064e-13,1,4917652774.0391,835395.6666,0.0047223,0.00011324,
31,1.371e-05,805316.9648,23.5452,5.8806e-15,0,3.7519e-14,1,4917652774.0391,805316.9648,0.0047223,0.00011324,
32,1.371e-05,785401.5343,23.9809,1.1236e-13,0,1.1677e-12,1,4917652774.0391,785401.5343,0.0047223,0.00011324,
33,1.371e-05,848152.5215,24.4357,5.2925e-15,0,3.7841e-14,1,4917652774.0391,848152.5215,0.0047223,0.00011324,
34,1.371e-05,879051.0315,24.864,1.1236e-13,0,1.3208e-12,1,4917652774.0391,879051.0315,0.0047223,0.00011324,
35,1.371e-05,857525.7994,25.2979,2.1143e-13,0,2.2399e-12,1,4917652774.0391,857525.7994,0.0047223,0.00011324,
36,1.371e-05,860518.4995,25.7485,6.635e-14,0,7.4486e-13,1,4917652774.0391,860518.4995,0.0047223,0.00011324,
37,1.371e-05,876538.2333,26.1828,7.3723e-14,0,8.1107e-13,1,4917652774.0391,876538.2333,0.0047223,0.00011324,
38,1.371e-05,883469.5791,26.6223,6.635e-14,0,6.9363e-13,1,4917652774.0391,883469.5791,0.0047223,0.00011324,
39,1.371e-05,878176.9345,27.0648,3.5807e-13,0,3.8463e-12,1,4917652774.0391,878176.9345,0.0047223,0.00011324,
40,1.371e-05,794674.2904,27.5028,1.1236e-13,0,1.065e-12,1,4917652774.0391,794674.2904,0.0047223,0.00011324,
41,1.371e-05,773144.8398,27.9558,6.635e-14,0,6.9607e-13,1,4917652774.0391,773144.8398,0.0047223,0.00011324,
42,1.371e-05,764953.3441,28.4168,1.2485e-13,0,1.3065e-12,1,4917652774.0391,764953.3441,0.0047223,0.00011324,
43,1.371e-05,833458.4956,28.8737,5.2925e-15,0,3.7834e-14,1,4917652774.0391,833458.4956,0.0047223,0.00011324,
44,1.371e-05,957141.0804,29.3045,1.5414e-13,0,1.7971e-12,1,4917652774.0391,957141.0804,0.0047223,0.00011324,
45,1.371e-05,917136.7606,29.7477,4.3532e-14,0,4.5257e-13,1,4917652774.0391,917136.7606,0.0047223,0.00011324,
46,1.371e-05,827027.8063,30.2124,6.534e-15,0,3.7729e-14,1,4917652774.0391,827027.8063,0.0047223,0.00011324,
