"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0,0,0.68016,1,4.3271,4.2272,
1,0.040129,4.2559,3.3333,0,0,0.12025,0.40865,0.3125,0.00089643,
2,0.051098,4.2559,3.3333,0,0,1.5123e-08,0,0.00017067,0.00017067,
3,0.056989,0.55087,3.3333,0,0,1.2566e-10,0,1.3629e-05,1.3629e-05,
4,0.06185,0.00017067,3.3333,0,0,1.2566e-10,0,1.3629e-05,1.3629e-05,
5,0.066359,0,3.3333,0,0,1.2566e-10,0,1.3629e-05,1.3629e-05,
6,0.072228,0,3.3333,0,0,9.106e-12,0,3.6063e-06,3.6063e-06,
7,0.07808,1.3629e-05,3.3333,0,0,7.5363e-13,0,1.0337e-06,1.0337e-06,
8,0.083524,3.6063e-06,3.3333,0,0,6.3989e-14,0,3.0101e-07,3.0101e-07,
9,0.087862,1.0337e-06,3.3333,0,0,6.3989e-14,0,3.0101e-07,3.0101e-07,
10,0.093735,0,3.3333,0,0,5.458e-15,0,8.7902e-08,8.7902e-08,
11,0.09945,3.0101e-07,3.3333,0,0,4.6594e-16,0,2.5682e-08,2.5682e-08,
12,0.10509,8.7902e-08,3.3333,0,0,3.9783e-17,0,7.5044e-09,7.5044e-09,
13,0.11131,2.5682e-08,3.3333,0,0,3.3969e-18,0,2.1929e-09,2.1929e-09,
14,0.11535,7.5044e-09,3.3333,0,0,3.3969e-18,0,2.1929e-09,2.1929e-09,
15,0.12102,0,3.3333,0,0,2.9005e-19,0,6.4077e-10,6.4077e-10,
16,0.12715,2.1929e-09,3.3333,0,0,2.4767e-20,0,1.8724e-10,1.8724e-10,
17,0.13268,6.4077e-10,3.3333,0,0,2.1148e-21,0,5.4714e-11,5.4714e-11,
18,0.13891,1.8724e-10,3.3333,0,0,1.8058e-22,0,1.5988e-11,1.5988e-11,
19,0.14438,5.4714e-11,3.3333,0,0,1.5417e-23,0,4.6717e-12,4.6717e-12,
20,0.14864,1.5988e-11,3.3333,0,0,1.5417e-23,0,4.6717e-12,4.6717e-12,
21,0.15465,0,3.3333,0,0,1.316e-24,0,1.3649e-12,1.3649e-12,
22,0.16003,4.6721e-12,3.3333,0,0,1.1248e-25,0,3.9903e-13,3.9903e-13,
23,0.16537,1.3646e-12,3.3333,0,0,9.6322e-27,0,1.1677e-13,1.1677e-13,
24,0.1707,3.9879e-13,3.3333,0,0,2.3078e-27,0,5.7191e-14,5.7191e-14,
25,0.17608,9.9131e-14,3.3333,0,0,5.5917e-28,0,2.8165e-14,2.8165e-14,
26,0.18152,4.8347e-14,3.3333,0,0,1.3614e-28,0,1.3901e-14,1.3901e-14,
27,0.18845,2.3663e-14,3.3333,0,0,2.003e-32,0,1.9938e-16,1.9938e-16,
28,0.19223,2.3331e-14,3.3333,0,0,2.003e-32,0,1.9938e-16,1.9938e-16,
29,0.19654,0,3.3333,0,0,2.003e-32,0,1.9938e-16,1.9938e-16,
30,0.20033,0,3.3333,0,0,2.003e-32,0,1.9938e-16,1.9938e-16,
31,0.23109,0,3.3333,0,0,1.5407e-32,0,1.7507e-16,1.7507e-16,
32,0.2684,8.1773e-16,3.3333,0,0,1.5407e-32,0,1.7507e-16,1.7507e-16,
33,0.30506,0,3.3333,0,0,1.5407e-32,0,1.7507e-16,1.7507e-16,
