"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,1.938e-08,6.8702e-10,1.9434,1,5.583,5.4951,
1,1.2053,28.9681,3.3333,0.50309,0.041192,1.1799,1.0456,1.3053,0.016228,
2,2.4677,28.9681,3.3333,0.24048,0.026256,0.13893,0.36607,0.4781,0.0042013,
3,3.5325,3.227,3.3333,0.071872,0.0072301,0.019846,0.21259,0.13483,0.0023393,
4,4.7746,2.3684,3.3333,0.027167,0.0020999,0.0097438,0.12203,0.041852,0.00093173,
5,6.0296,1.7715,3.3333,0.01848,0.00098007,0.0072146,0.060429,0.023501,0.0022217,
6,7.2259,2.5193,3.3333,0.012593,0.00059022,0.0059702,0.018454,0.01583,0.0012714,
7,8.4545,1.1742,3.3333,0.004256,0.00022499,0.0055249,0.004267,0.0059728,0.00021502,
8,9.7038,1.527,3.3333,0.0010519,5.8068e-05,0.0054883,0.00098264,0.0015923,6.502e-05,
9,10.9185,0.90321,3.3333,0.00031532,1.4576e-05,0.0054877,0.0010653,0.00041478,9.0003e-05,
10,12.1218,0.47396,3.3333,0.00010918,5.1842e-06,0.0054878,0.0014292,0.0001409,3.7136e-05,
11,13.3238,0.17385,3.3333,3.1109e-05,1.7272e-06,0.0054877,0.0015063,6.621e-05,4.8734e-05,
12,14.5461,0.26905,3.3333,2.0656e-05,1.6688e-06,0.0054873,0.0015411,8.5514e-05,7.8563e-05,
13,15.7995,0.5011,11.1111,2.2095e-05,1.6323e-06,0.0054873,0.0015141,3.9756e-05,1.774e-05,
14,16.9566,0.16075,11.1111,7.1883e-06,3.6694e-07,0.0054871,0.001594,2.7612e-05,2.619e-05,
15,18.125,0.14134,37.037,9.3589e-06,5.878e-07,0.0054869,0.00149,9.8554e-05,9.7575e-05,
16,19.4074,0.25161,37.037,2.0186e-06,1.5148e-07,0.0054868,0.0015648,2.1074e-05,2.0801e-05,
17,20.6073,0.088931,123.4568,3.5646e-06,2.0488e-07,0.0054868,0.0015283,6.5972e-05,6.58e-05,
18,21.8628,0.13424,123.4568,1.1814e-06,6.5136e-08,0.0054868,0.0015359,0.00014676,0.00014675,
19,23.1138,0.0040264,411.5226,1.4267e-06,7.3238e-08,0.0054867,0.0015702,5.0515e-05,5.0486e-05,
20,24.3334,0.085803,411.5226,2.0872e-07,1.0359e-08,0.0054867,0.0015836,8.5263e-05,8.5263e-05,
21,25.6042,0.0041659,411.5226,1.5048e-07,1.0332e-08,0.0054867,0.0016121,7.2993e-05,7.2993e-05,
22,26.8213,0.0029031,1371.7421,1.5032e-07,1.0021e-08,0.0054867,0.0015909,7.2632e-05,7.2632e-05,
23,28.0294,0.0012091,1371.7421,1.1042e-07,7.9217e-09,0.0054867,0.0015491,0.00015674,0.00015674,
24,29.2144,0.0024425,4572.4737,1.8334e-07,1.1664e-08,0.0054867,0.0015703,8.5113e-05,8.5112e-05,
25,29.2638,0.00078718,4572.4737,1.8848e-08,1.7578e-09,0.0054867,0.0016081,7.5556e-06,7.5555e-06,
26,29.2927,1.298e-06,15241.579,1.7186e-08,6.4062e-10,0.0054867,0.0016082,1.6568e-05,1.6568e-05,
27,29.3235,4.724e-08,15241.579,5.1615e-09,1.9217e-10,0.0054867,0.001609,7.8812e-06,7.8812e-06,
28,29.3464,1.7121e-07,50805.2634,4.5421e-09,1.6872e-10,0.0054867,0.0016085,1.5046e-05,1.5046e-05,
29,29.3716,5.265e-09,50805.2634,1.2116e-09,5.8159e-11,0.0054867,0.001614,4.5619e-05,4.5619e-05,
30,29.3958,3.6455e-08,169350.8781,1.3212e-09,6.4803e-11,0.0054867,0.0016084,5.252e-05,5.252e-05,
31,29.4217,4.899e-09,169350.8781,3.0873e-10,1.732e-11,0.0054867,0.0016072,4.3457e-05,4.3457e-05,
32,29.4487,2.3783e-09,564502.9269,2.7866e-10,1.4893e-11,0.0054867,0.0016086,1.5512e-05,1.5512e-05,
33,29.4766,5.5378e-10,1881676.4232,2.4795e-10,8.8384e-12,0.0054867,0.0016091,3.8159e-05,3.8159e-05,
34,29.5039,3.1839e-10,1881676.4232,4.6053e-11,2.0705e-12,0.0054867,0.0015953,7.7992e-05,7.7992e-05,
35,29.5352,1.9568e-09,1881676.4232,2.3667e-11,1.2725e-12,0.0054867,0.0016035,5.0484e-05,5.0484e-05,
36,29.565,1.3407e-10,6272254.7439,3.8761e-11,1.8931e-12,0.0054867,0.001608,2.7546e-05,2.7546e-05,
37,29.5953,9.6096e-11,6272254.7439,2.2019e-11,1.0544e-12,0.0054867,0.0016083,4.5943e-05,4.5943e-05,
38,29.6261,5.8426e-11,20907515.8129,1.9397e-11,7.6631e-13,0.0054867,0.0016091,4.1789e-05,4.1789e-05,
39,29.6551,4.1645e-11,20907515.8129,1.254e-11,7.6695e-13,0.0054867,0.0015887,0.00026262,0.00026262,
40,29.6883,2.0438e-10,69691719.3763,1.1404e-11,5.3256e-13,0.0054867,0.0015976,0.00010936,0.00010936,
41,29.7382,3.057e-11,232305731.2542,1.1404e-11,5.3256e-13,0.0054867,0.0016273,0.00081398,0.00081398,
42,29.7881,0,774352437.514,1.1404e-11,5.3256e-13,0.0054867,0.0025261,0.0034888,0.0034888,
43,29.8387,0,2581174791.7132,1.1404e-11,5.3256e-13,0.0054867,0.011357,0.012422,0.012422,
44,29.8907,0,8603915972.3773,1.1404e-11,5.3256e-13,0.0054867,0.040791,0.042205,0.042205,
45,29.94,0,28679719907.9244,1.1404e-11,5.3256e-13,0.0054867,0.13891,0.14148,0.14148,
46,29.9911,0,95599066359.7481,1.1404e-11,5.3256e-13,0.0054867,0.46596,0.4724,0.4724,
47,30.0435,0,318663554532.4938,1.1404e-11,5.3256e-13,0.0054867,1.5561,1.5755,1.5755,
48,30.0942,0,1062211848441.646,1.1404e-11,5.3256e-13,0.0054867,5.1901,5.2524,5.2524,
49,30.1467,0,3540706161472.154,1.1404e-11,5.3256e-13,0.0054867,17.3031,17.5087,17.5087,
50,30.1986,0,11802353871573.85,1.1404e-11,5.3256e-13,0.0054867,20,58.3631,58.3631,
51,30.2489,0,39341179571912.82,1.1404e-11,5.3256e-13,0.0054867,20,158.09,158.09,
52,30.2985,0,131137265239709.4,1.1404e-11,5.3256e-13,0.0054867,20,479.1973,479.1973,
53,30.3492,0,437124217465698.1,1.1404e-11,5.3256e-13,0.0054867,20,1538.4139,1538.4139,
54,30.3989,0,1457080724885660,1.1404e-11,5.3256e-13,0.0054867,20,5068.8984,5068.8984,
55,30.4489,0,4856935749618868,1.1404e-11,5.3256e-13,0.0054867,20,16837.603,16837.603,
56,30.4987,0,1.618978583206289e+16,1.1404e-11,5.3256e-13,0.0054867,20,56066.7914,56066.7914,
57,30.547,0,5.396595277354298e+16,1.1404e-11,5.3256e-13,0.0054867,20,186830.8047,186830.8047,
58,30.5967,0,1.798865092451433e+17,1.1404e-11,5.3256e-13,0.0054867,20,622710.8648,622710.8648,
59,30.6446,0,5.996216974838111e+17,1.1404e-11,5.3256e-13,0.0054867,20,2075644.4033,2075644.4033,
60,30.6937,0,1.998738991612704e+18,1.1404e-11,5.3256e-13,0.0054867,20,6918756.1996,6918756.1996,
61,30.7453,0,6.662463305375679e+18,1.1404e-11,5.3256e-13,0.0054867,20,23062462.1876,23062462.1876,
62,30.7949,0,2.220821101791893e+19,1.1404e-11,5.3256e-13,0.0054867,20,76874815.4811,76874815.4811,
63,30.8443,0,7.402737005972978e+19,1.1404e-11,5.3256e-13,0.0054867,20,256249326.4595,256249326.4595,
64,30.8933,0,2.467579001990993e+20,1.1404e-11,5.3256e-13,0.0054867,20,854164363.0542,854164363.0542,
65,30.9411,0,8.225263339969975e+20,1.1404e-11,5.3256e-13,0.0054867,20,2847214485.0367,2847214485.0367,
66,30.9895,0,2.741754446656658e+21,1.1404e-11,5.3256e-13,0.0054867,20,9490714891.645,9490714891.645,
67,31.0377,0,9.139181488855528e+21,1.1404e-11,5.3256e-13,0.0054867,20,31635716247.0058,31635716247.0058,
68,31.0863,0,3.046393829618509e+22,1.1404e-11,5.3256e-13,0.0054867,20,105452387431.5419,105452387431.5419,
69,31.1346,0,1.015464609872836e+23,1.1404e-11,5.3256e-13,0.0054867,20,351507958046.6624,351507958046.6624,
70,31.1846,0,3.384882032909455e+23,1.1404e-11,5.3256e-13,0.0054867,20,1171693193430.397,1171693193430.397,
71,31.2328,0,1.128294010969818e+24,1.1404e-11,5.3256e-13,0.0054867,20,3905643978042.847,3905643978042.847,
72,31.282,0,3.760980036566062e+24,1.1404e-11,5.3256e-13,0.0054867,20,13018813260084.35,13018813260084.35,
73,31.3315,0,1.253660012188687e+25,1.1404e-11,5.3256e-13,0.0054867,20,43396044200222.68,43396044200222.68,
74,31.3806,0,4.178866707295624e+25,1.1404e-11,5.3256e-13,0.0054867,20,144653480667350.5,144653480667350.5,
75,31.4291,0,1.392955569098541e+26,1.1404e-11,5.3256e-13,0.0054867,20,482178268891109.7,482178268891109.7,
76,31.4783,0,4.643185230328472e+26,1.1404e-11,5.3256e-13,0.0054867,20,1607260896303640,1607260896303640,
77,31.5264,0,1.547728410109491e+27,1.1404e-11,5.3256e-13,0.0054867,20,5357536321012077,5357536321012077,
78,31.5756,0,5.15909470036497e+27,1.1404e-11,5.3256e-13,0.0054867,20,1.785845440337353e+16,1.785845440337353e+16,
79,31.6239,0,1.71969823345499e+28,1.1404e-11,5.3256e-13,0.0054867,20,5.95281813445784e+16,5.95281813445784e+16,
80,31.6742,0,5.732327444849967e+28,1.1404e-11,5.3256e-13,0.0054867,20,1.984272711485946e+17,1.984272711485946e+17,
81,31.7225,0,1.910775814949989e+29,1.1404e-11,5.3256e-13,0.0054867,20,6.614242371619818e+17,6.614242371619818e+17,
82,31.7718,0,6.369252716499964e+29,1.1404e-11,5.3256e-13,0.0054867,20,2.204747457206607e+18,2.204747457206607e+18,
83,31.8201,0,2.123084238833321e+30,1.1404e-11,5.3256e-13,0.0054867,20,7.349158190688688e+18,7.349158190688688e+18,
84,31.8688,0,7.076947462777738e+30,1.1404e-11,5.3256e-13,0.0054867,20,2.44971939689623e+19,2.44971939689623e+19,
85,31.9183,0,2.35898248759258e+31,1.1404e-11,5.3256e-13,0.0054867,20,8.165731322987433e+19,8.165731322987433e+19,
86,31.9669,0,7.863274958641932e+31,1.1404e-11,5.3256e-13,0.0054867,20,2.721910440995811e+20,2.721910440995811e+20,
