"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.20196,0.026755,0,1,3.17,
1,0.014196,2.2794,0.0057815,0.00019944,0,0.057815,0.036509,
2,0.02003,2.2794,0.0057815,0.00019944,0,0.084861,0.052926,
3,0.025747,0,0.0057815,0.00019944,0,0.12456,0.07723,
4,0.031481,0,0.0057815,0.00019944,0,0.18283,0.11305,
5,0.037206,0,0.0057815,0.00019944,0,0.26835,0.16572,
6,0.042938,0,0.0057815,0.00019944,0,0.39389,0.24309,
7,0.04865,0,0.0057815,0.00019944,0,0.57815,0.35671,
8,0.056496,0,0,0,0,0,0,
9,0.061722,0.48438,0,0,0,0,0,
10,0.066953,0,0,0,0,0,0,
11,0.072221,0,0,0,0,0,0,
12,0.07745,0,0,0,0,0,0,
13,0.082861,0,0,0,0,0,0,
14,0.088137,0,0,0,0,0,0,
15,0.093326,0,0,0,0,0,0,
16,0.098538,0,0,0,0,0,0,
17,0.10376,0,0,0,0,0,0,
18,0.10887,0,0,0,0,0,0,
19,0.11388,0,0,0,0,0,0,
20,0.11891,0,0,0,0,0,0,
21,0.12426,0,0,0,0,0,0,
22,0.12931,0,0,0,0,0,0,
23,0.13436,0,0,0,0,0,0,
24,0.1394,0,0,0,0,0,0,
25,0.14442,0,0,0,0,0,0,
26,0.14945,0,0,0,0,0,0,
27,0.15447,0,0,0,0,0,0,
28,0.1597,0,0,0,0,0,0,
29,0.16479,0,0,0,0,0,0,
30,0.17001,0,0,0,0,0,0,
