"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,0.4022,0.022091,0,0.97045,2.1493,
1,0.016462,1.0862,0.0961,0.0030536,0,0.69291,0.74972,
2,0.02956,1.0862,0.005527,0.00021632,0,0.080859,0.10886,
3,0.035228,0.13306,0.005527,0.00021632,0,0.11824,0.15897,
4,0.040947,0,0.005527,0.00021632,0,0.17217,0.23151,
5,0.046828,0,0.005527,0.00021632,0,0.24849,0.33467,
6,0.060209,0,0.0023134,9.3415e-05,0,0.15569,0.20923,
7,0.066029,0.014885,0.0023134,9.3415e-05,0,0.22538,0.30354,
8,0.080467,0,0.0013897,5.233e-05,0,0.19987,0.25488,
9,0.095963,0.0067955,0.00028055,8.3293e-06,0,0.060332,0.068336,
10,0.10187,0.0028698,0.00028055,8.3293e-06,0,0.08837,0.10013,
11,0.10765,0,0.00028055,8.3293e-06,0,0.12913,0.14641,
12,0.12676,0,7.8311e-07,1.2216e-08,0,0.00053353,0.00046418,
13,0.13249,0.00042605,7.8311e-07,1.2216e-08,0,0.00078311,0.00068133,
14,0.13807,0,7.8311e-07,1.2216e-08,0,0.0011495,0.0010001,
15,0.14368,0,7.8311e-07,1.2216e-08,0,0.0016872,0.0014679,
16,0.1494,0,7.8311e-07,1.2216e-08,0,0.0024764,0.0021545,
17,0.15498,0,7.8311e-07,1.2216e-08,0,0.0036349,0.0031624,
18,0.16073,0,7.8311e-07,1.2216e-08,0,0.0053352,0.0046418,
19,0.16648,0,7.8311e-07,1.2216e-08,0,0.0078309,0.0068131,
20,0.17209,0,7.8311e-07,1.2216e-08,0,0.011494,0.0099999,
21,0.17832,0,7.8311e-07,1.2216e-08,0,0.016869,0.014677,
22,0.18392,0,7.8311e-07,1.2216e-08,0,0.024757,0.021539,
23,0.18958,0,7.8311e-07,1.2216e-08,0,0.036325,0.031604,
24,0.21253,0,4.3251e-07,9.0458e-09,0,0.029454,0.027448,
25,0.23629,1.4146e-06,7.4455e-08,2.2683e-09,0,0.0074453,0.0086538,
26,0.24212,6.1446e-07,7.4455e-08,2.2683e-09,0,0.010928,0.012702,
27,0.26689,0,2.3228e-08,7.8387e-10,0,0.0050043,0.0063312,
28,0.27267,1.4223e-07,2.3228e-08,7.8387e-10,0,0.0073451,0.0092929,
29,0.30003,0,9.9385e-09,3.5166e-10,0,0.004613,0.0060942,
30,0.30602,5.2032e-08,9.9385e-09,3.5166e-10,0,0.0067709,0.008945,
