"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,2.3183e-09,1.2431e-10,4.6993e-18,2.3183e-08,2.5981e-08,
1,0.0057308,0,2.3183e-09,1.2431e-10,4.6993e-18,2.3183e-08,2.5981e-08,
2,0.010325,0,2.3183e-09,1.2431e-10,4.6993e-18,3.4028e-08,3.6898e-08,
3,0.015358,0,2.3183e-09,1.2431e-10,4.6993e-18,4.9946e-08,5.2964e-08,
4,0.019886,0,2.3183e-09,1.2431e-10,4.6993e-18,7.331e-08,7.6574e-08,
5,0.024628,0,2.3183e-09,1.2431e-10,4.6993e-18,1.0761e-07,1.1125e-07,
6,0.029289,0,2.3183e-09,1.2431e-10,4.6993e-18,1.5794e-07,1.6216e-07,
7,0.033825,0,2.3183e-09,1.2431e-10,4.6993e-18,2.3183e-07,2.369e-07,
8,0.038339,0,2.3183e-09,1.2431e-10,4.6993e-18,3.4028e-07,3.4661e-07,
9,0.051182,0,9.0608e-10,6.1631e-11,1.1544e-18,1.9521e-07,2.8593e-07,
10,0.066226,3.966e-09,2.9363e-10,8.1737e-12,4.6942e-20,9.2854e-08,5.9117e-08,
11,0.078393,1.576e-09,9.9384e-11,3.8036e-12,6.0597e-21,4.613e-08,3.3817e-08,
12,0.093729,6.7721e-10,2.1041e-11,9.8219e-13,4.4252e-22,1.4335e-08,2.0174e-08,
13,0.11071,1.6997e-10,1.4061e-13,4.0806e-15,1.0425e-26,1.4061e-10,9.0248e-11,
14,0.11535,2.9933e-11,1.4061e-13,4.0806e-15,1.0425e-26,2.0639e-10,1.3242e-10,
15,0.12028,0,1.4061e-13,4.0806e-15,1.0425e-26,3.0293e-10,1.9433e-10,
16,0.1249,0,1.4061e-13,4.0806e-15,1.0425e-26,4.4465e-10,2.8519e-10,
17,0.13867,0,1.1099e-12,6.4233e-14,1.2191e-24,5.1517e-09,6.1682e-09,
18,0.15643,2.041e-12,1.0331e-13,6.7679e-15,1.2488e-26,7.0382e-10,9.4344e-10,
19,0.17305,1.9627e-12,3.143e-13,1.2077e-14,6.7058e-26,3.143e-09,2.7523e-09,
20,0.18981,6.6766e-13,6.7246e-13,3.3631e-14,3.6677e-25,9.8704e-09,9.4658e-09,
