"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,1.6605e-08,1.0293e-09,0.28274,1.6605e-07,0.51589,
1,0.16539,1.8023,0.00015248,5.6843e-06,4.9984e-06,0.0015248,0.0005654,
2,0.1791,1.8023,8.5585e-05,2.6181e-06,5.0849e-06,0.0012562,0.00029451,
3,0.22556,0.0001174,6.2375e-05,1.9321e-06,4.9803e-06,0.0013438,0.00013012,
4,0.70194,0.0012004,1.5787e-06,7.3396e-08,2.8864e-10,4.9921e-05,4.7947e-05,
5,0.71363,0.27186,6.1526e-07,3.0362e-08,2.8742e-10,2.8558e-05,1.7421e-05,
6,0.75032,2.1725e-06,1.2101e-07,6.3071e-09,1.6688e-10,8.2442e-06,6.5875e-06,
7,0.78478,2.8014e-05,1.7471e-07,5.2849e-09,1.4521e-10,1.7471e-05,2.2681e-06,
8,1.0036,6.9181e-06,2.3007e-08,7.6119e-10,1.2088e-10,3.3769e-06,2.8008e-07,
9,1.0193,7.617e-05,1.899e-08,7.1314e-10,1.2089e-10,4.0914e-06,3.3924e-07,
10,1.0377,6.0582e-09,1.7144e-08,6.8128e-10,1.209e-10,5.4215e-06,4.3644e-07,
11,1.0537,5.7797e-09,1.5571e-08,6.4602e-10,1.209e-10,7.2275e-06,7.0216e-07,
12,1.0734,7.856e-09,1.5393e-08,5.9208e-10,1.2091e-10,1.0487e-05,1.0436e-06,
13,1.0907,1.3069e-08,1.3415e-08,4.9912e-10,1.2092e-10,1.3415e-05,1.4109e-06,
14,1.1092,3.2603e-08,1.0781e-08,3.9083e-10,1.2093e-10,1.5824e-05,1.6747e-06,
15,1.132,3.7356e-08,1.4655e-09,5.4496e-11,1.2097e-10,3.1573e-06,7.6034e-07,
16,1.1513,1.2655e-07,1.3372e-09,4.9381e-11,1.2097e-10,4.2287e-06,3.01e-07,
17,1.1699,4.1773e-10,1.1656e-09,4.6303e-11,1.2097e-10,5.4104e-06,4.2808e-07,
18,1.1884,4.0723e-10,1.0632e-09,4.3946e-11,1.2097e-10,7.2433e-06,6.8615e-07,
